locations	strings	cognateID	alignments
1/203	aw	1	- a w
2/201	oaw	1	- oa w
2/203	oaw	1	- oa w
2/205	aw	1	- a w
3/203	oaw	1	- oa w
3/205	aw	1	- a w
4/205	ow	1	- o w
5/205	oaw	1	- oa w
5/207	aw	1	- a w
6/205	ahw	1	- ah w
6/207	oaw	1	- oa w
7/205	oaw	1	- oa w
7/207	aw	1	- a w
7/209	aw	1	- a w
7/211	aw	1	- a w
8/199	oaw	1	- oa w
8/203	aw	1	- a w
8/205	aw	1	- a w
8/207	ow	1	- o w
8/209	aw	1	- a w
8/211	aw	1	- a w
8/213	oaw	1	- oa w
9/199	aw	1	- a w
9/203	aw	1	- a w
9/207	aw	1	- a w
9/209	aw	1	- a w
9/211	aw	1	- a w
9/213	oaw	1	- oa w
9/215	aw	1	- a w
9/217	oaw	1	- oa w
10/195	ow	1	- o w
10/203	aw	1	- a w
10/207	oaw	1	- oa w
10/209	ahw	1	- ah w
10/211	ahw	1	- ah w
10/213	aw	1	- a w
10/215	aw	1	- a w
10/217	oaw	1	- oa w
10/219	oaw	1	- oa w
11/49	juj	1	j u j
11/53	jaues	1	j aue s
11/55	av	1	- a v
11/57	av	1	- a v
11/59	aw	1	- a w
11/61	au	1	- au -
11/63	jau	1	j au -
11/65	javv	1	j a vv
11/67	ou	1	- ou -
11/69	jau	1	j au -
11/187	av	1	- a v
11/189	ow	1	- o w
11/191	oaw	1	- oa w
11/195	oaw	1	- oa w
11/197	NA	NA	-
11/203	aw	1	- a w
11/205	oaw	1	- oa w
11/207	oaw	1	- oa w
11/209	aw	1	- a w
11/211	ow	1	- o w
11/213	ow	1	- o w
11/215	oaw	1	- oa w
11/217	aw	1	- a w
11/219	oaw	1	- oa w
12/47	indj	5	i n d j
12/49	ijn	5	i j n
12/51	jan	1	j a n
12/53	jau	1	j au -
12/55	av	1	- a v
12/57	jaw	1	j a w
12/59	av	1	- a v
12/61	au	1	- au -
12/63	ov	1	- o v
12/65	av	1	- a v
12/67	av	1	- a v
12/69	au	1	- au -
12/187	ow	1	- o w
12/189	NA	NA	-
12/191	ow	1	- o w
12/193	aw	1	- a w
12/195	oaw	1	- oa w
12/197	aw	1	- a w
12/199	oaw	1	- oa w
12/201	aw	1	- a w
12/203	oaw	1	- oa w
12/205	ow	1	- o w
12/207	oaw	1	- oa w
12/209	oaw	1	- oa w
12/211	oaw	1	- oa w
12/213	oaw	1	- oa w
12/215	aw	1	- a w
12/217	aw	1	- a w
12/219	ohw	1	- oh w
12/221	aw	1	- a w
12/223	oaw	1	- oa w
13/51	ihm	1	- ih m
13/53	entenne	5	e n t e nn e
13/55	tene	5	t e n e
13/57	av	1	- a v
13/59	au	1	- au -
13/61	aab	1	- aa b
13/63	ahb	1	- ah b
13/65	ahm	1	- ah m
13/67	am	1	- a m
13/161	oaw	1	- oa w
13/163	aw	1	- a w
13/165	ow	1	- o w
13/167	ow	1	- o w
13/187	oaw	1	- oa w
13/189	aw	1	- a w
13/191	aw	1	- a w
13/193	aw	1	- a w
13/195	aw	1	- a w
13/197	oaw	1	- oa w
13/199	oaw	1	- oa w
13/201	aow	1	- ao w
13/203	ow	1	- o w
13/207	aw	1	- a w
13/209	oaw	1	- oa w
13/211	oaw	1	- oa w
13/213	oaw	1	- oa w
13/215	ow	1	- o w
13/217	aw	1	- a w
13/219	aw	1	- a w
13/221	aw	1	- a w
13/223	aw	1	- a w
14/47	inj	5	i n j
14/49	inj	5	i n j
14/51	NA	NA	-
14/53	NA	NA	-
14/55	ene	5	e n e
14/57	ene	5	e n e
14/59	aam	1	- aa m
14/61	ahm	1	- ah m
14/63	ab	1	- a b
14/65	ab	1	- a b
