locations	strings	cognateID	alignments
1/203	ole	1	- o l - e -
2/201	ole	1	- o l - e -
2/203	NA	NA	- - - - - -
2/205	ohle	1	- oh l - e -
3/203	NA	NA	- - - - - -
3/205	ohle	1	- oh l - e -
4/205	ohle	1	- oh l - e -
5/205	oole	1	- oo l - e -
5/207	ole	1	- o l - e -
6/205	ohle	1	- oh l - e -
6/207	ohle	1	- oh l - e -
7/205	ola	1	- o l - a -
7/207	ole	1	- o l - e -
7/209	ool	1	- oo l - - -
7/211	ole	1	- o l - e -
8/199	ohl	1	- oh l - - -
8/203	ole	1	- o l - e -
8/205	ole	1	- o l - e -
8/207	ole	1	- o l - e -
8/209	ol	1	- o l - - -
8/211	ole	1	- o l - e -
8/213	ale	1	- a l - e -
9/199	ohl	1	- oh l - - -
9/203	ol	1	- o l - - -
9/207	ohle	1	- oh l - e -
9/209	oole	1	- oo l - e -
9/211	olle	1	- o ll - e -
9/213	ohle	1	- oh l - e -
9/215	ohle	1	- oh l - e -
9/217	ohle	1	- oh l - e -
10/195	ol	1	- o l - - -
10/203	ol	1	- o l - - -
10/207	ole	1	- o l - e -
10/209	ohle	1	- oh l - e -
10/211	ohle	1	- oh l - e -
10/213	ole	1	- o l - e -
10/215	ole	1	- o l - e -
10/217	ole	1	- o l - e -
10/219	ole	1	- o l - e -
11/49	ual	1	- ua l - - -
11/53	gammel	2	g a mm e l -
11/55	gammel	2	g a mm e l -
11/57	ual	1	- ua l - - -
11/59	ual	1	- ua l - - -
11/61	ual	1	- ua l - - -
11/63	ual	1	- ua l - - -
11/65	ual	1	- ua l - - -
11/67	ual	1	- ua l - - -
11/69	ual	1	- ua l - - -
11/187	ohl	1	- oh l - - -
11/189	ol	1	- o l - - -
11/191	ool	1	- oo l - - -
11/195	ol	1	- o l - - -
11/197	ohl	1	- oh l - - -
11/203	ole	1	- o l - e -
11/205	ol	1	- o l - - -
11/207	oole	1	- oo l - e -
11/209	oole	1	- oo l - e -
11/211	ole	1	- o l - e -
11/213	ole	1	- o l - e -
11/215	oole	1	- oo l - e -
11/217	ole	1	- o l - e -
11/219	ole	1	- o l - e -
12/47	ual	1	- ua l - - -
12/49	ualle	1	- ua ll - e -
12/51	ulte	1	- u l t e -
12/53	gammel	2	g a mm e l -
12/55	ulte	1	- u l t e -
12/57	ulte	1	- u l t e -
12/59	ulte	1	- u l t e -
12/61	ulte	1	- u l t e -
12/63	ulte	1	- u l t e -
12/65	ulte	1	- u l t e -
12/67	ulte	1	- u l t e -
12/69	ulte	1	- u l t e -
12/187	ole	1	- o l - e -
12/189	ool	1	- oo l - - -
12/191	ohle	1	- oh l - e -
12/193	ole	1	- o l - e -
12/195	uol	1	- uo l - - -
12/197	ohl	1	- oh l - - -
12/199	ol	1	- o l - - -
12/201	ol	1	- o l - - -
12/203	ole	1	- o l - e -
12/205	ohl	1	- oh l - - -
12/207	ool	1	- oo l - - -
12/209	ohle	1	- oh l - e -
12/211	oole	1	- oo l - e -
12/213	ole	1	- o l - e -
12/215	oole	1	- oo l - e -
12/217	ole	1	- o l - e -
12/219	ole	1	- o l - e -
12/221	oole	1	- oo l - e -
12/223	ohle	1	- oh l - e -
13/51	uille	1	- ui ll - e -
13/53	üülje	1	- üü l j e -
13/55	üle	1	- ü l - e -
13/57	gammel	2	g a mm e l -
13/59	üle	1	- ü l - e -
13/61	ohle	1	- oh l - e -
13/63	ole	1	- o l - e -
13/65	ohle	1	- oh l - e -
13/67	ole	1	- o l - e -
13/161	olle	1	- o ll - e -
13/163	olle	1	- o ll - e -
13/165	olle	1	- o ll - e -
13/167	oller	1	- o ll - e r
13/187	ohl	1	- oh l - - -
13/189	ol	1	- o l - - -
13/191	ole	1	- o l - e -
13/193	ohl	1	- oh l - - -
13/195	ool	1	- oo l - - -
13/197	ohl	1	- oh l - - -
13/199	ool	1	- oo l - - -
13/201	ol	1	- o l - - -
13/203	ol	1	- o l - - -
13/207	ohle	1	- oh l - e -
13/209	ole	1	- o l - e -
13/211	ohle	1	- oh l - e -
13/213	ohler	1	- oh l - e r
13/215	ohle	1	- oh l - e -
13/217	ole	1	- o l - e -
13/219	ole	1	- o l - e -
13/221	ole	1	- o l - e -
13/223	ohle	1	- oh l - e -
14/47	ual	1	- ua l - - -
14/49	ualt	1	- ua l t - -
14/51	ual	1	- ua l - - -
14/53	uhle	1	- uh l - e -
14/55	ule	1	- u l - e -
14/57	ülle	1	- ü ll - e -
14/59	ohle	1	- oh l - e -
14/61	ole	1	- o l - e -
14/63	ole	1	- o l - e -
14/65	ole	1	- o l - e -
14/67	ohle	1	- oh l - e -
14/109	oll	1	- o ll - - -
14/159	olle	1	- o ll - e -
14/161	olle	1	- o ll - e -
14/163	ollä	1	- o ll - ä -
14/165	olle	1	- o ll - e -
14/167	olle	1	- o ll - e -
14/169	olle	1	- o ll - e -
14/187	ole	1	- o l - e -
14/189	ohl	1	- oh l - - -
14/191	ol	1	- o l - - -
14/193	ol	1	- o l - - -
14/195	oole	1	- oo l - e -
14/197	oal	1	- oa l - - -
14/199	ohle	1	- oh l - e -
14/201	ol	1	- o l - - -
14/203	ol	1	- o l - - -
14/205	ole	1	- o l - e -
14/207	ohle	1	- oh l - e -
14/209	ohle	1	- oh l - e -
14/211	ohle	1	- oh l - e -
14/213	ohle	1	- oh l - e -
14/215	ohle	1	- oh l - e -
14/217	ohle	1	- oh l - e -
14/219	ohle	1	- oh l - e -
14/221	ole	1	- o l - e -
15/49	ual	1	- ua l - - -
15/51	uale	1	- ua l - e -
15/53	uale	1	- ua l - e -
15/55	ule	1	- u l - e -
15/57	ule	1	- u l - e -
15/59	ole	1	- o l - e -
15/61	ohle	1	- oh l - e -
15/63	ole	1	- o l - e -
15/65	ole	1	- o l - e -
15/67	ole	1	- o l - e -
15/105	olle	1	- o ll - e -
15/107	olle	1	- o ll - e -
15/109	olla	1	- o ll - a -
15/151	ull	1	- u ll - - -
15/153	ull	1	- u ll - - -
15/155	ulla	1	- u ll - a -
15/157	ull	1	- u ll - - -
15/159	ull	1	- u ll - - -
15/161	olla	1	- o ll - a -
15/163	olle	1	- o ll - e -
15/165	olle	1	- o ll - e -
15/167	olle	1	- o ll - e -
15/169	olle	1	- o ll - e -
15/173	olle	1	- o ll - e -
15/187	ool	1	- oo l - - -
15/191	ohl	1	- oh l - - -
15/193	ohl	1	- oh l - - -
15/195	ol	1	- o l - - -
15/197	ol	1	- o l - - -
15/199	oll	1	- o ll - - -
15/201	ol	1	- o l - - -
15/203	ohl	1	- oh l - - -
15/205	ohle	1	- oh l - e -
15/207	ohle	1	- oh l - e -
15/209	ole	1	- o l - e -
15/211	ohle	1	- oh l - e -
15/213	ola	1	- o l - a -
15/215	olle	1	- o ll - e -
15/217	ole	1	- o l - e -
15/219	ooh	1	- ooh - - - -
15/221	ole	1	- o l - e -
16/51	ula	1	- u l - a -
16/55	ule	1	- u l - e -
16/57	ole	1	- o l - e -
16/59	ohle	1	- oh l - e -
16/61	ohle	1	- oh l - e -
16/63	ole	1	- o l - e -
16/65	ule	1	- u l - e -
16/67	ohle	1	- oh l - e -
16/81	ohl	1	- oh l - - -
16/83	ohl	1	- oh l - - -
16/105	olle	1	- o ll - e -
16/107	olle	1	- o ll - e -
16/109	olle	1	- o ll - e -
16/111	olle	1	- o ll - e -
16/145	ol	1	- o l - - -
16/147	ool	1	- oo l - - -
16/149	ohl	1	- oh l - - -
16/151	ool	1	- oo l - - -
16/153	ull	1	- u ll - - -
