locations	strings	cognateID	alignments
001/203	an	1	- a n -
002/201	an	1	- a n -
002/203	an	1	- a n -
002/205	an	1	- a n -
003/203	an	1	- a n -
003/205	an	1	- a n -
004/205	an	1	- a n -
005/205	an	1	- a n -
005/207	an	1	- a n -
006/205	an	1	- a n -
006/207	an	1	- a n -
007/205	NA	NA	-
007/207	an	1	- a n -
007/209	NA	NA	-
007/211	an	1	- a n -
008/199	an	1	- a n -
008/203	an	1	- a n -
008/205	an	1	- a n -
008/207	an	1	- a n -
008/209	an	1	- a n -
008/211	an	1	- a n -
008/213	NA	NA	-
009/199	an	1	- a n -
009/203	an	1	- a n -
009/207	an	1	- a n -
009/209	an	1	- a n -
009/211	NA	NA	-
009/213	an	1	- a n -
009/215	an	1	- a n -
009/217	an	1	- a n -
010/195	an	1	- a n -
010/203	an	1	- a n -
010/207	an	1	- a n -
010/209	an	1	- a n -
010/211	an	1	- a n -
010/213	an	1	- a n -
010/215	an	1	- a n -
010/217	un	1	- u n -
010/219	an	1	- a n -
011/049	ön	1	- ö n -
011/053	NA	NA	-
011/055	NA	NA	-
011/057	NA	NA	-
011/059	NA	NA	-
011/061	NA	NA	-
011/063	NA	NA	-
011/065	NA	NA	-
011/067	NA	NA	-
011/069	NA	NA	-
011/187	an	1	- a n -
011/189	an	1	- a n -
011/191	an	1	- a n -
011/195	an	1	- a n -
011/197	an	1	- a n -
011/203	an	1	- a n -
011/205	NA	NA	-
011/207	an	1	- a n -
011/209	an	1	- a n -
011/211	an	1	- a n -
011/213	an	1	- a n -
011/215	an	1	- a n -
011/217	an	1	- a n -
011/219	an	1	- a n -
012/047	NA	NA	-
012/049	bigent	2	- b i g e n t
012/051	beiginnt	2	- b ei g i nn t
012/053	NA	NA	-
012/055	NA	NA	-
012/057	NA	NA	-
012/059	NA	NA	-
012/061	NA	NA	-
012/063	NA	NA	-
012/065	NA	NA	-
012/067	NA	NA	-
012/069	NA	NA	-
012/187	an	1	- a n -
012/189	NA	NA	-
012/191	an	1	- a n -
012/193	an	1	- a n -
012/195	an	1	- a n -
012/197	an	1	- a n -
012/199	an	1	- a n -
012/201	an	1	- a n -
012/203	an	1	- a n -
012/205	an	1	- a n -
012/207	an	1	- a n -
012/209	an	1	- a n -
012/211	an	1	- a n -
012/213	an	1	- a n -
012/215	NA	NA	-
012/217	an	1	- a n -
012/219	an	1	- a n -
012/221	an	1	- a n -
012/223	an	1	- a n -
013/051	NA	NA	-
013/053	öinj	1	- öi nj -
013/055	an	1	- a n -
013/057	an	1	- a n -
013/059	NA	NA	-
013/061	an	1	- a n -
013/063	an	1	- a n -
013/065	an	1	- a n -
013/067	an	1	- a n -
013/161	an	1	- a n -
013/163	an	1	- a n -
013/165	an	1	- a n -
013/167	an	1	- a n -
013/187	an	1	- a n -
013/189	an	1	- a n -
013/191	NA	NA	-
013/193	an	1	- a n -
013/195	an	1	- a n -
013/197	an	1	- a n -
013/199	an	1	- a n -
013/201	an	1	- a n -
013/203	an	1	- a n -
013/207	an	1	- a n -
013/209	an	1	- a n -
013/211	an	1	- a n -
013/213	an	1	- a n -
013/215	an	1	- a n -
013/217	an	1	- a n -
013/219	an	1	- a n -
013/221	an	1	- a n -
013/223	an	1	- a n -
014/047	an	1	- a n -
014/049	an	1	- a n -
014/051	NA	NA	-
014/053	an	1	- a n -
014/055	onn	1	- o nn -
014/057	an	1	- a n -
014/059	an	1	- a n -
014/061	an	1	- a n -
014/063	an	1	- a n -
014/065	an	1	- a n -
014/067	an	1	- a n -
014/109	an	1	- a n -
014/159	aon	1	- ao n -
014/161	an	1	- a n -
