locations	strings	cognateID	alignments
001/203	and	1	- a n d - - - -
002/201	and	1	- a n d - - - -
002/203	and	1	- a n d - - - -
002/205	and	1	- a n d - - - -
003/203	and	1	- a n d - - - -
003/205	and	1	- a n d - - - -
004/205	and	1	- a n d - - - -
005/205	and	1	- a n d - - - -
005/207	and	1	- a n d - - - -
006/205	and	1	- a n d - - - -
006/207	and	1	- a n d - - - -
007/205	and	1	- a n d - - - -
007/207	and	1	- a n d - - - -
007/209	jenne	3	- j e nn e - - - -
007/211	and	1	- a n d - - - -
008/199	and	1	- a n d - - - -
008/203	and	1	- a n d - - - -
008/205	and	1	- a n d - - - -
008/207	and	1	- a n d - - - -
008/209	and	1	- a n d - - - -
008/211	and	1	- a n d - - - -
008/213	and	1	- a n d - - - -
009/199	NA	NA	-
009/203	and	1	- a n d - - - -
009/207	and	1	- a n d - - - -
009/209	and	1	- a n d - - - -
009/211	and	1	- a n d - - - -
009/213	and	1	- a n d - - - -
009/215	and	1	- a n d - - - -
009/217	and	1	- a n d - - - -
010/195	and	1	- a n d - - - -
010/203	and	1	- a n d - - - -
010/207	and	1	- a n d - - - -
010/209	and	1	- a n d - - - -
010/211	and	1	- a n d - - - -
010/213	and	1	- a n d - - - -
010/215	and	1	- a n d - - - -
010/217	and	1	- a n d - - - -
010/219	and	1	- a n d - - - -
011/049	öran	1	- ö r - a - - n
011/053	ann	1	- a nn - - - - -
011/055	ann	1	- a nn - - - - -
011/057	ann	1	- a nn - - - - -
011/059	ann	1	- a nn - - - - -
011/061	and	1	- a n d - - - -
011/063	ann	1	- a nn - - - - -
011/065	ann	1	- a nn - - - - -
011/067	aann	1	- aa nn - - - - -
011/069	aann	1	- aa nn - - - - -
011/187	and	1	- a n d - - - -
011/189	and	1	- a n d - - - -
011/191	and	1	- a n d - - - -
011/195	and	1	- a n d - - - -
011/197	and	1	- a n d - - - -
011/203	and	1	- a n d - - - -
011/205	and	1	- a n d - - - -
011/207	and	1	- a n d - - - -
011/209	and	1	- a n d - - - -
011/211	and	1	- a n d - - - -
011/213	and	1	- a n d - - - -
011/215	and	1	- a n d - - - -
011/217	and	1	- a n d - - - -
011/219	and	1	- a n d - - - -
012/047	andd	1	- a n dd - - - -
012/049	üdd	1	- ü - dd - - - -
012/051	oor	1	- oo r - - - - -
012/053	anj	1	- a nj - - - - -
012/055	and	1	- a n d - - - -
012/057	ann	1	- a nn - - - - -
012/059	ann	1	- a nn - - - - -
012/061	ann	1	- a nn - - - - -
012/063	ann	1	- a nn - - - - -
012/065	ann	1	- a nn - - - - -
012/067	an	1	- a n - - - - -
012/069	ann	1	- a nn - - - - -
012/187	and	1	- a n d - - - -
012/189	and	1	- a n d - - - -
012/191	and	1	- a n d - - - -
012/193	and	1	- a n d - - - -
012/195	and	1	- a n d - - - -
012/197	and	1	- a n d - - - -
012/199	and	1	- a n d - - - -
012/201	and	1	- a n d - - - -
012/203	and	1	- a n d - - - -
012/205	and	1	- a n d - - - -
012/207	and	1	- a n d - - - -
012/209	and	1	- a n d - - - -
012/211	and	1	- a n d - - - -
012/213	and	1	- a n d - - - -
012/215	and	1	- a n d - - - -
012/217	and	1	- a n d - - - -
012/219	and	1	- a n d - - - -
012/221	and	1	- a n d - - - -
012/223	and	1	- a n d - - - -
013/051	ohrr	1	- oh rr - - - - -
013/053	ond	1	- o n d - - - -
013/055	and	1	- a n d - - - -
013/057	ann	1	- a nn - - - - -
013/059	ann	1	- a nn - - - - -
013/061	ann	1	- a nn - - - - -
013/063	ann	1	- a nn - - - - -
013/065	ann	1	- a nn - - - - -
013/067	ann	1	- a nn - - - - -
013/161	and	1	- a n d - - - -
013/163	and	1	- a n d - - - -
013/165	and	1	- a n d - - - -
013/167	and	1	- a n d - - - -
013/187	and	1	- a n d - - - -
013/189	and	1	- a n d - - - -
013/191	and	1	- a n d - - - -
013/193	and	1	- a n d - - - -
013/195	and	1	- a n d - - - -
013/197	and	1	- a n d - - - -
013/199	and	1	- a n d - - - -
013/201	and	1	- a n d - - - -
013/203	and	1	- a n d - - - -
013/207	and	1	- a n d - - - -
013/209	and	1	- a n d - - - -
013/211	and	1	- a n d - - - -
013/213	and	1	- a n d - - - -
013/215	and	1	- a n d - - - -
013/217	and	1	- a n d - - - -
013/219	and	1	- a n d - - - -
013/221	and	1	- a n d - - - -
013/223	and	1	- a n d - - - -
014/047	od	1	- o - d - - - -
014/049	öllern	1	- ö ll - e r - n
014/051	öd	1	- ö - d - - - -
014/053	ore	1	- o r - e - - -
014/055	NA	NA	-
014/057	aur	1	- au r - - - - -
014/059	ann	1	- a nn - - - - -
014/061	ann	1	- a nn - - - - -
014/063	ann	1	- a nn - - - - -
014/065	ann	1	- a nn - - - - -
014/067	ann	1	- a nn - - - - -
014/109	ann	1	- a nn - - - - -
014/159	NA	NA	-
014/161	and	1	- a n d - - - -
014/163	and	1	- a n d - - - -
014/165	and	1	- a n d - - - -
014/167	aund	1	- au n d - - - -
014/169	and	1	- a n d - - - -
014/187	and	1	- a n d - - - -
014/189	and	1	- a n d - - - -
014/191	and	1	- a n d - - - -
014/193	and	1	- a n d - - - -
014/195	and	1	- a n d - - - -
014/197	and	1	- a n d - - - -
014/199	and	1	- a n d - - - -
014/201	and	1	- a n d - - - -
014/203	and	1	- a n d - - - -
014/205	and	1	- a n d - - - -
014/207	and	1	- a n d - - - -
014/209	and	1	- a n d - - - -
014/211	and	1	- a n d - - - -
014/213	and	1	- a n d - - - -
014/215	and	1	- a n d - - - -
014/217	and	1	- a n d - - - -
014/219	and	1	- a n d - - - -
014/221	and	1	- a n d - - - -
015/049	ötharn	1	- ö th - a r - n
015/051	ore	1	- o r - e - - -
015/053	öre	1	- ö r - e - - -
015/055	oar	1	- oa r - - - - -
015/057	ohr	1	- oh r - - - - -
015/059	ann	1	- a nn - - - - -
015/061	ann	1	- a nn - - - - -
015/063	ann	1	- a nn - - - - -
015/065	ann	1	- a nn - - - - -
015/067	ann	1	- a nn - - - - -
015/105	ann	1	- a nn - - - - -
015/107	ann	1	- a nn - - - - -
015/109	ann	1	- a nn - - - - -
015/151	ang	1	- a ng - - - - -
015/153	and	1	- a n d - - - -
015/155	and	1	- a n d - - - -
015/157	and	1	- a n d - - - -
015/159	and	1	- a n d - - - -
015/161	and	1	- a n d - - - -
015/163	and	1	- a n d - - - -
015/165	and	1	- a n d - - - -
015/167	and	1	- a n d - - - -
015/169	and	1	- a n d - - - -
015/173	and	1	- a n d - - - -
015/187	and	1	- a n d - - - -
015/191	and	1	- a n d - - - -
015/193	and	1	- a n d - - - -
015/195	and	1	- a n d - - - -
015/197	and	1	- a n d - - - -
015/199	and	1	- a n d - - - -
015/201	and	1	- a n d - - - -
015/203	and	1	- a n d - - - -
015/205	and	1	- a n d - - - -
015/207	and	1	- a n d - - - -
015/209	and	1	- a n d - - - -
015/211	and	1	- a n d - - - -
015/213	and	1	- a n d - - - -
015/215	and	1	- a n d - - - -
015/217	and	1	- a n d - - - -
015/219	and	1	- a n d - - - -
015/221	and	1	- a n d - - - -
016/051	öara	1	- öa r - a - - -
016/055	örern	1	- ö r - e r - n
016/057	aann	1	- aa nn - - - - -
016/059	ann	1	- a nn - - - - -
016/061	ann	1	- a nn - - - - -
016/063	ann	1	- a nn - - - - -
016/065	ann	1	- a nn - - - - -
016/067	ann	1	- a nn - - - - -
016/081	ann	1	- a nn - - - - -
016/083	ann	1	- a nn - - - - -
016/105	ann	1	- a nn - - - - -
016/107	ann	1	- a nn - - - - -
016/109	ann	1	- a nn - - - - -
016/111	ann	1	- a nn - - - - -
016/145	an	1	- a n - - - - -
016/147	an	1	- a n - - - - -
016/149	ann	1	- a nn - - - - -
016/151	eingra	1	- ei ng - - r a -
016/153	an	1	- a n - - - - -
016/155	and	1	- a n d - - - -
016/157	and	1	- a n d - - - -
016/159	and	1	- a n d - - - -
016/161	and	1	- a n d - - - -
016/163	and	1	- a n d - - - -
016/165	and	1	- a n d - - - -
016/167	and	1	- a n d - - - -
016/187	and	1	- a n d - - - -
016/189	and	1	- a n d - - - -
016/191	and	1	- a n d - - - -
016/193	and	1	- a n d - - - -
016/195	and	1	- a n d - - - -
016/197	and	1	- a n d - - - -
016/199	and	1	- a n d - - - -
016/201	and	1	- a n d - - - -
016/203	and	1	- a n d - - - -
016/205	and	1	- a n d - - - -
016/209	and	1	- a n d - - - -
016/211	and	1	- a n d - - - -
016/213	and	1	- a n d - - - -
016/215	and	1	- a n d - - - -
016/217	and	1	- a n d - - - -
016/219	and	1	- a n d - - - -
017/055	ann	1	- a nn - - - - -
017/057	ann	1	- a nn - - - - -
017/059	ann	1	- a nn - - - - -
017/061	ann	1	- a nn - - - - -
017/063	ann	1	- a nn - - - - -
017/065	ann	1	- a nn - - - - -
017/067	ann	1	- a nn - - - - -
017/069	ann	1	- a nn - - - - -
017/081	ann	1	- a nn - - - - -
017/083	ann	1	- a nn - - - - -
017/099	ann	1	- a nn - - - - -
017/101	ann	1	- a nn - - - - -
017/103	ann	1	- a nn - - - - -
017/107	ann	1	- a nn - - - - -
017/109	ann	1	- a nn - - - - -
017/145	an	1	- a n - - - - -
017/147	einere	1	- ei n - e r e -
017/149	ann	1	- a nn - - - - -
017/151	ang	1	- a ng - - - - -
017/153	an	1	- a n - - - - -
017/155	ang	1	- a ng - - - - -
017/157	and	1	- a n d - - - -
017/159	and	1	- a n d - - - -
017/161	and	1	- a n d - - - -
017/163	and	1	- a n d - - - -
017/165	and	1	- a n d - - - -
017/169	and	1	- a n d - - - -
017/171	ad	1	- a - d - - - -
017/183	and	1	- a n d - - - -
017/185	ang	1	- a ng - - - - -
017/187	and	1	- a n d - - - -
017/189	and	1	- a n d - - - -
017/191	and	1	- a n d - - - -
017/193	and	1	- a n d - - - -
017/195	an	1	- a n - - - - -
017/197	and	1	- a n d - - - -
017/199	and	1	- a n d - - - -
017/201	and	1	- a n d - - - -
017/203	and	1	- a n d - - - -
017/205	and	1	- a n d - - - -
017/207	and	1	- a n d - - - -
017/209	and	1	- a n d - - - -
017/211	and	1	- a n d - - - -
017/213	and	1	- a n d - - - -
017/215	and	1	- a n d - - - -
017/217	and	1	- a n d - - - -
017/219	and	1	- a n d - - - -
018/051	ann	1	- a nn - - - - -
018/053	ann	1	- a nn - - - - -
018/055	ann	1	- a nn - - - - -
018/057	ann	1	- a nn - - - - -
018/059	ann	1	- a nn - - - - -
018/061	ann	1	- a nn - - - - -
018/063	ann	1	- a nn - - - - -
018/065	ann	1	- a nn - - - - -
018/067	ann	1	- a nn - - - - -
018/069	ann	1	- a nn - - - - -
018/071	ann	1	- a nn - - - - -
018/073	ann	1	- a nn - - - - -
018/075	ann	1	- a nn - - - - -
018/079	ann	1	- a nn - - - - -
018/081	ann	1	- a nn - - - - -
018/097	ann	1	- a nn - - - - -
018/099	ann	1	- a nn - - - - -
018/103	ann	1	- a nn - - - - -
018/105	ann	1	- a nn - - - - -
018/107	ann	1	- a nn - - - - -
018/109	ann	1	- a nn - - - - -
018/111	ann	1	- a nn - - - - -
018/143	an	1	- a n - - - - -
018/145	an	1	- a n - - - - -
018/147	an	1	- a n - - - - -
018/149	an	1	- a n - - - - -
018/151	ang	1	- a ng - - - - -
018/153	and	1	- a n d - - - -
018/155	ang	1	- a ng - - - - -
018/157	ang	1	- a ng - - - - -
018/159	and	1	- a n d - - - -
018/161	and	1	- a n d - - - -
018/163	and	1	- a n d - - - -
018/165	and	1	- a n d - - - -
018/169	and	1	- a n d - - - -
018/171	and	1	- a n d - - - -
018/173	and	1	- a n d - - - -
018/181	and	1	- a n d - - - -
018/185	and	1	- a n d - - - -
018/187	and	1	- a n d - - - -
018/189	and	1	- a n d - - - -
018/191	and	1	- a n d - - - -
018/193	and	1	- a n d - - - -
018/195	and	1	- a n d - - - -
018/197	and	1	- a n d - - - -
018/199	and	1	- a n d - - - -
018/201	and	1	- a n d - - - -
018/203	and	1	- a n d - - - -
018/205	and	1	- a n d - - - -
018/207	and	1	- a n d - - - -
018/209	and	1	- a n d - - - -
018/211	and	1	- a n d - - - -
018/213	and	1	- a n d - - - -
018/215	and	1	- a n d - - - -
018/219	and	1	- a n d - - - -
019/051	ann	1	- a nn - - - - -
019/053	ann	1	- a nn - - - - -
019/055	ann	1	- a nn - - - - -
019/057	ann	1	- a nn - - - - -
019/059	ann	1	- a nn - - - - -
019/061	ann	1	- a nn - - - - -
019/063	ann	1	- a nn - - - - -
019/065	ann	1	- a nn - - - - -
019/067	ann	1	- a nn - - - - -
019/069	ann	1	- a nn - - - - -
019/071	ann	1	- a nn - - - - -
019/073	ann	1	- a nn - - - - -
019/075	ann	1	- a nn - - - - -
019/077	ann	1	- a nn - - - - -
019/079	ann	1	- a nn - - - - -
019/081	ann	1	- a nn - - - - -
019/097	ann	1	- a nn - - - - -
019/099	ann	1	- a nn - - - - -
019/101	ann	1	- a nn - - - - -
019/103	ann	1	- a nn - - - - -
019/105	ann	1	- a nn - - - - -
019/107	ann	1	- a nn - - - - -
019/109	ann	1	- a nn - - - - -
019/143	an	1	- a n - - - - -
019/145	eindrä	1	- ei n d - r ä -
019/147	ann	1	- a nn - - - - -
019/149	and	1	- a n d - - - -
019/151	ang	1	- a ng - - - - -
019/153	an	1	- a n - - - - -
019/155	ang	1	- a ng - - - - -
019/157	and	1	- a n d - - - -
019/159	and	1	- a n d - - - -
019/161	and	1	- a n d - - - -
019/163	and	1	- a n d - - - -
019/165	and	1	- a n d - - - -
019/167	and	1	- a n d - - - -
019/169	and	1	- a n d - - - -
019/171	and	1	- a n d - - - -
019/173	and	1	- a n d - - - -
019/175	and	1	- a n d - - - -
019/177	and	1	- a n d - - - -
019/179	and	1	- a n d - - - -
019/181	and	1	- a n d - - - -
019/183	and	1	- a n d - - - -
019/185	and	1	- a n d - - - -
019/187	and	1	- a n d - - - -
019/189	ang	1	- a ng - - - - -
019/191	and	1	- a n d - - - -
019/193	and	1	- a n d - - - -
019/195	and	1	- a n d - - - -
019/197	and	1	- a n d - - - -
019/199	and	1	- a n d - - - -
019/201	and	1	- a n d - - - -
019/203	and	1	- a n d - - - -
019/205	and	1	- a n d - - - -
019/207	and	1	- a n d - - - -
019/209	and	1	- a n d - - - -
019/211	and	1	- a n d - - - -
019/213	and	1	- a n d - - - -
019/215	and	1	- a n d - - - -
019/217	and	1	- a n d - - - -
019/219	and	1	- a n d - - - -
020/043	uurn	1	- uur n - - - - -
020/053	ann	1	- a nn - - - - -
020/055	ann	1	- a nn - - - - -
020/057	ann	1	- a nn - - - - -
020/059	ann	1	- a nn - - - - -
020/061	ann	1	- a nn - - - - -
020/063	ann	1	- a nn - - - - -
020/065	ann	1	- a nn - - - - -
020/067	ann	1	- a nn - - - - -
020/069	ann	1	- a nn - - - - -
020/071	ann	1	- a nn - - - - -
020/073	ann	1	- a nn - - - - -
020/075	ann	1	- a nn - - - - -
020/077	ann	1	- a nn - - - - -
020/079	ann	1	- a nn - - - - -
020/081	ann	1	- a nn - - - - -
020/095	ann	1	- a nn - - - - -
020/097	ann	1	- a nn - - - - -
020/099	ann	1	- a nn - - - - -
020/101	ann	1	- a nn - - - - -
020/103	ann	1	- a nn - - - - -
020/105	ann	1	- a nn - - - - -
020/107	ann	1	- a nn - - - - -
020/135	an	1	- a n - - - - -
020/137	an	1	- a n - - - - -
020/139	an	1	- a n - - - - -
020/141	ann	1	- a nn - - - - -
020/143	an	1	- a n - - - - -
020/145	and	1	- a n d - - - -
020/147	and	1	- a n d - - - -
020/149	ann	1	- a nn - - - - -
020/151	ang	1	- a ng - - - - -
020/153	ang	1	- a ng - - - - -
020/155	ang	1	- a ng - - - - -
020/157	ang	1	- a ng - - - - -
020/159	and	1	- a n d - - - -
020/161	and	1	- a n d - - - -
020/163	an	1	- a n - - - - -
020/165	ang	1	- a ng - - - - -
020/167	ang	1	- a ng - - - - -
020/169	ang	1	- a ng - - - - -
020/171	and	1	- a n d - - - -
020/173	and	1	- a n d - - - -
020/175	and	1	- a n d - - - -
020/177	and	1	- a n d - - - -
020/179	and	1	- a n d - - - -
020/181	and	1	- a n d - - - -
020/183	and	1	- a n d - - - -
020/185	ang	1	- a ng - - - - -
020/187	and	1	- a n d - - - -
020/189	ang	1	- a ng - - - - -
020/191	angg	1	- a ngg - - - - -
020/193	ang	1	- a ng - - - - -
020/195	and	1	- a n d - - - -
020/197	and	1	- a n d - - - -
020/199	and	1	- a n d - - - -
020/201	and	1	- a n d - - - -
020/203	and	1	- a n d - - - -
020/205	ang	1	- a ng - - - - -
020/207	and	1	- a n d - - - -
020/209	and	1	- a n d - - - -
020/211	and	1	- a n d - - - -
020/213	and	1	- a n d - - - -
020/215	and	1	- a n d - - - -
020/217	and	1	- a n d - - - -
020/219	and	1	- a n d - - - -
021/055	ann	1	- a nn - - - - -
021/057	ann	1	- a nn - - - - -
021/059	ann	1	- a nn - - - - -
021/061	ann	1	- a nn - - - - -
021/063	ann	1	- a nn - - - - -
021/065	ann	1	- a nn - - - - -
021/067	ann	1	- a nn - - - - -
021/069	NA	NA	-
021/071	ann	1	- a nn - - - - -
021/073	ann	1	- a nn - - - - -
021/075	ann	1	- a nn - - - - -
021/077	ann	1	- a nn - - - - -
021/079	ann	1	- a nn - - - - -
021/087	ann	1	- a nn - - - - -
021/089	ann	1	- a nn - - - - -
021/091	ann	1	- a nn - - - - -
021/093	ann	1	- a nn - - - - -
021/095	ann	1	- a nn - - - - -
021/097	ann	1	- a nn - - - - -
021/099	ann	1	- a nn - - - - -
021/101	ann	1	- a nn - - - - -
021/103	ann	1	- a nn - - - - -
021/105	ann	1	- a nn - - - - -
021/107	ann	1	- a nn - - - - -
021/109	ann	1	- a nn - - - - -
021/111	ann	1	- a nn - - - - -
021/113	ann	1	- a nn - - - - -
021/131	ann	1	- a nn - - - - -
021/133	and	1	- a n d - - - -
021/135	ann	1	- a nn - - - - -
021/137	ann	1	- a nn - - - - -
021/139	an	1	- a n - - - - -
021/141	and	1	- a n d - - - -
