locations	strings	cognateID	alignments
1/203	ok	1	- o k -
2/201	uck	1	- u ck -
2/203	ukk	1	- u kk -
2/205	ok	1	- o k -
3/203	ukk	1	- u kk -
3/205	uk	1	- u k -
4/205	NA	NA	- - - -
5/205	uck	1	- u ck -
5/207	ok	1	- o k -
6/205	ook	1	- oo k -
6/207	uck	1	- u ck -
7/205	NA	NA	- - - -
7/207	ok	1	- o k -
7/209	ook	1	- oo k -
7/211	ok	1	- o k -
8/199	uk	1	- u k -
8/203	uck	1	- u ck -
8/205	uck	1	- u ck -
8/207	ock	1	- o ck -
8/209	ok	1	- o k -
8/211	ok	1	- o k -
8/213	uk	1	- u k -
9/199	ook	1	- oo k -
9/203	ok	1	- o k -
9/207	uk	1	- u k -
9/209	uck	1	- u ck -
9/211	uck	1	- u ck -
9/213	uck	1	- u ck -
9/215	ok	1	- o k -
9/217	eck	1	- e ck -
10/195	ok	1	- o k -
10/203	uck	1	- u ck -
10/207	ok	1	- o k -
10/209	ok	1	- o k -
10/211	ok	1	- o k -
10/213	uck	1	- u ck -
10/215	uck	1	- u ck -
10/217	uck	1	- u ck -
10/219	uck	1	- u ck -
11/49	uk	1	- u k -
11/53	aa	1	- aa - -
11/55	NA	NA	- - - -
11/57	NA	NA	- - - -
11/59	aa	1	- aa - -
11/61	aasse	1	- aa ss e
11/63	NA	NA	- - - -
11/65	aa	1	- aa - -
11/67	aa	1	- aa - -
11/69	uok	1	- uo k -
11/187	ock	1	- o ck -
11/189	ok	1	- o k -
11/191	ok	1	- o k -
11/195	ok	1	- o k -
11/197	ohk	1	- oh k -
11/203	ok	1	- o k -
11/205	ok	1	- o k -
11/207	ook	1	- oo k -
11/209	ok	1	- o k -
11/211	ok	1	- o k -
11/213	ok	1	- o k -
11/215	uck	1	- u ck -
11/217	NA	NA	- - - -
11/219	uck	1	- u ck -
12/47	uk	1	- u k -
12/49	uk	1	- u k -
12/51	ock	1	- o ck -
12/53	aassä	1	- aa ss ä
12/55	NA	NA	- - - -
12/57	osse	1	- o ss e
12/59	NA	NA	- - - -
12/61	aa	1	- aa - -
12/63	NA	NA	- - - -
12/65	a	1	- a - -
12/67	o	1	- o - -
12/69	NA	NA	- - - -
12/187	ok	1	- o k -
12/189	ok	1	- o k -
12/191	NA	NA	- - - -
12/193	NA	NA	- - - -
12/195	ok	1	- o k -
12/197	ok	1	- o k -
12/199	NA	NA	- - - -
12/201	ok	1	- o k -
12/203	ok	1	- o k -
12/205	ok	1	- o k -
12/207	ok	1	- o k -
12/209	ok	1	- o k -
12/211	uck	1	- u ck -
12/213	ok	1	- o k -
12/215	uck	1	- u ck -
12/217	ohk	1	- oh k -
12/219	ok	1	- o k -
12/221	ook	1	- oo k -
12/223	ok	1	- o k -
13/51	ook	1	- oo k -
13/53	ok	1	- o k -
13/55	ok	1	- o k -
13/57	au	1	- au - -
13/59	au	1	- au - -
13/61	ok	1	- o k -
13/63	uck	1	- u ck -
13/65	ock	1	- o ck -
13/67	ok	1	- o k -
13/161	uck	1	- u ck -
13/163	uk	1	- u k -
13/165	uk	1	- u k -
13/167	uck	1	- u ck -
13/187	ok	1	- o k -
13/189	ok	1	- o k -
13/191	ook	1	- oo k -
13/193	ok	1	- o k -
13/195	ook	1	- oo k -
