locations	strings	cognateID	alignments
001/203	op	1	- o p -
002/201	opp	1	- o pp -
002/203	opp	1	- o pp -
002/205	opp	1	- o pp -
003/203	opp	1	- o pp -
003/205	opp	1	- o pp -
004/205	ob	1	- o b -
005/205	opp	1	- o pp -
005/207	op	1	- o p -
006/205	op	1	- o p -
006/207	ob	1	- o b -
007/205	opp	1	- o pp -
007/207	op	1	- o p -
007/209	opp	1	- o pp -
007/211	ob	1	- o b -
008/199	op	1	- o p -
008/203	opp	1	- o pp -
008/205	opp	1	- o pp -
008/207	op	1	- o p -
008/209	op	1	- o p -
008/211	op	1	- o p -
008/213	op	1	- o p -
009/199	op	1	- o p -
009/203	opp	1	- o pp -
009/207	op	1	- o p -
009/209	op	1	- o p -
009/211	opp	1	- o pp -
009/213	op	1	- o p -
009/215	opp	1	- o pp -
009/217	op	1	- o p -
010/195	ob	1	- o b -
010/203	ob	1	- o b -
010/207	op	1	- o p -
010/209	opp	1	- o pp -
010/211	opp	1	- o pp -
010/213	op	1	- o p -
010/215	opp	1	- o pp -
010/217	op	1	- o p -
010/219	opp	1	- o pp -
011/049	üb	1	- ü b -
011/053	aa	1	- aa - -
011/055	o	1	- o - -
011/057	aa	1	- aa - -
011/059	aa	1	- aa - -
011/061	aa	1	- aa - -
011/063	aad	4	- aa d -
011/065	aa	1	- aa - -
011/067	o	1	- o - -
011/069	aa	1	- aa - -
011/187	ob	1	- o b -
011/189	op	1	- o p -
011/191	opp	1	- o pp -
011/195	op	1	- o p -
011/197	opp	1	- o pp -
011/203	op	1	- o p -
011/205	opp	1	- o pp -
011/207	opp	1	- o pp -
011/209	opp	1	- o pp -
011/211	opp	1	- o pp -
011/213	opp	1	- o pp -
011/215	opp	1	- o pp -
011/217	opp	1	- o pp -
011/219	ob	1	- o b -
012/047	üp	1	- ü p -
012/049	üp	1	- ü p -
012/051	ew	1	- e w -
012/053	a	1	- a - -
012/055	aa	1	- aa - -
012/057	a	1	- a - -
012/059	aa	1	- aa - -
012/061	aa	1	- aa - -
012/063	aa	1	- aa - -
012/065	aa	1	- aa - -
012/067	o	1	- o - -
012/069	o	1	- o - -
012/187	opp	1	- o pp -
012/189	op	1	- o p -
012/191	op	1	- o p -
012/193	opp	1	- o pp -
012/195	op	1	- o p -
012/197	opp	1	- o pp -
012/199	opp	1	- o pp -
012/201	op	1	- o p -
012/203	ob	1	- o b -
012/205	op	1	- o p -
012/207	opp	1	- o pp -
012/209	opp	1	- o pp -
012/211	op	1	- o p -
012/213	op	1	- o p -
012/215	opp	1	- o pp -
012/217	op	1	- o p -
012/219	op	1	- o p -
012/221	opp	1	- o pp -
012/223	op	1	- o p -
013/051	äv	1	- ä v -
013/053	aaw	1	- aa w -
013/055	aaw	1	- aa w -
013/057	aa	1	- aa - -
013/059	a	1	- a - -
013/061	ob	1	- o b -
013/063	up	1	- u p -
013/065	obb	1	- o bb -
013/067	ob	1	- o b -
013/161	ob	1	- o b -
013/163	ob	1	- o b -
013/165	op	1	- o p -
013/167	ob	1	- o b -
013/187	op	1	- o p -
013/189	op	1	- o p -
013/191	opp	1	- o pp -
013/193	opp	1	- o pp -
013/195	opp	1	- o pp -
013/197	opp	1	- o pp -
013/199	op	1	- o p -
013/201	op	1	- o p -
013/203	opp	1	- o pp -
013/207	opp	1	- o pp -
013/209	opp	1	- o pp -
013/211	op	1	- o p -
013/213	op	1	- o p -
013/215	op	1	- o p -
013/217	opp	1	- o pp -
013/219	op	1	- o p -
013/221	ob	1	- o b -
013/223	op	1	- o p -
014/047	ub	1	- u b -
014/049	uub	1	- uu b -
014/051	üb	1	- ü b -
014/053	a	1	- a - -
014/055	aw	1	- a w -
014/057	av	1	- a v -
014/059	op	1	- o p -
014/061	op	1	- o p -
014/063	up	1	- u p -
