locations	strings	cognateID	alignments
001/203	ut	1	- u t
002/201	ut	1	- u t
002/203	ut	1	- u t
002/205	ut	1	- u t
003/203	ut	1	- u t
003/205	ut	1	- u t
004/205	ut	1	- u t
005/205	ut	1	- u t
005/207	ut	1	- u t
006/205	uht	1	- uh t
006/207	ut	1	- u t
007/205	ut	1	- u t
007/207	ut	1	- u t
007/209	NA	NA	- - -
007/211	ut	1	- u t
008/199	uht	1	- uh t
008/203	ut	1	- u t
008/205	ut	1	- u t
008/207	ut	1	- u t
008/209	ut	1	- u t
008/211	ut	1	- u t
008/213	ut	1	- u t
009/199	uut	1	- uu t
009/203	ut	1	- u t
009/207	ut	1	- u t
009/209	ut	1	- u t
009/211	uut	1	- uu t
009/213	ut	1	- u t
009/215	ut	1	- u t
009/217	ut	1	- u t
010/195	ut	1	- u t
010/203	ut	1	- u t
010/207	ut	1	- u t
010/209	ut	1	- u t
010/211	ut	1	- u t
010/213	ut	1	- u t
010/215	ut	1	- u t
010/217	ut	1	- u t
010/219	ut	1	- u t
011/049	üt	1	- ü t
011/053	NA	NA	- - -
011/055	NA	NA	- - -
011/057	NA	NA	- - -
011/059	NA	NA	- - -
011/061	ud	1	- u d
011/063	ueed	1	- uee d
011/065	av	1	- a v
011/067	ud	1	- u d
011/069	ud	1	- u d
011/187	ut	1	- u t
011/189	ut	1	- u t
011/191	ut	1	- u t
011/195	ut	1	- u t
011/197	ut	1	- u t
011/203	ut	1	- u t
011/205	ut	1	- u t
011/207	ut	1	- u t
011/209	uutt	1	- uu tt
011/211	ut	1	- u t
011/213	ut	1	- u t
011/215	ut	1	- u t
011/217	ut	1	- u t
011/219	ut	1	- u t
012/047	of	1	- o f
012/049	üt	1	- ü t
012/051	af	1	- a f
012/053	a	1	- a -
012/055	NA	NA	- - -
012/057	ur	1	- ur -
012/059	NA	NA	- - -
012/061	au	1	- au -
012/063	NA	NA	- - -
012/065	ue	1	- ue -
012/067	ud	1	- u d
012/069	NA	NA	- - -
012/187	ut	1	- u t
012/189	ut	1	- u t
012/191	ut	1	- u t
012/193	ut	1	- u t
012/195	ut	1	- u t
012/197	ut	1	- u t
012/199	ut	1	- u t
012/201	ut	1	- u t
012/203	ut	1	- u t
012/205	ut	1	- u t
012/207	uut	1	- uu t
012/209	ut	1	- u t
012/211	ut	1	- u t
012/213	ut	1	- u t
012/215	ut	1	- u t
012/217	ut	1	- u t
012/219	ut	1	- u t
012/221	ut	1	- u t
012/223	ut	1	- u t
013/051	öt	1	- ö t
013/053	üt	1	- ü t
013/055	auf	1	- au f
013/057	ud	1	- u d
013/059	NA	NA	- - -
013/061	ud	1	- u d
013/063	ut	1	- u t
013/065	ut	1	- u t
013/067	ut	1	- u t
013/161	out	1	- ou t
013/163	ut	1	- u t
013/165	ut	1	- u t
013/167	ut	1	- u t
013/187	iut	1	- iu t
013/189	ut	1	- u t
013/191	ut	1	- u t
013/193	ut	1	- u t
013/195	ut	1	- u t
013/197	ut	1	- u t
013/199	ut	1	- u t
013/201	ut	1	- u t
013/203	ut	1	- u t
013/207	uht	1	- uh t
013/209	ut	1	- u t
013/211	ut	1	- u t
013/213	ut	1	- u t
013/215	ut	1	- u t
013/217	ut	1	- u t
013/219	ut	1	- u t
013/221	ut	1	- u t
013/223	ut	1	- u t
014/047	ütj	1	- ü tj
014/049	uf	1	- u f
014/051	ütj	1	- ü tj
014/053	ütt	1	- ü tt
014/055	öt	1	- ö t
014/057	öt	1	- ö t
014/059	uut	1	- uu t
014/061	ut	1	- u t
014/063	ut	1	- u t
014/065	ut	1	- u t
014/067	ut	1	- u t
014/109	ut	1	- u t
014/159	ut	1	- u t
014/161	ut	1	- u t
014/163	ut	1	- u t
014/165	ut	1	- u t
014/167	ut	1	- u t
014/169	ut	1	- u t
014/187	ut	1	- u t
014/189	ut	1	- u t
014/191	ut	1	- u t
014/193	ut	1	- u t
014/195	uut	1	- uu t
014/197	ut	1	- u t
014/199	uth	1	- u th
014/201	ut	1	- u t
014/203	ut	1	- u t
014/205	ut	1	- u t
014/207	ut	1	- u t
014/209	ut	1	- u t
014/211	ut	1	- u t
014/213	ut	1	- u t
014/215	ut	1	- u t
014/217	ut	1	- u t
014/219	ut	1	- u t
014/221	ut	1	- u t
015/049	utj	1	- u tj
015/051	ut	1	- u t
015/053	ut	1	- u t
015/055	üt	1	- ü t
015/057	ött	1	- ö tt
015/059	ut	1	- u t
015/061	ut	1	- u t
015/063	ut	1	- u t
015/065	ut	1	- u t
015/067	ut	1	- u t
015/105	ut	1	- u t
015/107	ut	1	- u t
015/109	ut	1	- u t
015/151	ut	1	- u t
015/153	uht	1	- uh t
015/155	ut	1	- u t
015/157	ut	1	- u t
015/159	ut	1	- u t
015/161	ut	1	- u t
015/163	ut	1	- u t
015/165	ut	1	- u t
015/167	ut	1	- u t
015/169	ut	1	- u t
015/173	ut	1	- u t
015/187	ut	1	- u t
015/191	ut	1	- u t
015/193	ut	1	- u t
015/195	ut	1	- u t
015/197	ut	1	- u t
015/199	ut	1	- u t
015/201	ut	1	- u t
015/203	ut	1	- u t
015/205	ut	1	- u t
015/207	ut	1	- u t
015/209	ut	1	- u t
015/211	ut	1	- u t
015/213	ut	1	- u t
015/215	ut	1	- u t
015/217	NA	NA	- - -
015/219	uut	1	- uu t
015/221	ut	1	- u t
016/051	öt	1	- ö t
016/055	ütt	1	- ü tt
016/057	ut	1	- u t
016/059	ut	1	- u t
016/061	ut	1	- u t
016/063	ut	1	- u t
016/065	ut	1	- u t
016/067	ut	1	- u t
016/081	ud	1	- u d
016/083	ut	1	- u t
016/105	ut	1	- u t
016/107	ut	1	- u t
016/109	ut	1	- u t
016/111	ut	1	- u t
016/145	ut	1	- u t
016/147	ut	1	- u t
016/149	NA	NA	- - -
016/151	ut	1	- u t
016/153	ut	1	- u t
016/155	ut	1	- u t
016/157	ut	1	- u t
016/159	ut	1	- u t
016/161	ut	1	- u t
016/163	ut	1	- u t
016/165	ut	1	- u t
016/167	ut	1	- u t
016/187	ut	1	- u t
016/189	ut	1	- u t
016/191	ut	1	- u t
016/193	ut	1	- u t
016/195	ut	1	- u t
016/197	uht	1	- uh t
016/199	ut	1	- u t
016/201	ut	1	- u t
016/203	ut	1	- u t
