locations	strings	cognateID	alignments
1/203	bu	1	b u
2/201	bu	1	b u
2/203	bu	1	b u
2/205	buh	1	b uh
3/203	bu	1	b u
3/205	buu	1	b uu
4/205	bu	1	b u
5/205	bu	1	b u
5/207	bu	1	b u
6/205	buh	1	b uh
6/207	buh	1	b uh
7/205	bu	1	b u
7/207	bu	1	b u
7/209	buu	1	b uu
7/211	bu	1	b u
8/199	buh	1	b uh
8/203	bu	1	b u
8/205	bu	1	b u
8/207	bu	1	b u
8/209	bu	1	b u
8/211	bu	1	b u
8/213	bu	1	b u
9/199	buh	1	b uh
9/203	bu	1	b u
9/207	bu	1	b u
9/209	bu	1	b u
9/211	bu	1	b u
9/213	bu	1	b u
9/215	buh	1	b uh
9/217	bu	1	b u
10/195	bu	1	b u
10/203	bu	1	b u
10/207	bu	1	b u
10/209	bu	1	b u
10/211	buh	1	b uh
10/213	bu	1	b u
10/215	buu	1	b uu
10/217	bu	1	b u
10/219	bu	1	b u
11/49	bu	1	b u
11/53	by	1	b y
11/55	bö	1	b ö
11/57	by	1	b y
11/59	by	1	b y
11/61	by	1	b y
11/63	by	1	b y
11/65	by	1	b y
11/67	bü	1	b ü
11/69	bö	1	b ö
11/187	bu	1	b u
11/189	bu	1	b u
11/191	bu	1	b u
11/195	bu	1	b u
11/197	buh	1	b uh
11/203	bu	1	b u
11/205	buh	1	b uh
11/207	bu	1	b u
11/209	buu	1	b uu
11/211	bu	1	b u
11/213	bu	1	b u
11/215	bu	1	b u
11/217	bu	1	b u
11/219	bu	1	b u
12/47	buu	1	b uu
12/49	buu	1	b uu
12/51	bjö	1	b jö
12/53	bü	1	b ü
12/55	by	1	b y
12/57	bö	1	b ö
12/59	by	1	b y
12/61	by	1	b y
12/63	by	1	b y
12/65	by	1	b y
12/67	by	1	b y
12/69	bü	1	b ü
12/187	bu	1	b u
12/189	bu	1	b u
12/191	bu	1	b u
12/193	bu	1	b u
12/195	bu	1	b u
12/197	bu	1	b u
12/199	bu	1	b u
12/201	bu	1	b u
12/203	bua	1	b ua
12/205	bu	1	b u
12/207	buu	1	b uu
12/209	buh	1	b uh
12/211	buh	1	b uh
12/213	buu	1	b uu
12/215	buu	1	b uu
12/217	bu	1	b u
12/219	bu	1	b u
12/221	bu	1	b u
12/223	bu	1	b u
13/51	bö	1	b ö
13/53	bö	1	b ö
13/55	bö	1	b ö
13/57	by	1	b y
13/59	NA	NA	- - - - -
13/61	bu	1	b u
13/63	buh	1	b uh
13/65	buu	1	b uu
13/67	bu	1	b u
13/161	bu	1	b u
13/163	bu	1	b u
13/165	bu	1	b u
13/167	bu	1	b u
13/187	biu	1	b iu
13/189	bu	1	b u
13/191	bu	1	b u
13/193	bua	1	b ua
13/195	bua	1	b ua
13/197	bua	1	b ua
13/199	buu	1	b uu
13/201	bu	1	b u
13/203	bua	1	b ua
13/207	buh	1	b uh
13/209	buh	1	b uh
13/211	bu	1	b u
13/213	buh	1	b uh
13/215	bu	1	b u
13/217	bu	1	b u
13/219	buu	1	b uu
13/221	bu	1	b u
13/223	bu	1	b u
14/47	bu	1	b u
14/49	bü	1	b ü
14/51	bü	1	b ü
14/53	bö	1	b ö
14/55	bö	1	b ö
14/57	bö	1	b ö
14/59	buu	1	b uu
14/61	bu	1	b u
14/63	bu	1	b u
14/65	bu	1	b u
14/67	buu	1	b uu
14/109	bua	1	b ua
14/159	bu	1	b u
14/161	buh	1	b uh
14/163	bu	1	b u
14/165	bu	1	b u
14/167	bu	1	b u
14/169	bu	1	b u
14/187	buu	1	b uu
14/189	buh	1	b uh
14/191	bu	1	b u
14/193	bu	1	b u
14/195	buu	1	b uu
14/197	bu	1	b u
14/199	buh	1	b uh
14/201	bua	1	b ua
14/203	bu	1	b u
14/205	bu	1	b u
14/207	bu	1	b u
14/209	buh	1	b uh
14/211	buh	1	b uh
14/213	bu	1	b u
14/215	bu	1	b u
14/217	buh	1	b uh
14/219	bu	1	b u
14/221	bu	1	b u
15/49	bü	1	b ü
15/51	bü	1	b ü
15/53	bu	1	b u
15/55	bö	1	b ö
15/57	böh	1	b öh
15/59	buu	1	b uu
15/61	buu	1	b uu
15/63	buu	1	b uu
15/65	bu	1	b u
15/67	bu	1	b u
15/105	bu	1	b u
15/107	bua	1	b ua
15/109	bu	1	b u
15/151	bu	1	b u
15/153	bu	1	b u
15/155	bu	1	b u
15/157	bu	1	b u
15/159	bu	1	b u
15/161	bu	1	b u
15/163	buh	1	b uh
15/165	bu	1	b u
15/167	buh	1	b uh
15/169	bu	1	b u
15/173	bu	1	b u
15/187	buh	1	b uh
15/191	bu	1	b u
15/193	bu	1	b u
15/195	bu	1	b u
15/197	bu	1	b u
15/199	bu	1	b u
15/201	bu	1	b u
15/203	bua	1	b ua
15/205	bu	1	b u
15/207	bu	1	b u
15/209	bu	1	b u
15/211	bu	1	b u
15/213	bu	1	b u
15/215	bu	1	b u
15/217	bu	1	b u
15/219	buu	1	b uu
15/221	bu	1	b u
16/51	bö	1	b ö
16/55	bu	1	b u
16/57	buu	1	b uu
16/59	buu	1	b uu
16/61	bu	1	b u
16/63	buu	1	b uu
16/65	bu	1	b u
16/67	buu	1	b uu
16/81	bu	1	b u
16/83	buu	1	b uu
16/105	bu	1	b u
16/107	bu	1	b u
16/109	bu	1	b u
16/111	bueh	1	b ueh
16/145	bua	1	b ua
16/147	buha	1	b uha
16/149	bua	1	b ua
16/151	bu	1	b u
16/153	bu	1	b u
16/155	bu	1	b u
16/157	bu	1	b u
16/159	buh	1	b uh
16/161	bu	1	b u
16/163	bu	1	b u
16/165	bu	1	b u
16/167	bu	1	b u
16/187	bua	1	b ua
16/189	bua	1	b ua
16/191	bue	1	b ue
16/193	bua	1	b ua
16/195	bu	1	b u
16/197	bu	1	b u
16/199	bu	1	b u
16/201	bu	1	b u
16/203	bu	1	b u
16/205	bua	1	b ua
16/209	buu	1	b uu
16/211	bu	1	b u
16/213	bu	1	b u
16/215	bu	1	b u
16/217	bu	1	b u
16/219	bu	1	b u
17/55	buu	1	b uu
17/57	bu	1	b u
17/59	bü	1	b ü
17/61	bu	1	b u
17/63	bu	1	b u
17/65	bu	1	b u
17/67	bu	1	b u
17/69	bu	1	b u
17/81	bu	1	b u
17/83	bu	1	b u
17/99	bu	1	b u
17/101	bu	1	b u
17/103	bu	1	b u
17/107	bu	1	b u
17/109	bu	1	b u
17/145	bu	1	b u
17/147	bu	1	b u
17/149	bu	1	b u
17/151	bu	1	b u
17/153	bu	1	b u
17/155	bu	1	b u
17/157	bu	1	b u
17/159	bu	1	b u
17/161	bu	1	b u
17/163	bu	1	b u
17/165	bu	1	b u
17/169	buu	1	b uu
17/171	bu	1	b u
17/183	bu	1	b u
17/185	bu	1	b u
17/187	bu	1	b u
17/189	buha	1	b uha
17/191	bu	1	b u
17/193	bu	1	b u
17/195	bu	1	b u
17/197	bu	1	b u
17/199	bu	1	b u
17/201	bu	1	b u
17/203	buh	1	b uh
17/205	bu	1	b u
17/207	bu	1	b u
17/209	bu	1	b u
17/211	bu	1	b u
17/213	bu	1	b u
17/215	bu	1	b u
17/217	bu	1	b u
17/219	bu	1	b u
18/51	bue	1	b ue
18/53	bu	1	b u
18/55	bu	1	b u
18/57	bu	1	b u
18/59	bu	1	b u
18/61	buu	1	b uu
18/63	buu	1	b uu
18/65	buu	1	b uu
18/67	buu	1	b uu
18/69	bu	1	b u
18/71	bu	1	b u
18/73	bu	1	b u
18/75	buu	1	b uu
18/79	buu	1	b uu
18/81	bue	1	b ue
18/97	bu	1	b u
18/99	bu	1	b u
18/103	bueh	1	b ueh
18/105	buh	1	b uh
18/107	bu	1	b u
18/109	buu	1	b uu
18/111	bu	1	b u
18/143	bu	1	b u
18/145	bu	1	b u
18/147	buh	1	b uh
18/149	bu	1	b u
18/151	bu	1	b u
18/153	bu	1	b u
18/155	bu	1	b u
18/157	bu	1	b u
18/159	bu	1	b u
18/161	bu	1	b u
18/163	bu	1	b u
18/165	bu	1	b u
18/169	buh	1	b uh
18/171	buu	1	b uu
18/173	bu	1	b u
18/181	bu	1	b u
18/185	bu	1	b u
18/187	bu	1	b u
18/189	bu	1	b u
18/191	bu	1	b u
18/193	bu	1	b u
18/195	bu	1	b u
18/197	buu	1	b uu
18/199	bu	1	b u
18/201	bu	1	b u
18/203	bu	1	b u
18/205	bu	1	b u
18/207	buu	1	b uu
18/209	bu	1	b u
18/211	bu	1	b u
18/213	bu	1	b u
18/215	bu	1	b u
18/219	bu	1	b u
19/51	bu	1	b u
19/53	buu	1	b uu
19/55	buu	1	b uu
19/57	buu	1	b uu
19/59	bu	1	b u
19/61	buh	1	b uh
19/63	bue	1	b ue
19/65	buu	1	b uu
19/67	buu	1	b uu
19/69	bu	1	b u
19/71	bu	1	b u
19/73	buu	1	b uu
19/75	buu	1	b uu
19/77	buu	1	b uu
19/79	buu	1	b uu
19/81	bu	1	b u
19/97	bue	1	b ue
19/99	buh	1	b uh
19/101	bu	1	b u
19/103	bu	1	b u
19/105	buh	1	b uh
