locations	strings	cognateID	alignments
001/203	brun	1	b r u n
002/201	brun	1	b r u n
002/203	brun	1	b r u n
002/205	brun	1	b r u n
003/203	brun	1	b r u n
003/205	brun	1	b r u n
004/205	brun	1	b r u n
005/205	brun	1	b r u n
005/207	brun	1	b r u n
006/205	bruhn	1	b r uh n
006/207	brun	1	b r u n
007/205	brun	1	b r u n
007/207	brun	1	b r u n
007/209	bruun	1	b r uu n
007/211	brun	1	b r u n
008/199	brun	1	b r u n
008/203	brun	1	b r u n
008/205	brun	1	b r u n
008/207	brun	1	b r u n
008/209	brun	1	b r u n
008/211	brun	1	b r u n
008/213	brun	1	b r u n
009/199	brun	1	b r u n
009/203	brun	1	b r u n
009/207	brun	1	b r u n
009/209	brun	1	b r u n
009/211	bruun	1	b r uu n
009/213	brun	1	b r u n
009/215	brun	1	b r u n
009/217	brun	1	b r u n
010/195	brun	1	b r u n
010/203	brun	1	b r u n
010/207	brun	1	b r u n
010/209	brun	1	b r u n
010/211	bruhn	1	b r uh n
010/213	brun	1	b r u n
010/215	brun	1	b r u n
010/217	brun	1	b r u n
010/219	brun	1	b r u n
011/049	brünn	1	b r ü nn
011/053	brun	1	b r u n
011/055	bruun	1	b r uu n
011/057	bruen	1	b r ue n
011/059	brun	1	b r u n
011/061	bruun	1	b r uu n
011/063	bruun	1	b r uu n
011/065	bruun	1	b r uu n
011/067	bruun	1	b r uu n
011/069	brun	1	b r u n
011/187	brun	1	b r u n
011/189	bruun	1	b r uu n
011/191	brun	1	b r u n
011/195	brun	1	b r u n
011/197	bruhn	1	b r uh n
011/203	brun	1	b r u n
011/205	brun	1	b r u n
011/207	brun	1	b r u n
011/209	bruun	1	b r uu n
011/211	brun	1	b r u n
011/213	brun	1	b r u n
011/215	brun	1	b r u n
011/217	brun	1	b r u n
011/219	brun	1	b r u n
012/047	brün	1	b r ü n
012/049	brün	1	b r ü n
012/051	brünn	1	b r ü nn
012/053	brun	1	b r u n
012/055	bruun	1	b r uu n
012/057	brun	1	b r u n
012/059	bruen	1	b r ue n
012/061	brun	1	b r u n
012/063	brunn	1	b r u nn
012/065	brun	1	b r u n
012/067	brun	1	b r u n
012/069	bruun	1	b r uu n
012/187	brun	1	b r u n
012/189	brun	1	b r u n
012/191	brun	1	b r u n
012/193	brun	1	b r u n
012/195	brun	1	b r u n
012/197	brun	1	b r u n
012/199	brun	1	b r u n
012/201	brun	1	b r u n
012/203	brun	1	b r u n
012/205	brun	1	b r u n
012/207	bruun	1	b r uu n
012/209	brun	1	b r u n
012/211	brun	1	b r u n
012/213	brun	1	b r u n
012/215	brun	1	b r u n
012/217	brun	1	b r u n
012/219	brun	1	b r u n
012/221	brun	1	b r u n
012/223	brun	1	b r u n
013/051	brünn	1	b r ü nn
013/053	brünn	1	b r ü nn
013/055	brünn	1	b r ü nn
013/057	bruun	1	b r uu n
013/059	bruun	1	b r uu n
013/061	brun	1	b r u n
013/063	brun	1	b r u n
013/065	brun	1	b r u n
013/067	brun	1	b r u n
013/161	brun	1	b r u n
013/163	brun	1	b r u n
013/165	brun	1	b r u n
013/167	brun	1	b r u n
013/187	briun	1	b r iu n
013/189	brun	1	b r u n
013/191	brun	1	b r u n
013/193	brun	1	b r u n
013/195	bruun	1	b r uu n
013/197	brun	1	b r u n
013/199	brun	1	b r u n
013/201	brun	1	b r u n
013/203	brun	1	b r u n
013/207	bruhn	1	b r uh n
013/209	brun	1	b r u n
013/211	brun	1	b r u n
013/213	brunn	1	b r u nn
013/215	brun	1	b r u n
013/217	brun	1	b r u n
013/219	bruun	1	b r uu n
013/221	brun	1	b r u n
013/223	brun	1	b r u n
014/047	brun	1	b r u n
014/049	brün	1	b r ü n
014/051	brün	1	b r ü n
014/053	brönn	1	b r ö nn
014/055	brönn	1	b r ö nn
014/057	brönn	1	b r ö nn
014/059	brun	1	b r u n
014/061	brun	1	b r u n
014/063	brun	1	b r u n
014/065	brun	1	b r u n
014/067	bruhn	1	b r uh n
014/109	brun	1	b r u n
014/159	brun	1	b r u n
014/161	bruhn	1	b r uh n
014/163	brun	1	b r u n
014/165	brun	1	b r u n
014/167	brun	1	b r u n
014/169	bruhn	1	b r uh n
014/187	bruun	1	b r uu n
014/189	brun	1	b r u n
014/191	brun	1	b r u n
014/193	brun	1	b r u n
014/195	bruun	1	b r uu n
014/197	brun	1	b r u n
014/199	brun	1	b r u n
014/201	brun	1	b r u n
014/203	brun	1	b r u n
014/205	brun	1	b r u n
014/207	brun	1	b r u n
014/209	bruhn	1	b r uh n
014/211	brun	1	b r u n
014/213	brun	1	b r u n
014/215	brun	1	b r u n
014/217	brun	1	b r u n
014/219	brun	1	b r u n
014/221	brun	1	b r u n
015/049	brun	1	b r u n
015/051	brunn	1	b r u nn
015/053	brunn	1	b r u nn
015/055	brünn	1	b r ü nn
015/057	brönn	1	b r ö nn
015/059	brun	1	b r u n
015/061	brun	1	b r u n
015/063	brun	1	b r u n
015/065	brun	1	b r u n
015/067	brun	1	b r u n
015/105	brun	1	b r u n
015/107	brun	1	b r u n
015/109	brun	1	b r u n
015/151	brun	1	b r u n
015/153	bruhn	1	b r uh n
015/155	brun	1	b r u n
015/157	brun	1	b r u n
015/159	brun	1	b r u n
015/161	brun	1	b r u n
015/163	brun	1	b r u n
015/165	brun	1	b r u n
015/167	brun	1	b r u n
015/169	brun	1	b r u n
015/173	brun	1	b r u n
015/187	brun	1	b r u n
015/191	bruhn	1	b r uh n
015/193	brun	1	b r u n
015/195	brun	1	b r u n
015/197	brun	1	b r u n
015/199	bruun	1	b r uu n
015/201	brun	1	b r u n
015/203	brun	1	b r u n
015/205	brun	1	b r u n
015/207	brun	1	b r u n
015/209	brun	1	b r u n
015/211	brun	1	b r u n
015/213	brun	1	b r u n
015/215	brun	1	b r u n
015/217	brun	1	b r u n
015/219	bruun	1	b r uu n
015/221	brun	1	b r u n
016/051	brunn	1	b r u nn
016/055	brönn	1	b r ö nn
016/057	brun	1	b r u n
016/059	brun	1	b r u n
016/061	brun	1	b r u n
016/063	bruun	1	b r uu n
016/065	brun	1	b r u n
016/067	brun	1	b r u n
016/081	brun	1	b r u n
016/083	bruun	1	b r uu n
016/105	brun	1	b r u n
016/107	brun	1	b r u n
016/109	brun	1	b r u n
016/111	bruhn	1	b r uh n
016/145	brun	1	b r u n
016/147	brun	1	b r u n
016/149	bruun	1	b r uu n
016/151	brun	1	b r u n
016/153	brun	1	b r u n
016/155	brun	1	b r u n
016/157	brun	1	b r u n
016/159	brun	1	b r u n
016/161	brun	1	b r u n
016/163	brun	1	b r u n
016/165	brun	1	b r u n
016/167	brun	1	b r u n
016/187	brun	1	b r u n
016/189	brun	1	b r u n
016/191	brun	1	b r u n
016/193	brun	1	b r u n
016/195	brun	1	b r u n
016/197	brun	1	b r u n
016/199	brun	1	b r u n
016/201	bruhn	1	b r uh n
016/203	brun	1	b r u n
016/205	brun	1	b r u n
016/209	bruun	1	b r uu n
016/211	brun	1	b r u n
016/213	brun	1	b r u n
016/215	brun	1	b r u n
016/217	brun	1	b r u n
016/219	brun	1	b r u n
017/055	brun	1	b r u n
017/057	brun	1	b r u n
017/059	brun	1	b r u n
017/061	brun	1	b r u n
017/063	brun	1	b r u n
017/065	brun	1	b r u n
017/067	brun	1	b r u n
017/069	brun	1	b r u n
017/081	brun	1	b r u n
017/083	brun	1	b r u n
017/099	brun	1	b r u n
017/101	brun	1	b r u n
017/103	bruhn	1	b r uh n
017/107	brun	1	b r u n
017/109	brun	1	b r u n
017/145	brun	1	b r u n
017/147	brun	1	b r u n
017/149	brun	1	b r u n
017/151	brun	1	b r u n
017/153	brun	1	b r u n
017/155	brun	1	b r u n
017/157	brun	1	b r u n
017/159	brun	1	b r u n
017/161	bruhn	1	b r uh n
017/163	brun	1	b r u n
017/165	brun	1	b r u n
017/169	brun	1	b r u n
017/171	brun	1	b r u n
017/183	brun	1	b r u n
017/185	brun	1	b r u n
017/187	brun	1	b r u n
017/189	bruen	1	b r ue n
017/191	brun	1	b r u n
