locations	strings	cognateID	alignments
001/203	du	1	d u -
002/201	du	1	d u -
002/203	du	1	d u -
002/205	du	1	d u -
003/203	du	1	d u -
003/205	du	1	d u -
004/205	du	1	d u -
005/205	du	1	d u -
005/207	NA	NA	-
006/205	du	1	d u -
006/207	du	1	d u -
007/205	du	1	d u -
007/207	du	1	d u -
007/209	du	1	d u -
007/211	du	1	d u -
008/199	du	1	d u -
008/203	du	1	d u -
008/205	du	1	d u -
008/207	du	1	d u -
008/209	du	1	d u -
008/211	du	1	d u -
008/213	du	1	d u -
009/199	du	1	d u -
009/203	du	1	d u -
009/207	du	1	d u -
009/209	du	1	d u -
009/211	du	1	d u -
009/213	du	1	d u -
009/215	du	1	d u -
009/217	du	1	d u -
010/195	du	1	d u -
010/203	du	1	d u -
010/207	du	1	d u -
010/209	du	1	d u -
010/211	du	1	d u -
010/213	du	1	d u -
010/215	du	1	d u -
010/217	de	1	d e -
010/219	du	1	d u -
011/049	dü	1	d ü -
011/053	dit	1	d i t
011/055	din	1	d i n
011/057	din	1	d i n
011/059	din	1	d i n
011/061	din	1	d i n
011/063	do	1	d o -
011/065	din	1	d i n
011/067	din	1	d i n
011/069	din	1	d i n
011/187	du	1	d u -
011/189	du	1	d u -
011/191	du	1	d u -
011/195	du	1	d u -
011/197	du	1	d u -
011/203	du	1	d u -
011/205	du	1	d u -
011/207	du	1	d u -
011/209	du	1	d u -
011/211	du	1	d u -
011/213	du	1	d u -
011/215	du	1	d u -
011/217	du	1	d u -
011/219	du	1	d u -
012/047	dü	1	d ü -
012/049	dü	1	d ü -
012/051	din	1	d i n
012/053	din	1	d i n
012/055	doo	1	d oo -
012/057	din	1	d i n
012/059	din	1	d i n
012/061	do	1	d o -
012/063	din	1	d i n
012/065	din	1	d i n
012/067	din	1	d i n
012/069	din	1	d i n
012/187	du	1	d u -
012/189	du	1	d u -
012/191	du	1	d u -
012/193	du	1	d u -
012/195	du	1	d u -
012/197	du	1	d u -
012/199	du	1	d u -
012/201	de	1	d e -
012/203	di	1	d i -
012/205	du	1	d u -
012/207	du	1	d u -
012/209	du	1	d u -
012/211	du	1	d u -
012/213	du	1	d u -
012/215	di	1	d i -
012/217	du	1	d u -
012/219	du	1	d u -
012/221	du	1	d u -
012/223	du	1	d u -
013/051	den	1	d e n
013/053	dan	1	d a n
013/055	dü	1	d ü -
013/057	din	1	d i n
013/059	dui	1	d ui -
013/061	du	1	d u -
013/063	du	1	d u -
013/065	du	1	d u -
013/067	du	1	d u -
013/161	du	1	d u -
013/163	du	1	d u -
013/165	du	1	d u -
013/167	du	1	d u -
013/187	din	1	d i n
013/189	du	1	d u -
013/191	du	1	d u -
013/193	du	1	d u -
013/195	du	1	d u -
013/197	du	1	d u -
013/199	du	1	d u -
013/201	du	1	d u -
013/203	du	1	d u -
013/207	du	1	d u -
013/209	du	1	d u -
013/211	du	1	d u -
013/213	du	1	d u -
013/215	du	1	d u -
013/217	du	1	d u -
013/219	du	1	d u -
013/221	du	1	d u -
013/223	du	1	d u -
014/047	dü	1	d ü -
014/049	dü	1	d ü -
014/051	dü	1	d ü -
014/053	de	1	d e -
014/055	dö	1	d ö -
014/057	dann	1	d a nn
014/059	du	1	d u -
014/061	du	1	d u -
014/063	du	1	d u -
014/065	du	1	d u -
014/067	du	1	d u -
014/109	du	1	d u -
014/159	du	1	d u -
014/161	du	1	d u -
014/163	du	1	d u -
014/165	du	1	d u -
014/167	du	1	d u -
014/169	du	1	d u -
014/187	du	1	d u -
014/189	du	1	d u -
014/191	du	1	d u -
014/193	du	1	d u -
014/195	du	1	d u -
014/197	du	1	d u -
014/199	du	1	d u -
014/201	du	1	d u -
014/203	du	1	d u -
014/205	do	1	d o -
014/207	du	1	d u -
014/209	du	1	d u -
014/211	du	1	d u -
