locations	strings	cognateID	alignments
001/203	is	1	i s -
002/201	ies	1	ie s -
002/203	is	1	i s -
002/205	ys	1	y s -
003/203	is	1	i s -
003/205	ys	1	y s -
004/205	ies	1	ie s -
005/205	ies	1	ie s -
005/207	is	1	i s -
006/205	ihs	1	ih s -
006/207	ies	1	ie s -
007/205	iis	1	ii s -
007/207	is	1	i s -
007/209	iis	1	ii s -
007/211	is	1	i s -
008/199	iss	1	i ss -
008/203	is	1	i s -
008/205	is	1	i s -
008/207	is	1	i s -
008/209	is	1	i s -
008/211	ys	1	y s -
008/213	is	1	i s -
009/199	iis	1	ii s -
009/203	ihs	1	ih s -
009/207	is	1	i s -
009/209	iis	1	ii s -
009/211	iis	1	ii s -
009/213	ies	1	ie s -
009/215	is	1	i s -
009/217	is	1	i s -
010/195	ies	1	ie s -
010/203	is	1	i s -
010/207	is	1	i s -
010/209	is	1	i s -
010/211	is	1	i s -
010/213	ies	1	ie s -
010/215	is	1	i s -
010/217	is	1	i s -
010/219	is	1	i s -
011/049	is	1	i s -
011/053	ies	1	ie s -
011/055	iis	1	ii s -
011/057	iis	1	ii s -
011/059	iis	1	ii s -
011/061	iis	1	ii s -
011/063	iis	1	ii s -
011/065	iis	1	ii s -
011/067	iis	1	ii s -
011/069	iis	1	ii s -
011/187	is	1	i s -
011/189	is	1	i s -
011/191	iis	1	ii s -
011/195	is	1	i s -
011/197	ihs	1	ih s -
011/203	is	1	i s -
011/205	ys	1	y s -
011/207	is	1	i s -
011/209	iis	1	ii s -
011/211	iis	1	ii s -
011/213	is	1	i s -
011/215	is	1	i s -
011/217	is	1	i s -
011/219	is	1	i s -
012/047	iss	1	i ss -
012/049	iss	1	i ss -
012/051	is	1	i s -
012/053	ies	1	ie s -
012/055	is	1	i s -
012/057	is	1	i s -
012/059	iis	1	ii s -
012/061	is	1	i s -
012/063	iis	1	ii s -
012/065	iis	1	ii s -
012/067	is	1	i s -
012/069	iis	1	ii s -
012/187	is	1	i s -
012/189	is	1	i s -
012/191	is	1	i s -
012/193	is	1	i s -
012/195	is	1	i s -
012/197	is	1	i s -
012/199	is	1	i s -
012/201	is	1	i s -
012/203	is	1	i s -
012/205	is	1	i s -
012/207	iss	1	i ss -
012/209	is	1	i s -
012/211	is	1	i s -
012/213	is	1	i s -
012/215	iiss	1	ii ss -
012/217	ihs	1	ih s -
012/219	ihs	1	ih s -
012/221	is	1	i s -
012/223	is	1	i s -
013/051	is	1	i s -
013/053	is	1	i s -
013/055	iis	1	ii s -
013/057	iis	1	ii s -
013/059	iis	1	ii s -
013/061	iis	1	ii s -
013/063	is	1	i s -
013/065	iis	1	ii s -
013/067	iis	1	ii s -
013/161	is	1	i s -
013/163	is	1	i s -
013/165	is	1	i s -
013/167	is	1	i s -
013/187	is	1	i s -
013/189	ies	1	ie s -
013/191	is	1	i s -
013/193	is	1	i s -
013/195	ihs	1	ih s -
013/197	iis	1	ii s -
013/199	iis	1	ii s -
013/201	is	1	i s -
013/203	is	1	i s -
013/207	ihs	1	ih s -
013/209	ihs	1	ih s -
013/211	is	1	i s -
013/213	ihs	1	ih s -
013/215	is	1	i s -
013/217	is	1	i s -
013/219	iis	1	ii s -
013/221	is	1	i s -
013/223	iis	1	ii s -
014/047	iis	1	ii s -
014/049	is	1	i s -
014/051	iss	1	i ss -
014/053	iss	1	i ss -
014/055	is	1	i s -
014/057	äs	1	ä s -
014/059	is	1	i s -
014/061	iis	1	ii s -
014/063	ies	1	ie s -
014/065	is	1	i s -
014/067	iis	1	ii s -
014/109	is	1	i s -
014/159	iis	1	ii s -
014/161	is	1	i s -
014/163	is	1	i s -
014/165	is	1	i s -
014/167	is	1	i s -
014/169	is	1	i s -
014/187	ies	1	ie s -
014/189	is	1	i s -
014/191	is	1	i s -
014/193	is	1	i s -
014/195	iis	1	ii s -
014/197	is	1	i s -
014/199	ihs	1	ih s -
014/201	is	1	i s -
014/203	is	1	i s -
014/205	is	1	i s -
014/207	is	1	i s -
014/209	is	1	i s -
014/211	is	1	i s -
014/213	iis	1	ii s -
014/215	is	1	i s -
014/217	ihss	1	ih ss -
014/219	is	1	i s -
014/221	ies	1	ie s -
015/049	iis	1	ii s -
015/051	iss	1	i ss -
015/053	is	1	i s -
015/055	is	1	i s -
015/057	ihss	1	ih ss -
015/059	iis	1	ii s -
015/061	iis	1	ii s -
015/063	iis	1	ii s -
015/065	is	1	i s -
015/067	iis	1	ii s -
015/105	ies	1	ie s -
015/107	is	1	i s -
015/109	is	1	i s -
015/151	is	1	i s -
015/153	ies	1	ie s -
015/155	is	1	i s -
015/157	is	1	i s -
015/159	is	1	i s -
015/161	is	1	i s -
015/163	iis	1	ii s -
015/165	is	1	i s -
015/167	is	1	i s -
015/169	eies	1	eie s -
015/173	is	1	i s -
015/187	ies	1	ie s -
