locations	strings	cognateID	alignments
001/203	fiew	1	f ie - - w
002/201	fif	1	f i - - f
002/203	fief	1	f ie - - f
002/205	fyf	1	f y - - f
003/203	fief	1	f ie - - f
003/205	fünf	1	f ü n - f
004/205	füf	1	f ü - - f
005/205	füf	1	f ü - - f
005/207	fief	1	f ie - - f
006/205	fiew	1	f ie - - w
006/207	füf	1	f ü - - f
007/205	fünf	1	f ü n - f
007/207	füf	1	f ü - - f
007/209	fief	1	f ie - - f
007/211	fönf	1	f ö n - f
008/199	fief	1	f ie - - f
008/203	fünf	1	f ü n - f
008/205	füf	1	f ü - - f
008/207	fönf	1	f ö n - f
008/209	fief	1	f ie - - f
008/211	füf	1	f ü - - f
008/213	finf	1	f i n - f
009/199	fihf	1	f ih - - f
009/203	fief	1	f ie - - f
009/207	fief	1	f ie - - f
009/209	fief	1	f ie - - f
009/211	fiev	1	f ie - - v
009/213	füf	1	f ü - - f
009/215	füw	1	f ü - - w
009/217	füf	1	f ü - - f
010/195	füf	1	f ü - - f
010/203	füf	1	f ü - - f
010/207	füf	1	f ü - - f
010/209	füf	1	f ü - - f
010/211	fünf	1	f ü n - f
010/213	fünf	1	f ü n - f
010/215	fünf	1	f ü n - f
010/217	fünf	1	f ü n - f
010/219	fömf	1	f ö m - f
011/049	fiff	1	f i - - ff
011/053	fem	1	f e m - -
011/055	fam	1	f a m - -
011/057	NA	NA	- - - - - - -
011/059	fem	1	f e m - -
011/061	fem	1	f e m - -
011/063	fem	1	f e m - -
011/065	fem	1	f e m - -
011/067	fem	1	f e m - -
011/069	fem	1	f e m - -
011/187	fief	1	f ie - - f
011/189	fiw	1	f i - - w
011/191	füf	1	f ü - - f
011/195	finf	1	f i n - f
011/197	fief	1	f ie - - f
011/203	füf	1	f ü - - f
011/205	füf	1	f ü - - f
011/207	fief	1	f ie - - f
011/209	fief	1	f ie - - f
011/211	füf	1	f ü - - f
011/213	femf	1	f e m - f
011/215	fümf	1	f ü m - f
011/217	füf	1	f ü - - f
011/219	fünf	1	f ü n - f
012/047	fif	1	f i - - f
012/049	fif	1	f i - - f
012/051	fiew	1	f ie - - w
012/053	fem	1	f e m - -
012/055	fem	1	f e m - -
012/057	fam	1	f a m - -
012/059	fem	1	f e m - -
012/061	fem	1	f e m - -
012/063	fem	1	f e m - -
012/065	fem	1	f e m - -
012/067	fem	1	f e m - -
012/069	fem	1	f e m - -
012/187	füf	1	f ü - - f
012/189	fif	1	f i - - f
012/191	vew	1	v e - - w
012/193	fief	1	f ie - - f
012/195	fief	1	f ie - - f
012/197	fief	1	f ie - - f
012/199	füf	1	f ü - - f
012/201	füf	1	f ü - - f
012/203	fief	1	f ie - - f
012/205	füf	1	f ü - - f
012/207	füf	1	f ü - - f
012/209	fief	1	f ie - - f
012/211	füf	1	f ü - - f
012/213	fünf	1	f ü n - f
012/215	fünf	1	f ü n - f
012/217	fünf	1	f ü n - f
012/219	fönf	1	f ö n - f
012/221	fünf	1	f ü n - f
012/223	fenf	1	f e n - f
013/051	fiev	1	f ie - - v
013/053	fiw	1	f i - - w
013/055	fiif	1	f ii - - f
013/057	fem	1	f e m - -
013/059	fem	1	f e m - -
013/061	fif	1	f i - - f
013/063	fif	1	f i - - f
013/065	fief	1	f ie - - f
013/067	fif	1	f i - - f
013/161	fief	1	f ie - - f
013/163	fief	1	f ie - - f
013/165	füf	1	f ü - - f
013/167	füf	1	f ü - - f
013/187	fief	1	f ie - - f
013/189	fief	1	f ie - - f
013/191	fief	1	f ie - - f
013/193	fief	1	f ie - - f
013/195	füf	1	f ü - - f
013/197	fiif	1	f ii - - f
013/199	fief	1	f ie - - f
013/201	fief	1	f ie - - f
013/203	füf	1	f ü - - f
013/207	fief	1	f ie - - f
013/209	fief	1	f ie - - f
013/211	fünf	1	f ü n - f
013/213	fünf	1	f ü n - f
013/215	fünf	1	f ü n - f
013/217	fünf	1	f ü n - f
013/219	fümf	1	f ü m - f
013/221	fümf	1	f ü m - f
013/223	fünf	1	f ü n - f
014/047	fiiv	1	f ii - - v
014/049	fiiw	1	f ii - - w
014/051	fiew	1	f ie - - w
014/053	fiew	1	f ie - - w
014/055	fief	1	f ie - - f
014/057	fief	1	f ie - - f
014/059	füf	1	f ü - - f
014/061	fif	1	f i - - f
014/063	fief	1	f ie - - f
014/065	fiif	1	f ii - - f
014/067	fief	1	f ie - - f
014/109	fief	1	f ie - - f
014/159	fif	1	f i - - f
014/161	fief	1	f ie - - f
014/163	fief	1	f ie - - f
014/165	füf	1	f ü - - f
014/167	füf	1	f ü - - f
014/169	fief	1	f ie - - f
014/187	fief	1	f ie - - f
014/189	vief	1	v ie - - f
014/191	füf	1	f ü - - f
014/193	füf	1	f ü - - f
014/195	fiif	1	f ii - - f
014/197	fif	1	f i - - f
014/199	fief	1	f ie - - f
014/201	füf	1	f ü - - f
014/203	fif	1	f i - - f
014/205	füf	1	f ü - - f
014/207	fief	1	f ie - - f
014/209	füf	1	f ü - - f
014/211	fünf	1	f ü n - f
014/213	fünf	1	f ü n - f
014/215	foüf	1	f oü - - f
014/217	fümf	1	f ü m - f
014/219	fünf	1	f ü n - f
014/221	finf	1	f i n - f
015/049	fiiv	1	f ii - - v
015/051	fiv	1	f i - - v
015/053	fiiv	1	f ii - - v
015/055	fiew	1	f ie - - w
015/057	fief	1	f ie - - f
015/059	fief	1	f ie - - f
015/061	fief	1	f ie - - f
015/063	fif	1	f i - - f
015/065	fif	1	f i - - f
015/067	fief	1	f ie - - f
015/105	fief	1	f ie - - f
015/107	fief	1	f ie - - f
015/109	fief	1	f ie - - f
015/151	füf	1	f ü - - f
015/153	fief	1	f ie - - f
015/155	füf	1	f ü - - f
015/157	füv	1	f ü - - v
015/159	fif	1	f i - - f
015/161	fief	1	f ie - - f
015/163	füf	1	f ü - - f
015/165	fief	1	f ie - - f
015/167	fif	1	f i - - f
015/169	füf	1	f ü - - f
015/173	fiv	1	f i - - v
015/187	fünv	1	f ü n - v
015/191	fiev	1	f ie - - v
015/193	fief	1	f ie - - f
015/195	fif	1	f i - - f
015/197	fief	1	f ie - - f
015/199	vief	1	v ie - - f
015/201	fief	1	f ie - - f
015/203	fief	1	f ie - - f
015/205	fief	1	f ie - - f
015/207	fief	1	f ie - - f
015/209	füf	1	f ü - - f
015/211	füf	1	f ü - - f
015/213	fünf	1	f ü n - f
015/215	fief	1	f ie - - f
015/217	fönf	1	f ö n - f
015/219	fenf	1	f e n - f
015/221	fönf	1	f ö n - f
016/051	fief	1	f ie - - f
016/055	fiew	1	f ie - - w
016/057	fif	1	f i - - f
016/059	fief	1	f ie - - f
016/061	fief	1	f ie - - f
016/063	fiif	1	f ii - - f
016/065	fif	1	f i - - f
016/067	füf	1	f ü - - f
016/081	fif	1	f i - - f
016/083	fief	1	f ie - - f
016/105	fiev	1	f ie - - v
016/107	fief	1	f ie - - f
016/109	fif	1	f i - - f
016/111	fief	1	f ie - - f
016/145	fief	1	f ie - - f
016/147	fiew	1	f ie - - w
016/149	fif	1	f i - - f
016/151	fif	1	f i - - f
016/153	fief	1	f ie - - f
016/155	fiew	1	f ie - - w
016/157	füf	1	f ü - - f
016/159	vihv	1	v ih - - v
016/161	fief	1	f ie - - f
016/163	fif	1	f i - - f
016/165	füf	1	f ü - - f
016/167	füw	1	f ü - - w
016/187	fief	1	f ie - - f
016/189	fif	1	f i - - f
016/191	fief	1	f ie - - f
016/193	fief	1	f ie - - f
016/195	füf	1	f ü - - f
016/197	füf	1	f ü - - f
016/199	füf	1	f ü - - f
016/201	fief	1	f ie - - f
016/203	fief	1	f ie - - f
016/205	füf	1	f ü - - f
016/209	fönf	1	f ö n - f
016/211	fünf	1	f ü n - f
016/213	fänf	1	f ä n - f
016/215	fenf	1	f e n - f
016/217	fönf	1	f ö n - f
016/219	fümf	1	f ü m - f
017/055	fief	1	f ie - - f
017/057	fif	1	f i - - f
017/059	fief	1	f ie - - f
017/061	fief	1	f ie - - f
017/063	NA	NA	- - - - - - -
017/065	fief	1	f ie - - f
017/067	fief	1	f ie - - f
017/069	fief	1	f ie - - f
017/081	fief	1	f ie - - f
017/083	fief	1	f ie - - f
017/099	fief	1	f ie - - f
017/101	vief	1	v ie - - f
017/103	fif	1	f i - - f
017/107	fif	1	f i - - f
017/109	fif	1	f i - - f
017/145	fif	1	f i - - f
017/147	fif	1	f i - - f
017/149	füf	1	f ü - - f
017/151	füf	1	f ü - - f
017/153	füf	1	f ü - - f
017/155	fif	1	f i - - f
017/157	fiev	1	f ie - - v
017/159	füf	1	f ü - - f
017/161	füf	1	f ü - - f
017/163	fif	1	f i - - f
017/165	fif	1	f i - - f
017/169	viev	1	v ie - - v
017/171	fief	1	f ie - - f
017/183	fiew	1	f ie - - w
017/185	füf	1	f ü - - f
017/187	füf	1	f ü - - f
017/189	füf	1	f ü - - f
017/191	fes	1	f e - - s
017/193	füf	1	f ü - - f
017/195	fäf	1	f ä - - f
017/197	fief	1	f ie - - f
017/199	füf	1	f ü - - f
017/201	füf	1	f ü - - f
017/203	fühf	1	f üh - - f
017/205	füf	1	f ü - - f
017/207	fief	1	f ie - - f
017/209	fünf	1	f ü n - f
017/211	fömf	1	f ö m - f
017/213	fömf	1	f ö m - f
017/215	fönf	1	f ö n - f
017/217	fünf	1	f ü n - f
017/219	fenf	1	f e n - f
018/051	fief	1	f ie - - f
018/053	fief	1	f ie - - f
018/055	fief	1	f ie - - f
018/057	fiif	1	f ii - - f
018/059	fief	1	f ie - - f
018/061	fief	1	f ie - - f
018/063	fief	1	f ie - - f
018/065	fief	1	f ie - - f
018/067	fief	1	f ie - - f
018/069	fief	1	f ie - - f
018/071	fief	1	f ie - - f
018/073	fif	1	f i - - f
018/075	fiif	1	f ii - - f
018/079	fief	1	f ie - - f
018/081	fief	1	f ie - - f
