locations	strings	cognateID	alignments
001/203	gliek	1	g - l ie k
002/201	gliek	1	g - l ie k
002/203	glik	1	g - l i k
002/205	glyk	1	g - l y k
003/203	glik	1	g - l i k
003/205	glyck	1	g - l y ck
004/205	glieck	1	g - l ie ck
005/205	gliek	1	g - l ie k
005/207	NA	NA	-
006/205	gliek	1	g - l ie k
006/207	gliek	1	g - l ie k
007/205	glik	1	g - l i k
007/207	glik	1	g - l i k
007/209	gliek	1	g - l ie k
007/211	glik	1	g - l i k
008/199	gliek	1	g - l ie k
008/203	glik	1	g - l i k
008/205	glik	1	g - l i k
008/207	glick	1	g - l i ck
008/209	gliek	1	g - l ie k
008/211	gelik	1	g e l i k
008/213	glik	1	g - l i k
009/199	glick	1	g - l i ck
009/203	gliek	1	g - l ie k
009/207	glick	1	g - l i ck
009/209	gliek	1	g - l ie k
009/211	gliek	1	g - l ie k
009/213	glick	1	g - l i ck
009/215	glik	1	g - l i k
009/217	glick	1	g - l i ck
010/195	gliek	1	g - l ie k
010/203	glick	1	g - l i ck
010/207	glik	1	g - l i k
010/209	glieck	1	g - l ie ck
010/211	geliek	1	g e l ie k
010/213	glick	1	g - l i ck
010/215	glik	1	g - l i k
010/217	glick	1	g - l i ck
010/219	glieck	1	g - l ie ck
011/049	mitjens	NA	m i t j e n s - -
011/053	snar	NA	s n a r - - - - -
011/055	strax	NA	s t r a x - - - -
011/057	kelik	1	k e l i k
011/059	strax	NA	s t r a x - - - -
011/061	snart	NA	s n a r t - - - -
011/063	stras	NA	s t r a s - - - -
011/065	snaet	NA	s n ae - t - - - -
011/067	snart	NA	s n a r t - - - -
011/069	snart	NA	s n a r t - - - -
011/187	glik	1	g - l i k
011/189	gliek	1	g - l ie k
011/191	glik	1	g - l i k
011/195	glik	1	g - l i k
011/197	gliek	1	g - l ie k
011/203	glik	1	g - l i k
011/205	gliek	1	g - l ie k
011/207	glik	1	g - l i k
011/209	gliek	1	g - l ie k
011/211	gliek	1	g - l ie k
011/213	glik	1	g - l i k
011/215	glick	1	g - l i ck
011/217	gliek	1	g - l ie k
011/219	glik	1	g - l i k
012/047	bald	3	b a l d -
012/049	miitjens	NA	m ii t j e n s - -
012/051	ball	3	b a ll - -
012/053	gelik	1	g e l i k
012/055	gelik	1	g e l i k
012/057	gilek	1	g i l e k
012/059	stras	NA	s t r a s - - - -
012/061	stras	NA	s t r a s - - - -
012/063	snaet	NA	s n ae - t - - - -
012/065	stras	NA	s t r a s - - - -
012/067	stras	NA	s t r a s - - - -
012/069	stras	NA	s t r a s - - - -
012/187	glik	1	g - l i k
012/189	gliek	1	g - l ie k
012/191	glik	1	g - l i k
012/193	gliek	1	g - l ie k
012/195	gliek	1	g - l ie k
012/197	gliek	1	g - l ie k
012/199	gliek	1	g - l ie k
012/201	glik	1	g - l i k
012/203	glieck	1	g - l ie ck
012/205	glik	1	g - l i k
012/207	glick	1	g - l i ck
012/209	bol	3	b o l - -
012/211	glik	1	g - l i k
012/213	gleich	1	g - l ei ch
012/215	gliek	1	g - l ie k
012/217	gliek	1	g - l ie k
012/219	gliek	1	g - l ie k
012/221	glick	1	g - l i ck
012/223	glik	1	g - l i k
013/051	gliek	1	g - l ie k
013/053	glik	1	g - l i k
013/055	glik	1	g - l i k
013/057	gelik	1	g e l i k
013/059	snaart	NA	s n aa r t - - - -
013/061	glik	1	g - l i k
013/063	gliek	1	g - l ie k
013/065	glik	1	g - l i k
013/067	glik	1	g - l i k
013/161	glick	1	g - l i ck
013/163	glik	1	g - l i k
013/165	glük	1	g - l ü k
013/167	glick	1	g - l i ck
013/187	jlik	1	j - l i k
013/189	gliek	1	g - l ie k
013/191	glick	1	g - l i ck
013/193	glik	1	g - l i k
013/195	geliek	1	g e l ie k
013/197	gliek	1	g - l ie k
013/199	gliek	1	g - l ie k
013/201	glik	1	g - l i k
013/203	glik	1	g - l i k
013/207	gliek	1	g - l ie k
013/209	glick	1	g - l i ck
013/211	geliek	1	g e l ie k
013/213	glick	1	g - l i ck
013/215	glick	1	g - l i ck
013/217	gliek	1	g - l ie k
013/219	gliek	1	g - l ie k
013/221	gliek	1	g - l ie k
013/223	gliek	1	g - l ie k
014/047	glik	1	g - l i k
014/049	glik	1	g - l i k
014/051	gliek	1	g - l ie k
014/053	glick	1	g - l i ck
014/055	glik	1	g - l i k
014/057	glick	1	g - l i ck
014/059	glik	1	g - l i k
014/061	glik	1	g - l i k
014/063	gliek	1	g - l ie k
014/065	glick	1	g - l i ck
014/067	glieck	1	g - l ie ck
014/109	bald	3	b a l d -
014/159	glick	1	g - l i ck
014/161	glik	1	g - l i k
014/163	glick	1	g - l i ck
014/165	glick	1	g - l i ck
014/167	glick	1	g - l i ck
014/169	glick	1	g - l i ck
014/187	chliek	1	ch - l ie k
014/189	gliek	1	g - l ie k
014/191	glik	1	g - l i k
014/193	gliek	1	g - l ie k
014/195	glik	1	g - l i k
014/197	glik	1	g - l i k
014/199	gliek	1	g - l ie k
014/201	gliek	1	g - l ie k
014/203	glik	1	g - l i k
014/205	glik	1	g - l i k
014/207	gliek	1	g - l ie k
014/209	gliek	1	g - l ie k
014/211	glik	1	g - l i k
014/213	glick	1	g - l i ck
014/215	gleich	1	g - l ei ch
014/217	gliek	1	g - l ie k
014/219	gliek	1	g - l ie k
014/221	gliek	1	g - l ie k
015/049	glik	1	g - l i k
015/051	glik	1	g - l i k
015/053	glik	1	g - l i k
015/055	glik	1	g - l i k
015/057	glik	1	g - l i k
015/059	glick	1	g - l i ck
015/061	gliik	1	g - l ii k
015/063	glik	1	g - l i k
015/065	glik	1	g - l i k
015/067	gliek	1	g - l ie k
015/105	gliek	1	g - l ie k
015/107	gliek	1	g - l ie k
015/109	gliek	1	g - l ie k
015/151	gliek	1	g - l ie k
015/153	gliek	1	g - l ie k
015/155	glieck	1	g - l ie ck
015/157	glik	1	g - l i k
015/159	glick	1	g - l i ck
015/161	glik	1	g - l i k
015/163	NA	NA	-
015/165	glick	1	g - l i ck
015/167	glick	1	g - l i ck
015/169	glick	1	g - l i ck
015/173	glick	1	g - l i ck
015/187	glieck	1	g - l ie ck
015/191	gliek	1	g - l ie k
015/193	gliek	1	g - l ie k
015/195	glik	1	g - l i k
015/197	gliek	1	g - l ie k
015/199	gliik	1	g - l ii k
015/201	gliek	1	g - l ie k
015/203	gliek	1	g - l ie k
015/205	glick	1	g - l i ck
015/207	glieck	1	g - l ie ck
015/209	glik	1	g - l i k
015/211	glik	1	g - l i k
015/213	gliek	1	g - l ie k
015/215	NA	NA	-
015/217	glieck	1	g - l ie ck
015/219	gliek	1	g - l ie k
015/221	gliek	1	g - l ie k
016/051	glick	1	g - l i ck
016/055	glick	1	g - l i ck
016/057	glik	1	g - l i k
016/059	gliek	1	g - l ie k
016/061	glik	1	g - l i k
016/063	gliek	1	g - l ie k
016/065	glik	1	g - l i k
016/067	glick	1	g - l i ck
016/081	glik	1	g - l i k
016/083	gliek	1	g - l ie k
016/105	gliek	1	g - l ie k
016/107	gliek	1	g - l ie k
016/109	gliek	1	g - l ie k
016/111	gliek	1	g - l ie k
016/145	glik	1	g - l i k
016/147	glik	1	g - l i k
016/149	glick	1	g - l i ck
