locations	strings	cognateID	alignments
001/203	es	1	- e s -
002/201	öss	1	- ö ss -
002/203	es	1	- e s -
002/205	öss	1	- ö ss -
003/203	es	1	- e s -
003/205	ess	1	- e ss -
004/205	ös	1	- ö s -
005/205	ess	1	- e ss -
005/207	es	1	- e s -
006/205	ess	1	- e ss -
006/207	es	1	- e s -
007/205	ess	1	- e ss -
007/207	es	1	- e s -
007/209	ös	1	- ö s -
007/211	ös	1	- ö s -
008/199	oes	1	- oe s -
008/203	ös	1	- ö s -
008/205	es	1	- e s -
008/207	es	1	- e s -
008/209	es	1	- e s -
008/211	öss	1	- ö ss -
008/213	es	1	- e s -
009/199	ess	1	- e ss -
009/203	ös	1	- ö s -
009/207	es	1	- e s -
009/209	es	1	- e s -
009/211	es	1	- e s -
009/213	öss	1	- ö ss -
009/215	ös	1	- ö s -
009/217	es	1	- e s -
010/195	ees	1	- ee s -
010/203	es	1	- e s -
010/207	öss	1	- ö ss -
010/209	ös	1	- ö s -
010/211	ös	1	- ö s -
010/213	es	1	- e s -
010/215	es	1	- e s -
010/217	es	1	- e s -
010/219	öss	1	- ö ss -
011/049	es	1	- e s -
011/053	er	1	- er - -
011/055	o	1	- o - -
011/057	er	1	- er - -
011/059	er	1	- er - -
011/061	er	1	- er - -
011/063	er	1	- er - -
011/065	er	1	- er - -
011/067	er	1	- er - -
011/069	er	1	- er - -
011/187	ös	1	- ö s -
011/189	ös	1	- ö s -
011/191	es	1	- e s -
011/195	es	1	- e s -
011/197	ess	1	- e ss -
011/203	ös	1	- ö s -
011/205	es	1	- e s -
011/207	es	1	- e s -
011/209	es	1	- e s -
011/211	ess	1	- e ss -
011/213	es	1	- e s -
011/215	es	1	- e s -
011/217	ös	1	- ö s -
011/219	es	1	- e s -
012/047	es	1	- e s -
012/049	es	1	- e s -
012/051	es	1	- e s -
012/053	er	1	- er - -
012/055	ä	1	- ä - -
012/057	er	1	- er - -
012/059	e	1	- e - -
012/061	o	1	- o - -
012/063	e	1	- e - -
012/065	er	1	- er - -
012/067	er	1	- er - -
012/069	er	1	- er - -
012/187	es	1	- e s -
012/189	ös	1	- ö s -
012/191	ös	1	- ö s -
012/193	ös	1	- ö s -
012/195	es	1	- e s -
012/197	öss	1	- ö ss -
012/199	es	1	- e s -
012/201	es	1	- e s -
012/203	es	1	- e s -
012/205	ös	1	- ö s -
012/207	öss	1	- ö ss -
012/209	ess	1	- e ss -
012/211	ös	1	- ö s -
012/213	es	1	- e s -
012/215	ess	1	- e ss -
012/217	ös	1	- ö s -
012/219	ös	1	- ö s -
012/221	es	1	- e s -
012/223	ess	1	- e ss -
013/051	es	1	- e s -
013/053	as	1	- a s -
013/055	as	1	- a s -
013/057	a	1	- a - -
013/059	her	1	h er - -
013/061	is	1	- i s -
013/063	is	1	- i s -
013/065	is	1	- i s -
013/067	iss	1	- i ss -
013/161	es	1	- e s -
013/163	es	1	- e s -
013/165	es	1	- e s -
013/167	es	1	- e s -
013/187	es	1	- e s -
013/189	es	1	- e s -
013/191	ess	1	- e ss -
013/193	es	1	- e s -
013/195	öss	1	- ö ss -
013/197	es	1	- e s -
013/199	es	1	- e s -
013/201	es	1	- e s -
013/203	es	1	- e s -
013/207	öss	1	- ö ss -
013/209	ess	1	- e ss -
013/211	ös	1	- ö s -
013/213	es	1	- e s -
013/215	es	1	- e s -
013/217	iss	1	- i ss -
013/219	es	1	- e s -
013/221	es	1	- e s -
013/223	ös	1	- ö s -
014/047	as	1	- a s -
014/049	as	1	- a s -
014/051	as	1	- a s -
014/053	es	1	- e s -
014/055	es	1	- e s -
014/057	es	1	- e s -
014/059	iss	1	- i ss -
014/061	is	1	- i s -
014/063	is	1	- i s -
014/065	is	1	- i s -
014/067	is	1	- i s -
014/109	is	1	- i s -
014/159	es	1	- e s -
014/161	es	1	- e s -
014/163	es	1	- e s -
014/165	es	1	- e s -
014/167	es	1	- e s -
014/169	es	1	- e s -
014/187	ös	1	- ö s -
014/189	ess	1	- e ss -
014/191	es	1	- e s -
014/193	es	1	- e s -
014/195	ös	1	- ö s -
014/197	es	1	- e s -
014/199	ess	1	- e ss -
014/201	ös	1	- ö s -
014/203	ös	1	- ö s -
014/205	ös	1	- ö s -
014/207	es	1	- e s -
014/209	es	1	- e s -
014/211	is	1	- i s -
014/213	ös	1	- ö s -
014/215	es	1	- e s -
014/217	öss	1	- ö ss -
014/219	ös	1	- ö s -
014/221	es	1	- e s -
015/049	as	1	- a s -
015/051	is	1	- i s -
015/053	is	1	- i s -
015/055	es	1	- e s -
015/057	iss	1	- i ss -
015/059	is	1	- i s -
015/061	is	1	- i s -
015/063	is	1	- i s -
015/065	is	1	- i s -
015/067	is	1	- i s -
015/105	is	1	- i s -
015/107	iss	1	- i ss -
015/109	is	1	- i s -
015/151	is	1	- i s -
015/153	iss	1	- i ss -
015/155	is	1	- i s -
015/157	is	1	- i s -
015/159	is	1	- i s -
015/161	is	1	- i s -
015/163	is	1	- i s -
015/165	es	1	- e s -
015/167	es	1	- e s -
015/169	es	1	- e s -
015/173	is	1	- i s -
015/187	öss	1	- ö ss -
015/191	ess	1	- e ss -
015/193	ös	1	- ö s -
015/195	es	1	- e s -
015/197	es	1	- e s -
015/199	es	1	- e s -
015/201	ös	1	- ö s -
015/203	es	1	- e s -
015/205	es	1	- e s -
015/207	öss	1	- ö ss -
015/209	es	1	- e s -
015/211	öss	1	- ö ss -
015/213	es	1	- e s -
015/215	oes	1	- oe s -
015/217	ös	1	- ö s -
015/219	es	1	- e s -
015/221	es	1	- e s -
016/051	is	1	- i s -
016/055	es	1	- e s -
016/057	is	1	- i s -
016/059	is	1	- i s -
016/061	is	1	- i s -
016/063	is	1	- i s -
016/065	is	1	- i s -
016/067	is	1	- i s -
016/081	is	1	- i s -
016/083	is	1	- i s -
016/105	is	1	- i s -
016/107	is	1	- i s -
016/109	is	1	- i s -
016/111	is	1	- i s -
016/145	iss	1	- i ss -
016/147	iss	1	- i ss -
016/149	is	1	- i s -
016/151	iss	1	- i ss -
016/153	is	1	- i s -
016/155	iss	1	- i ss -
016/157	is	1	- i s -
016/159	iss	1	- i ss -
016/161	iss	1	- i ss -
016/163	iss	1	- i ss -
016/165	es	1	- e s -
016/167	es	1	- e s -
016/187	es	1	- e s -
016/189	es	1	- e s -
016/191	es	1	- e s -
016/193	ös	1	- ö s -
016/195	es	1	- e s -
016/197	öss	1	- ö ss -
016/199	ös	1	- ö s -
016/201	ös	1	- ö s -
016/203	öss	1	- ö ss -
016/205	ös	1	- ö s -
016/209	is	1	- i s -
016/211	es	1	- e s -
016/213	ess	1	- e ss -
016/215	es	1	- e s -
016/217	ös	1	- ö s -
016/219	öss	1	- ö ss -
017/055	is	1	- i s -
017/057	is	1	- i s -
017/059	iss	1	- i ss -
017/061	is	1	- i s -
017/063	is	1	- i s -
017/065	is	1	- i s -
017/067	ist	1	- i s t
017/069	is	1	- i s -
