locations	strings	cognateID	alignments
001/203	kal	1	k a l
002/201	koal	1	k oa l
002/203	kohl	1	k oh l
002/205	kahl	1	k ah l
003/203	kahl	1	k ah l
003/205	kaal	1	k aa l
004/205	kohl	1	k oh l
005/205	koahl	1	k oah l
005/207	kahl	1	k ah l
006/205	kahl	1	k ah l
006/207	koal	1	k oa l
007/205	koal	1	k oa l
007/207	kahl	1	k ah l
007/209	kal	1	k a l
007/211	kal	1	k a l
008/199	koahl	1	k oah l
008/203	kahl	1	k ah l
008/205	kahl	1	k ah l
008/207	kol	1	k o l
008/209	koal	1	k oa l
008/211	kahl	1	k ah l
008/213	kul	1	k u l
009/199	kahl	1	k ah l
009/203	kahl	1	k ah l
009/207	kahl	1	k ah l
009/209	kaol	1	k ao l
009/211	kahl	1	k ah l
009/213	koahl	1	k oah l
009/215	kahl	1	k ah l
009/217	kol	1	k o l
010/195	kahl	1	k ah l
010/203	kahl	1	k ah l
010/207	koal	1	k oa l
010/209	koahl	1	k oah l
010/211	kahl	1	k ah l
010/213	kahl	1	k ah l
010/215	kal	1	k a l
010/217	kol	1	k o l
010/219	koal	1	k oa l
011/049	köhl	1	k öh l
011/053	kol	1	k o l
011/055	kol	1	k o l
011/057	koll	1	k o ll
011/059	kall	1	k a ll
011/061	kul	1	k u l
011/063	kul	1	k u l
011/065	kaall	1	k aa ll
011/067	koll	1	k o ll
011/069	kol	1	k o l
011/187	kol	1	k o l
011/189	kohl	1	k oh l
011/191	koal	1	k oa l
011/195	koal	1	k oa l
011/197	koahl	1	k oah l
011/203	kahl	1	k ah l
011/205	kal	1	k a l
011/207	koahl	1	k oah l
011/209	kahl	1	k ah l
011/211	kohl	1	k oh l
011/213	kol	1	k o l
011/215	koal	1	k oa l
011/217	kahl	1	k ah l
011/219	koahl	1	k oah l
012/047	köl	1	k ö l
012/049	kööl	1	k öö l
012/051	kjull	1	kj u ll
012/053	kal	1	k a l
012/055	kol	1	k o l
012/057	kal	1	k a l
012/059	kol	1	k o l
012/061	kol	1	k o l
012/063	kol	1	k o l
012/065	kol	1	k o l
012/067	kol	1	k o l
012/069	kol	1	k o l
012/187	kohl	1	k oh l
012/189	kol	1	k o l
012/191	kol	1	k o l
012/193	kol	1	k o l
012/195	koahl	1	k oah l
012/197	kahl	1	k ah l
