locations	strings	cognateID	alignments
001/203	köhg	1	k öh g
002/201	keeg	1	k ee g
002/203	kög	1	k ö g
002/205	kühg	1	k üh g
003/203	kög	1	k ö g
003/205	keeg	1	k ee g
004/205	kög	1	k ö g
005/205	keeg	1	k ee g
005/207	kög	1	k ö g
006/205	köhg	1	k öh g
006/207	keg	1	k e g
007/205	köög	1	k öö g
007/207	keg	1	k e g
007/209	köög	1	k öö g
007/211	kög	1	k ö g
008/199	keeg	1	k ee g
008/203	kög	1	k ö g
008/205	keg	1	k e g
008/207	kög	1	k ö g
008/209	kög	1	k ö g
008/211	kej	1	k e j
008/213	keeg	1	k ee g
009/199	keeg	1	k ee g
009/203	köj	1	k ö j
009/207	köög	1	k öö g
009/209	keeg	1	k ee g
009/211	keg	1	k e g
009/213	kög	1	k ö g
009/215	köhg	1	k öh g
009/217	kög	1	k ö g
010/195	kög	1	k ö g
010/203	kög	1	k ö g
010/207	kög	1	k ö g
010/209	köh	1	k öh -
010/211	kehg	1	k eh g
010/213	keeg	1	k ee g
010/215	keeg	1	k ee g
010/217	kög	1	k ö g
010/219	keg	1	k e g
011/049	kinn	1	k i nn
011/053	ko	1	k o -
011/055	ko	1	k o -
011/057	ko	1	k o -
011/059	ko	1	k o -
011/061	kö	1	k ö -
011/063	kö	1	k ö -
011/065	kö	1	k ö -
011/067	kü	1	k ü -
011/069	ko	1	k o -
011/187	keg	1	k e g
011/189	käg	1	k ä g
011/191	kög	1	k ö g
011/195	kög	1	k ö g
011/197	köhg	1	k öh g
011/203	kög	1	k ö g
011/205	köhg	1	k öh g
011/207	keeg	1	k ee g
011/209	kööch	1	k öö ch
011/211	köch	1	k ö ch
011/213	keeg	1	k ee g
011/215	keeg	1	k ee g
011/217	köhj	1	k öh j
011/219	kög	1	k ö g
012/047	kinn	1	k i nn
012/049	kiin	1	k ii n
012/051	ki	1	k i -
012/053	kör	1	k ö r
012/055	kör	1	k ö r
012/057	kor	1	k o r
012/059	ko	1	k o -
012/061	ko	1	k o -
012/063	ko	1	k o -
012/065	ko	1	k o -
012/067	ky	1	k y -
012/069	kü	1	k ü -
012/187	kög	1	k ö g
012/189	kej	1	k e j
012/191	köch	1	k ö ch
012/193	kög	1	k ö g
012/195	keeg	1	k ee g
012/197	keeg	1	k ee g
012/199	kög	1	k ö g
012/201	keg	1	k e g
012/203	kög	1	k ö g
012/205	kög	1	k ö g
012/207	köh	1	k öh -
012/209	keeg	1	k ee g
012/211	keeg	1	k ee g
012/213	keeg	1	k ee g
012/215	kög	1	k ö g
012/217	keg	1	k e g
012/219	köhg	1	k öh g
012/221	keeg	1	k ee g
012/223	keg	1	k e g
013/051	kih	1	k ih -
013/053	ke	1	k e -
013/055	kee	1	k ee -
013/057	ko	1	k o -
013/059	kö	1	k ö -
013/061	köh	1	k öh -
013/063	köh	1	k öh -
013/065	köh	1	k öh -
013/067	köh	1	k öh -
013/161	kei	1	k ei -
013/163	keih	1	k eih -
013/165	keih	1	k eih -
013/167	keh	1	k eh -
013/187	keeg	1	k ee g
013/189	keg	1	k e g
013/191	keg	1	k e g
013/193	kög	1	k ö g
013/195	keeg	1	k ee g
013/197	köj	1	k ö j
013/199	keehg	1	k eeh g
013/201	kög	1	k ö g
013/203	keg	1	k e g
013/207	köhj	1	k öh j
013/209	kög	1	k ö g
013/211	kög	1	k ö g
013/213	keeg	1	k ee g
013/215	keg	1	k e g
013/217	keeg	1	k ee g
013/219	köj	1	k ö j
