locations	strings	cognateID	alignments
001/203	löwat	1	l ö w a t
002/201	lewet	1	l e w e t
002/203	lewet	1	l e w e t
002/205	löwet	1	l ö w e t
003/203	lewet	1	l e w e t
003/205	lewet	1	l e w e t
004/205	lewet	1	l e w e t
005/205	leewet	1	l ee w e t
005/207	löwet	1	l ö w e t
006/205	löhw	1	l öh w - -
006/207	lewitt	1	l e w i tt
007/205	lewet	1	l e w e t
007/207	lewet	1	l e w e t
007/209	löwet	1	l ö w e t
007/211	löwet	1	l ö w e t
008/199	lew	1	l e w - -
008/203	löwet	1	l ö w e t
008/205	lewet	1	l e w e t
008/207	lewet	1	l e w e t
008/209	lewet	1	l e w e t
008/211	löwet	1	l ö w e t
008/213	lewet	1	l e w e t
009/199	lehwet	1	l eh w e t
009/203	lewet	1	l e w e t
009/207	lewet	1	l e w e t
009/209	leewet	1	l ee w e t
009/211	lewet	1	l e w e t
009/213	löwet	1	l ö w e t
009/215	lewet	1	l e w e t
009/217	lewet	1	l e w e t
010/195	lewet	1	l e w e t
010/203	lewet	1	l e w e t
010/207	lewet	1	l e w e t
010/209	löwet	1	l ö w e t
010/211	lewet	1	l e w e t
010/213	lewet	1	l e w e t
010/215	leewet	1	l ee w e t
010/217	lewet	1	l e w e t
010/219	lewet	1	l e w e t
011/049	leff	1	l e ff - -
011/053	kjoer	2	k j oe r -
011/055	kjorn	2	k j o r n
011/057	kjorre	2	k j o rr e
011/059	kjorre	2	k j o rr e
011/061	kjorn	2	k j o r n
011/063	kjorre	2	k j o rr e
011/065	söde	NA	s ö d e - - - - -
011/067	kjäre	2	k j ä r e
011/069	kiere	2	k - ie r e
011/187	lewet	1	l e w e t
011/189	lewet	1	l e w e t
011/191	leiwet	1	l ei w e t
011/195	lewet	1	l e w e t
011/197	lehwet	1	l eh w e t
011/203	lewet	1	l e w e t
011/205	löwet	1	l ö w e t
011/207	leewet	1	l ee w e t
011/209	leewet	1	l ee w e t
011/211	löwet	1	l ö w e t
011/213	lewet	1	l e w e t
011/215	leewet	1	l ee w e t
011/217	löwet	1	l ö w e t
011/219	lewet	1	l e w e t
012/047	lef	1	l e f - -
012/049	lef	1	l e f - -
012/051	liev	1	l ie v - -
012/053	godde	3	g o dd e -
012/055	kjärr	2	k j ä rr -
012/057	goi	3	g oi - - -
012/059	kjore	2	k j o r e
012/061	kjor	2	k j o r -
012/063	söde	NA	s ö d e - - - - -
012/065	kjore	2	k j o r e
012/067	kjor	2	k j o r -
012/069	kjore	2	k j o r e
012/187	löwet	1	l ö w e t
012/189	lewet	1	l e w e t
012/191	leewet	1	l ee w e t
012/193	lewet	1	l e w e t
012/195	lewet	1	l e w e t
012/197	lewet	1	l e w e t
012/199	löwet	1	l ö w e t
012/201	lewet	1	l e w e t
012/203	lewet	1	l e w e t
012/205	löwet	1	l ö w e t
012/207	leewet	1	l ee w e t
012/209	lewet	1	l e w e t
012/211	lewet	1	l e w e t
012/213	lewet	1	l e w e t
012/215	lewet	1	l e w e t
012/217	löwet	1	l ö w e t
012/219	löwet	1	l ö w e t
012/221	lewet	1	l e w e t
012/223	lewet	1	l e w e t
013/051	liev	1	l ie v - -
013/053	liiw	1	l ii w - -
013/055	liiw	1	l ii w - -
013/057	kjore	2	k j o r e
013/059	kjäre	2	k j ä r e
013/061	lewer	1	l e w e r
013/063	leewe	1	l ee w e -
013/065	gude	3	g u d e -
013/067	lerwe	1	l er w e -
013/161	leiwett	1	l ei w e tt
013/163	leiwet	1	l ei w e t
013/165	leiwet	1	l ei w e t
013/167	levet	1	l e v e t
013/187	lewet	1	l e w e t
013/189	lewet	1	l e w e t
013/191	lewet	1	l e w e t
013/193	lewet	1	l e w e t
013/195	leewet	1	l ee w e t
013/197	leewet	1	l ee w e t
013/199	leewet	1	l ee w e t
013/201	lewet	1	l e w e t
013/203	lewet	1	l e w e t
013/207	leewet	1	l ee w e t
013/209	lewet	1	l e w e t
013/211	lewet	1	l e w e t
013/213	lewet	1	l e w e t
013/215	lewet	1	l e w e t
013/217	lewet	1	l e w e t
013/219	lewet	1	l e w e t
013/221	lewet	1	l e w e t
013/223	leewet	1	l ee w e t
014/047	leev	1	l ee v - -
014/049	leew	1	l ee w - -
014/051	liaw	1	l ia w - -
014/053	liew	1	l ie w - -
014/055	liew	1	l ie w - -
014/057	liew	1	l ie w - -
014/059	leewe	1	l ee w e -
014/061	leewe	1	l ee w e -
014/063	lewe	1	l e w e -
014/065	lewe	1	l e w e -
014/067	leewe	1	l ee w e -
014/109	leiwes	1	l ei w e s
014/159	leiwet	1	l ei w e t
014/161	leiwet	1	l ei w e t
014/163	leiwet	1	l ei w e t
014/165	leiwet	1	l ei w e t
014/167	leiwet	1	l ei w e t
014/169	lewet	1	l e w e t
014/187	lewet	1	l e w e t
014/189	lewet	1	l e w e t
014/191	lewet	1	l e w e t
014/193	leewet	1	l ee w e t
014/195	lewet	1	l e w e t
014/197	lewet	1	l e w e t
014/199	lewet	1	l e w e t
014/201	löwet	1	l ö w e t
014/203	lewet	1	l e w e t
014/205	lewet	1	l e w e t
014/207	lewet	1	l e w e t
014/209	löwet	1	l ö w e t
014/211	lewet	1	l e w e t
014/213	löwe	1	l ö w e -
014/215	lewet	1	l e w e t
014/217	löwet	1	l ö w e t
014/219	lewet	1	l e w e t
014/221	lewet	1	l e w e t
015/049	leevv	1	l ee vv - -
015/051	liiv	1	l ii v - -
015/053	liv	1	l i v - -
015/055	liew	1	l ie w - -
015/057	liewe	1	l ie w e -
015/059	lewe	1	l e w e -
015/061	leewer	1	l ee w e r
015/063	lewe	1	l e w e -
015/065	lewe	1	l e w e -
015/067	leewe	1	l ee w e -
015/105	leiwes	1	l ei w e s
015/107	leeiwes	1	l eei w e s
015/109	leiw	1	l ei w - -
015/151	leiw	1	l ei w - -
