locations	strings	cognateID	alignments
001/203	mott	1	m o tt
002/201	mott	1	m o tt
002/203	mott	1	m o tt
002/205	mott	1	m o tt
003/203	mott	1	m o tt
003/205	mott	1	m o tt
004/205	mott	1	m o tt
005/205	mott	1	m o tt
005/207	mott	1	m o tt
006/205	mott	1	m o tt
006/207	mot	1	m o t
007/205	mott	1	m o tt
007/207	mot	1	m o t
007/209	mott	1	m o tt
007/211	mot	1	m o t
008/199	NA	NA	-
008/203	mot	1	m o t
008/205	mott	1	m o tt
008/207	mot	1	m o t
008/209	mot	1	m o t
008/211	mott	1	m o tt
008/213	mot	1	m o t
009/199	moot	1	m oo t
009/203	mott	1	m o tt
009/207	mot	1	m o t
009/209	mot	1	m o t
009/211	mott	1	m o tt
009/213	mott	1	m o tt
009/215	mott	1	m o tt
009/217	mot	1	m o t
010/195	mott	1	m o tt
010/203	mot	1	m o t
010/207	mott	1	m o tt
010/209	mott	1	m o tt
010/211	mott	1	m o tt
010/213	mott	1	m o tt
010/215	mott	1	m o tt
010/217	mot	1	m o t
010/219	mott	1	m o tt
011/049	mudt	1	m u dt
011/053	ska	2	sk a - - -
011/055	ska	2	sk a - - -
011/057	ska	2	sk a - - -
011/059	maa	1	m aa -
011/061	maa	1	m aa -
011/063	maa	1	m aa -
011/065	maa	1	m aa -
011/067	maa	1	m aa -
011/069	maa	1	m aa -
011/187	mott	1	m o tt
011/189	mott	1	m o tt
011/191	mott	1	m o tt
011/195	mott	1	m o tt
011/197	mott	1	m o tt
011/203	mott	1	m o tt
011/205	mott	1	m o tt
011/207	mott	1	m o tt
011/209	mott	1	m o tt
011/211	mott	1	m o tt
011/213	mott	1	m o tt
011/215	mott	1	m o tt
011/217	mott	1	m o tt
011/219	mott	1	m o tt
012/047	mut	1	m u t
012/049	mut	1	m u t
012/051	moit	1	m oi t
012/053	skal	2	sk a l - -
012/055	skal	2	sk a l - -
012/057	mo	1	m o -
012/059	maa	1	m aa -
012/061	maa	1	m aa -
012/063	maa	1	m aa -
012/065	maa	1	m aa -
012/067	mo	1	m o -
012/069	mo	1	m o -
012/187	mott	1	m o tt
012/189	mott	1	m o tt
012/191	mott	1	m o tt
012/193	mott	1	m o tt
012/195	mot	1	m o t
012/197	mott	1	m o tt
012/199	mott	1	m o tt
012/201	mot	1	m o t
012/203	mot	1	m o t
012/205	mot	1	m o t
012/207	mott	1	m o tt
012/209	mott	1	m o tt
012/211	mot	1	m o t
