locations	strings	cognateID	alignments
001/203	baw	1	b a w -
002/201	boaw	1	b oa w -
002/203	boaw	1	b oa w -
002/205	bow	1	b o w -
003/203	boaw	1	b oa w -
003/205	baw	1	b a w -
004/205	bow	1	b o w -
005/205	boaw	1	b oa w -
005/207	baw	1	b a w -
006/205	bahw	1	b ah w -
006/207	boaw	1	b oa w -
007/205	boaw	1	b oa w -
007/207	baw	1	b a w -
007/209	baw	1	b a w -
007/211	baw	1	b a w -
008/199	NA	NA	-
008/203	baw	1	b a w -
008/205	baw	1	b a w -
008/207	bow	1	b o w -
008/209	baw	1	b a w -
008/211	buaw	1	b ua w -
008/213	boaw	1	b oa w -
009/199	NA	NA	-
009/203	baw	1	b a w -
009/207	boaw	1	b oa w -
009/209	baw	1	b a w -
009/211	baaw	1	b aa w -
009/213	boaw	1	b oa w -
009/215	baw	1	b a w -
009/217	NA	NA	-
010/195	bow	1	b o w -
010/203	baw	1	b a w -
010/207	boaw	1	b oa w -
010/209	boaw	1	b oa w -
010/211	bahw	1	b ah w -
010/213	baw	1	b a w -
010/215	baw	1	b a w -
010/217	boaw	1	b oa w -
010/219	boaw	1	b oa w -
011/049	boh	1	b oh - -
011/053	aa	1	- aa - -
011/055	o	1	- o - -
011/057	aa	1	- aa - -
011/059	ow	1	- o w -
011/061	ov	1	- o v -
011/063	ov	1	- o v -
011/065	NA	NA	-
011/067	NA	NA	-
011/069	ov	1	- o v -
011/187	obb	1	- o bb -
011/189	bow	1	b o w -
011/191	boaw	1	b oa w -
011/195	boaw	1	b oa w -
011/197	boaw	1	b oa w -
011/203	baw	1	b a w -
011/205	boaw	1	b oa w -
011/207	boaw	1	b oa w -
011/209	baaw	1	b aa w -
011/211	bow	1	b o w -
011/213	bow	1	b o w -
011/215	NA	NA	-
011/217	baw	1	b a w -
011/219	boaw	1	b oa w -
012/047	boow	1	b oo w -
012/049	baaw	1	b aa w -
012/051	baw	1	b a w -
012/053	au	1	- au - -
012/055	aa	1	- aa - -
012/057	ow	1	- o w -
012/059	aa	1	- aa - -
012/061	ov	1	- o v -
012/063	NA	NA	-
012/065	NA	NA	-
012/067	NA	NA	-
012/069	NA	NA	-
012/187	bow	1	b o w -
012/189	bow	1	b o w -
012/191	boaw	1	b oa w -
012/193	NA	NA	-
012/195	boaw	1	b oa w -
012/197	NA	NA	-
012/199	boaw	1	b oa w -
012/201	baw	1	b a w -
012/203	boaw	1	b oa w -
012/205	bow	1	b o w -
012/207	boaw	1	b oa w -
012/209	boaw	1	b oa w -
012/211	boaw	1	b oa w -
012/213	boaw	1	b oa w -
012/215	baaw	1	b aa w -
012/217	baw	1	b a w -
012/219	bohw	1	b oh w -
012/221	baw	1	b a w -
012/223	NA	NA	-
013/051	bog	1	b o g -
013/053	aw	1	- a w -
013/055	baw	1	b a w -
013/057	ov	1	- o v -
013/059	au	1	- au - -
013/061	baam	1	b aa m -
013/063	baam	1	b aa m -
013/065	bahm	1	b ah m -
013/067	NA	NA	-
013/161	bow	1	b o w -
013/163	bow	1	b o w -
013/165	bow	1	b o w -
013/167	bow	1	b o w -
013/187	boaw	1	b oa w -
013/189	bow	1	b o w -
013/191	bow	1	b o w -
013/193	bahw	1	b ah w -
013/195	baaw	1	b aa w -
013/197	boaw	1	b oa w -
013/199	boaw	1	b oa w -
013/201	baow	1	b ao w -
013/203	baw	1	b a w -
013/207	baaw	1	b aa w -
013/209	boaw	1	b oa w -
013/211	boaw	1	b oa w -
013/213	boaw	1	b oa w -
013/215	bow	1	b o w -
013/217	baw	1	b a w -
013/219	boaw	1	b oa w -
013/221	baw	1	b a w -
013/223	baw	1	b a w -
014/047	NA	NA	-
014/049	bow	1	b o w -
014/051	bow	1	b o w -
014/053	baw	1	b a w -
014/055	NA	NA	-
014/057	NA	NA	-
014/059	boam	1	b oa m -
014/061	bahm	1	b ah m -
014/063	NA	NA	-
014/065	bab	1	b a b -
014/067	baam	1	b aa m -
014/109	bab	1	b a b -
014/159	bow	1	b o w -
014/161	bov	1	b o v -
014/163	bow	1	b o w -
014/165	bov	1	b o v -
014/167	bow	1	b o w -
014/169	bow	1	b o w -
014/187	bav	1	b a v -
014/189	boaw	1	b oa w -
014/191	bow	1	b o w -
014/193	boaw	1	b oa w -
014/195	baw	1	b a w -
014/197	boaw	1	b oa w -
014/199	NA	NA	-
014/201	boaw	1	b oa w -
014/203	NA	NA	-
014/205	baw	1	b a w -
014/207	baw	1	b a w -
014/209	boaw	1	b oa w -
014/211	boaw	1	b oa w -
014/213	baw	1	b a w -
014/215	boaw	1	b oa w -
