locations	strings	cognateID	alignments
001/203	ohn	1	oh n
002/201	on	1	o n
002/203	ohn	1	oh n
002/205	ohn	1	oh n
003/203	ohn	1	oh n
003/205	ohn	1	oh n
004/205	ohn	1	oh n
005/205	onn	1	o nn
005/207	ohn	1	oh n
006/205	ohn	1	oh n
006/207	onn	1	o nn
007/205	oon	1	oo n
007/207	ohn	1	oh n
007/209	onn	1	o nn
007/211	oon	1	oo n
008/199	ohn	1	oh n
008/203	ahn	1	ah n
008/205	ahn	1	ah n
008/207	ohn	1	oh n
008/209	onn	1	o nn
008/211	ohn	1	oh n
008/213	ohn	1	oh n
009/199	ohn	1	oh n
009/203	onn	1	o nn
009/207	on	1	o n
009/209	ohn	1	oh n
009/211	onn	1	o nn
009/213	ohn	1	oh n
009/215	onn	1	o nn
009/217	ohn	1	oh n
010/195	ohn	1	oh n
010/203	ohn	1	oh n
010/207	ohn	1	oh n
010/209	ohn	1	oh n
010/211	onn	1	o nn
010/213	ohn	1	oh n
010/215	onn	1	o nn
010/217	ohn	1	oh n
010/219	on	1	o n
011/049	sener	3	s e n - e r
011/053	urren	1	urre n
011/055	urren	1	urre n
011/057	urn	1	ur n
011/059	urren	1	urre n
011/061	uren	1	ure n
011/063	urren	1	urre n
011/065	urren	1	urre n
011/067	urren	1	urre n
011/069	uun	1	uu n
011/187	ohn	1	oh n
011/189	ohn	1	oh n
011/191	ohn	1	oh n
011/195	onn	1	o nn
011/197	ohn	1	oh n
011/203	onn	1	o nn
011/205	on	1	o n
011/207	onn	1	o nn
011/209	onn	1	o nn
011/211	ohn	1	oh n
011/213	onn	1	o nn
011/215	ohn	1	oh n
011/217	onn	1	o nn
011/219	ohn	1	oh n
012/047	senner	3	s e nn - e r
012/049	sönder	3	s ö n d e r
012/051	sanner	3	s a nn - e r
012/053	urn	1	ur n
012/055	urn	1	ur n
012/057	urren	1	urre n
012/059	urren	1	urre n
012/061	urren	1	urre n
012/063	urren	1	urre n
012/065	urren	1	urre n
012/067	urren	1	urre n
012/069	uren	1	ure n
012/187	onn	1	o nn
012/189	ohn	1	oh n
012/191	ohn	1	oh n
012/193	ohn	1	oh n
012/195	ohn	1	oh n
012/197	ohn	1	oh n
012/199	on	1	o n
012/201	ohn	1	oh n
012/203	ohn	1	oh n
012/205	ohn	1	oh n
012/207	ohn	1	oh n
012/209	ohn	1	oh n
012/211	ohn	1	oh n
012/213	onn	1	o nn
012/215	ohn	1	oh n
012/217	ohn	1	oh n
012/219	ohn	1	oh n
012/221	ohn	1	oh n
012/223	onn	1	o nn
013/051	sanner	3	s a nn - e r
013/053	forone	NA	f o r o n e
013/055	on	1	o n
013/057	urren	1	urre n
013/059	uurn	1	uur n
013/061	ohn	1	oh n
013/063	ohn	1	oh n
013/065	ohn	1	oh n
013/067	ohn	1	oh n
013/161	aohn	1	aoh n
013/163	ohn	1	oh n
013/165	ohn	1	oh n
013/167	ohn	1	oh n
013/187	ohn	1	oh n
013/189	ohn	1	oh n
013/191	ohn	1	oh n
013/193	ohn	1	oh n
013/195	onn	1	o nn
013/197	onn	1	o nn
013/199	ohn	1	oh n
013/201	ohn	1	oh n
013/203	ohn	1	oh n
013/207	onn	1	o nn
013/209	ohn	1	oh n
013/211	onn	1	o nn
013/213	onn	1	o nn
013/215	ohn	1	oh n
013/217	ohn	1	oh n
013/219	onn	1	o nn
013/221	ohn	1	oh n
013/223	ohn	1	oh n
014/047	sannar	3	s a nn - a r
014/049	sanner	3	s a nn - e r
014/051	sanner	3	s a nn - e r
