locations	strings	cognateID	alignments
001/203	ohr	1	oh r
002/201	or	1	o r
002/203	or	1	o r
002/205	ohr	1	oh r
003/203	or	1	o r
003/205	ohr	1	oh r
004/205	ohr	1	oh r
005/205	ohr	1	oh r
005/207	ohr	1	oh r
006/205	ohr	1	oh r
006/207	ohr	1	oh r
007/205	ohr	1	oh r
007/207	ohr	1	oh r
007/209	or	1	o r
007/211	ohr	1	oh r
008/199	ohr	1	oh r
008/203	ohr	1	oh r
008/205	ohr	1	oh r
008/207	ohr	1	oh r
008/209	ohr	1	oh r
008/211	ohr	1	oh r
008/213	ohr	1	oh r
009/199	ohr	1	oh r
009/203	ohr	1	oh r
009/207	ohr	1	oh r
009/209	ohr	1	oh r
009/211	ohr	1	oh r
009/213	ohr	1	oh r
009/215	ohr	1	oh r
009/217	or	1	o r
010/195	ohr	1	oh r
010/203	ohr	1	oh r
010/207	ohr	1	oh r
010/209	ohr	1	oh r
010/211	ohr	1	oh r
010/213	ohr	1	oh r
010/215	ohr	1	oh r
010/217	ohr	1	oh r
010/219	ohr	1	oh r
011/049	uar	1	ua r
011/053	or	1	o r
011/055	or	1	o r
011/057	or	1	o r
011/059	ohr	1	oh r
011/061	oer	1	oe r
011/063	or	1	o r
011/065	ur	1	u r
011/067	ueer	1	uee r
011/069	orr	1	o rr
011/187	ohr	1	oh r
011/189	or	1	o r
011/191	ohr	1	oh r
011/195	or	1	o r
011/197	ohr	1	oh r
011/203	ohr	1	oh r
011/205	ohr	1	oh r
011/207	ohr	1	oh r
011/209	ohr	1	oh r
011/211	ohr	1	oh r
011/213	or	1	o r
011/215	ohr	1	oh r
011/217	ohr	1	oh r
011/219	ohr	1	oh r
012/047	uar	1	ua r
012/049	uar	1	ua r
012/051	ur	1	u r
012/053	öer	1	öe r
012/055	ör	1	ö r
012/057	or	1	o r
012/059	ur	1	u r
012/061	ur	1	u r
012/063	or	1	o r
012/065	ur	1	u r
012/067	öjer	1	öje r
012/069	uer	1	ue r
012/187	or	1	o r
012/189	or	1	o r
012/191	ohr	1	oh r
012/193	ohr	1	oh r
012/195	ohr	1	oh r
012/197	ohr	1	oh r
012/199	ohr	1	oh r
012/201	ohr	1	oh r
012/203	ohr	1	oh r
012/205	ohr	1	oh r
012/207	ohr	1	oh r
012/209	ohr	1	oh r
012/211	ohr	1	oh r
012/213	ohr	1	oh r
012/215	ohr	1	oh r
012/217	ohr	1	oh r
012/219	ohr	1	oh r
012/221	ohr	1	oh r
012/223	ohr	1	oh r
013/051	uhr	1	uh r
013/053	uur	1	uu r
013/055	uhr	1	uh r
013/057	ur	1	u r
013/059	ör	1	ö r
