locations	strings	cognateID	alignments
001/203	schnee	1	sch n ee -
002/201	schnee	1	sch n ee -
002/203	schnee	1	sch n ee -
002/205	schnee	1	sch n ee -
003/203	schnee	1	sch n ee -
003/205	schnee	1	sch n ee -
004/205	schnie	1	sch n ie -
005/205	schnee	1	sch n ee -
005/207	schnee	1	sch n ee -
006/205	schnee	1	sch n ee -
006/207	schnee	1	sch n ee -
007/205	schnee	1	sch n ee -
007/207	schnee	1	sch n ee -
007/209	schnee	1	sch n ee -
007/211	schnee	1	sch n ee -
008/199	schne	1	sch n e -
008/203	schnee	1	sch n ee -
008/205	schnee	1	sch n ee -
008/207	schnee	1	sch n ee -
008/209	schnee	1	sch n ee -
008/211	schnö	1	sch n ö -
008/213	schnee	1	sch n ee -
009/199	schnee	1	sch n ee -
009/203	schnee	1	sch n ee -
009/207	schnee	1	sch n ee -
009/209	schnee	1	sch n ee -
009/211	schnee	1	sch n ee -
009/213	schnee	1	sch n ee -
009/215	schnee	1	sch n ee -
009/217	schnee	1	sch n ee -
010/195	schne	1	sch n e -
010/203	schnee	1	sch n ee -
010/207	schnee	1	sch n ee -
010/209	schnü	1	sch n ü -
010/211	schnee	1	sch n ee -
010/213	schnee	1	sch n ee -
010/215	schnee	1	sch n ee -
010/217	schnee	1	sch n ee -
010/219	schnee	1	sch n ee -
011/049	schne	1	sch n e -
011/053	snee	1	s n ee -
011/055	snee	1	s n ee -
011/057	snee	1	s n ee -
011/059	snee	1	s n ee -
011/061	snee	1	s n ee -
011/063	snee	1	s n ee -
011/065	snee	1	s n ee -
011/067	schnie	1	sch n ie -
011/069	snee	1	s n ee -
011/187	schnee	1	sch n ee -
011/189	schnee	1	sch n ee -
011/191	schnee	1	sch n ee -
011/195	schnee	1	sch n ee -
011/197	schnee	1	sch n ee -
011/203	schnee	1	sch n ee -
011/205	schnee	1	sch n ee -
011/207	schnee	1	sch n ee -
011/209	schnee	1	sch n ee -
011/211	schnee	1	sch n ee -
011/213	schnee	1	sch n ee -
011/215	schnee	1	sch n ee -
011/217	schnee	1	sch n ee -
011/219	schnee	1	sch n ee -
012/047	snä	1	s n ä -
012/049	snä	1	s n ä -
012/051	schneej	1	sch n eej -
012/053	snee	1	s n ee -
012/055	snee	1	s n ee -
012/057	sne	1	s n e -
012/059	snee	1	s n ee -
012/061	snee	1	s n ee -
012/063	snee	1	s n ee -
012/065	snee	1	s n ee -
012/067	snie	1	s n ie -
012/069	snie	1	s n ie -
012/187	schnö	1	sch n ö -
012/189	schne	1	sch n e -
012/191	schnei	1	sch n ei -
012/193	schnee	1	sch n ee -
012/195	schnee	1	sch n ee -
012/197	schnee	1	sch n ee -
