locations	strings	cognateID	alignments
001/203	schwart	1	sch w a r t
002/201	schwart	1	sch w a r t
002/203	schwart	1	sch w a r t
002/205	schwart	1	sch w a r t
003/203	schwart	1	sch w a r t
003/205	schwart	1	sch w a r t
004/205	schwart	1	sch w a r t
005/205	schwart	1	sch w a r t
005/207	schwart	1	sch w a r t
006/205	schwart	1	sch w a r t
006/207	schwart	1	sch w a r t
007/205	schwart	1	sch w a r t
007/207	schwart	1	sch w a r t
007/209	schwart	1	sch w a r t
007/211	schwart	1	sch w a r t
008/199	schwart	1	sch w a r t
008/203	schwart	1	sch w a r t
008/205	schwart	1	sch w a r t
008/207	schwart	1	sch w a r t
008/209	schwart	1	sch w a r t
008/211	schwart	1	sch w a r t
008/213	schwart	1	sch w a r t
009/199	schwart	1	sch w a r t
009/203	schwart	1	sch w a r t
009/207	schwart	1	sch w a r t
009/209	schwart	1	sch w a r t
009/211	schwart	1	sch w a r t
009/213	schwart	1	sch w a r t
009/215	schwart	1	sch w a r t
009/217	schwart	1	sch w a r t
010/195	schwart	1	sch w a r t
010/203	schwart	1	sch w a r t
010/207	schwart	1	sch w a r t
010/209	schwart	1	sch w a r t
010/211	schwart	1	sch w a r t
010/213	schwart	1	sch w a r t
010/215	schwart	1	sch w a r t
010/217	schwart	1	sch w a r t
010/219	schwart	1	sch w a r t
011/049	surd	1	s - u r d
011/053	NA	NA	- - - - - -
011/055	NA	NA	- - - - - -
011/057	sort	1	s - o r t
011/059	soort	1	s - oo r t
011/061	soort	1	s - oo r t
011/063	NA	NA	- - - - - -
011/065	soht	1	s - oh - t
011/067	suat	1	s - ua - t
011/069	suat	1	s - ua - t
011/187	schwath	1	sch w a - th
011/189	schwart	1	sch w a r t
011/191	schwart	1	sch w a r t
011/195	schwart	1	sch w a r t
011/197	schwat	1	sch w a - t
011/203	schwart	1	sch w a r t
011/205	schwart	1	sch w a r t
011/207	schwart	1	sch w a r t
011/209	schwart	1	sch w a r t
011/211	schwaart	1	sch w aa r t
011/213	schwart	1	sch w a r t
011/215	schwart	1	sch w a r t
011/217	schwart	1	sch w a r t
011/219	schwart	1	sch w a r t
012/047	suurt	1	s - uu r t
012/049	suurt	1	s - uu r t
012/051	surt	1	s - u r t
012/053	swort	1	s w o r t
012/055	sort	1	s - o r t
012/057	sort	1	s - o r t
012/059	soet	1	s - oe - t
012/061	sod	1	s - o - d
012/063	soet	1	s - oe - t
012/065	soet	1	s - oe - t
012/067	suat	1	s - ua - t
012/069	suat	1	s - ua - t
012/187	schwat	1	sch w a - t
012/189	schwart	1	sch w a r t
012/191	schwart	1	sch w a r t
012/193	schwart	1	sch w a r t
012/195	schwaat	1	sch w aa - t
012/197	schwart	1	sch w a r t
012/199	schwart	1	sch w a r t
012/201	schwat	1	sch w a - t
012/203	schwat	1	sch w a - t
012/205	schwart	1	sch w a r t
012/207	schwart	1	sch w a r t
012/209	schwart	1	sch w a r t
012/211	schwart	1	sch w a r t
012/213	schwart	1	sch w a r t
012/215	schwaart	1	sch w aa r t
012/217	schwart	1	sch w a r t
012/219	schwart	1	sch w a r t
012/221	schwart	1	sch w a r t
012/223	schwart	1	sch w a r t
013/051	suhrt	1	s - uh r t
013/053	surt	1	s - u r t
013/055	swaas	1	s w aa - s
013/057	sort	1	s - o r t
013/059	soot	1	s - oo - t
013/061	schwart	1	sch w a r t
013/063	schwart	1	sch w a r t
013/065	schwatt	1	sch w a - tt
013/067	swart	1	s w a r t
013/161	schwart	1	sch w a r t
013/163	schwart	1	sch w a r t
013/165	schwart	1	sch w a r t
013/167	schwart	1	sch w a r t
013/187	schwart	1	sch w a r t
013/189	schwatt	1	sch w a - tt
