locations	strings	cognateID	alignments
001/203	sien	1	s ie n -
002/201	sin	1	s i n -
002/203	sien	1	s ie n -
002/205	syn	1	s y n -
003/203	sien	1	s ie n -
003/205	syn	1	s y n -
004/205	sien	1	s ie n -
005/205	sien	1	s ie n -
005/207	sien	1	s ie n -
006/205	sien	1	s ie n -
006/207	sien	1	s ie n -
007/205	sien	1	s ie n -
007/207	sin	1	s i n -
007/209	syn	1	s y n -
007/211	sin	1	s i n -
008/199	sien	1	s ie n -
008/203	sin	1	s i n -
008/205	sin	1	s i n -
008/207	sin	1	s i n -
008/209	sien	1	s ie n -
008/211	sien	1	s ie n -
008/213	siin	1	s ii n -
009/199	sihn	1	s ih n -
009/203	sien	1	s ie n -
009/207	sin	1	s i n -
009/209	sien	1	s ie n -
009/211	sin	1	s i n -
009/213	sien	1	s ie n -
009/215	sinn	1	s i nn -
009/217	sin	1	s i n -
010/195	sien	1	s ie n -
010/203	sin	1	s i n -
010/207	sien	1	s ie n -
010/209	sün	1	s ü n -
010/211	sihn	1	s ih n -
010/213	sien	1	s ie n -
010/215	sin	1	s i n -
010/217	sien	1	s ie n -
010/219	sin	1	s i n -
011/049	sin	1	s i n -
011/053	sin	1	s i n -
011/055	sin	1	s i n -
011/057	hans	6	h a n s - -
011/059	sin	1	s i n -
011/061	hans	6	h a n s - -
011/063	hans	6	h a n s - -
011/065	hans	6	h a n s - -
011/067	min	4	m i n
011/069	min	4	m i n
011/187	sien	1	s ie n -
011/189	sin	1	s i n -
011/191	sin	1	s i n -
011/195	sin	1	s i n -
011/197	sien	1	s ie n -
011/203	sien	1	s ie n -
011/205	sien	1	s ie n -
011/207	sien	1	s ie n -
011/209	sien	1	s ie n -
011/211	sien	1	s ie n -
011/213	siin	1	s ii n -
011/215	sien	1	s ie n -
011/217	sien	1	s ie n -
011/219	sin	1	s i n -
012/047	sin	1	s i n -
012/049	sin	1	s i n -
012/051	sin	1	s i n -
012/053	sin	1	s i n -
012/055	sin	1	s i n -
012/057	sin	1	s i n -
012/059	sin	1	s i n -
012/061	hans	6	h a n s - -
012/063	hans	6	h a n s - -
012/065	hans	6	h a n s - -
012/067	hans	6	h a n s - -
012/069	hans	6	h a n s - -
012/187	sin	1	s i n -
012/189	sin	1	s i n -
012/191	sien	1	s ie n -
012/193	sin	1	s i n -
012/195	sien	1	s ie n -
012/197	sien	1	s ie n -
012/199	sien	1	s ie n -
012/201	sie	1	s ie - -
012/203	sin	1	s i n -
012/205	sin	1	s i n -
012/207	sien	1	s ie n -
012/209	sien	1	s ie n -
012/211	sien	1	s ie n -
012/213	sien	1	s ie n -
012/215	sien	1	s ie n -
012/217	sin	1	s i n -
012/219	sien	1	s ie n -
012/221	sien	1	s ie n -
012/223	sin	1	s i n -
013/051	senn	1	s e nn -
013/053	san	1	s a n -
013/055	san	1	s a n -
013/057	sin	1	s i n -
013/059	sin	1	s i n -
013/061	sin	1	s i n -
013/063	sin	1	s i n -
013/065	sien	1	s ie n -
013/067	sin	1	s i n -
013/161	sien	1	s ie n -
013/163	sien	1	s ie n -
013/165	sün	1	s ü n -
013/167	sien	1	s ie n -
013/187	sien	1	s ie n -
013/189	sien	1	s ie n -
013/191	sin	1	s i n -
013/193	sien	1	s ie n -
013/195	sien	1	s ie n -
013/197	sien	1	s ie n -
013/199	sien	1	s ie n -
013/201	sin	1	s i n -
013/203	sin	1	s i n -
013/207	sien	1	s ie n -
013/209	sien	1	s ie n -
013/211	sien	1	s ie n -
013/213	sien	1	s ie n -
013/215	sien	1	s ie n -
013/217	sien	1	s ie n -
013/219	sien	1	s ie n -
013/221	sien	1	s ie n -
013/223	sien	1	s ie n -
014/047	san	1	s a n -
014/049	san	1	s a n -
014/051	san	1	s a n -
014/053	sann	1	s a nn -
014/055	san	1	s a n -
014/057	san	1	s a n -
014/059	siin	1	s ii n -
014/061	sin	1	s i n -
014/063	sien	1	s ie n -
014/065	sin	1	s i n -
014/067	sien	1	s ie n -
014/109	sin	1	s i n -
014/159	sien	1	s ie n -
014/161	sien	1	s ie n -
014/163	sien	1	s ie n -
014/165	sien	1	s ie n -
014/167	sin	1	s i n -
014/169	sien	1	s ie n -
014/187	sien	1	s ie n -
014/189	siehn	1	s ieh n -
014/191	sin	1	s i n -
014/193	sien	1	s ie n -
014/195	siin	1	s ii n -
014/197	sin	1	s i n -
014/199	sien	1	s ie n -
014/201	sin	1	s i n -
014/203	sin	1	s i n -
014/205	jue	2	j ue -
014/207	sien	1	s ie n -
014/209	sihn	1	s ih n -
014/211	sien	1	s ie n -
014/213	sin	1	s i n -
014/215	sien	1	s ie n -
014/217	sien	1	s ie n -
014/219	sien	1	s ie n -
014/221	sien	1	s ie n -
015/049	san	1	s a n -
015/051	san	1	s a n -
015/053	san	1	s a n -
015/055	san	1	s a n -
015/057	sann	1	s a nn -
015/059	sin	1	s i n -
015/061	sien	1	s ie n -
015/063	sin	1	s i n -
015/065	sin	1	s i n -
015/067	sin	1	s i n -
015/105	sin	1	s i n -
015/107	sien	1	s ie n -
015/109	sin	1	s i n -
015/151	sia	1	s ia - -
015/153	sien	1	s ie n -
015/155	sin	1	s i n -
015/157	sia	1	s ia - -
015/159	sie	1	s ie - -
015/161	sin	1	s i n -
015/163	sien	1	s ie n -
015/165	sien	1	s ie n -
015/167	seen	1	s ee n -
015/169	sin	1	s i n -
015/173	sin	1	s i n -
015/187	siehn	1	s ieh n -
015/191	sien	1	s ie n -
015/193	sien	1	s ie n -
015/195	sin	1	s i n -
015/197	sien	1	s ie n -
015/199	siin	1	s ii n -
015/201	sin	1	s i n -
015/203	sin	1	s i n -
015/205	sin	1	s i n -
015/207	sien	1	s ie n -
015/209	sin	1	s i n -
015/211	sin	1	s i n -
015/213	sin	1	s i n -
015/215	sien	1	s ie n -
015/217	sin	1	s i n -
015/219	siin	1	s ii n -
015/221	sien	1	s ie n -
016/051	saen	1	s ae n -
016/055	san	1	s a n -
016/057	sin	1	s i n -
016/059	sin	1	s i n -
016/061	sin	1	s i n -
016/063	sin	1	s i n -
016/065	sin	1	s i n -
016/067	sin	1	s i n -
016/081	sien	1	s ie n -
016/083	sin	1	s i n -
016/105	sin	1	s i n -
016/107	sien	1	s ie n -
016/109	sien	1	s ie n -
016/111	sinn	1	s i nn -
016/145	siea	1	s iea - -
016/147	sia	1	s ia - -
016/149	sia	1	s ia - -
016/151	sia	1	s ia - -
016/153	sia	1	s ia - -
016/155	sia	1	s ia - -
016/157	sia	1	s ia - -
016/159	sia	1	s ia - -
016/161	sie	1	s ie - -
016/163	sin	1	s i n -
016/165	sen	1	s e n -
016/167	sin	1	s i n -
016/187	sin	1	s i n -
016/189	sin	1	s i n -
016/191	sin	1	s i n -
016/193	sien	1	s ie n -
016/195	sihn	1	s ih n -
016/197	sien	1	s ie n -
016/199	sien	1	s ie n -
016/201	sien	1	s ie n -
016/203	sin	1	s i n -
016/205	sien	1	s ie n -
016/209	sien	1	s ie n -
016/211	sien	1	s ie n -
016/213	sien	1	s ie n -
016/215	sien	1	s ie n -
016/217	sien	1	s ie n -
016/219	sien	1	s ie n -
017/055	sien	1	s ie n -
017/057	sin	1	s i n -
017/059	sin	1	s i n -
017/061	sien	1	s ie n -
017/063	sin	1	s i n -
017/065	sin	1	s i n -
017/067	sin	1	s i n -
017/069	sien	1	s ie n -
017/081	sihn	1	s ih n -
017/083	sien	1	s ie n -
017/099	sin	1	s i n -
017/101	sien	1	s ie n -
017/103	sien	1	s ie n -
017/107	sin	1	s i n -
017/109	sin	1	s i n -
017/145	sie	1	s ie - -
017/147	sie	1	s ie - -
017/149	siä	1	s iä - -
017/151	siea	1	s iea - -
017/153	sia	1	s ia - -
017/155	sin	1	s i n -
017/157	sia	1	s ia - -
017/159	siea	1	s iea - -
017/161	seea	1	s eea - -
017/163	sie	1	s ie - -
017/165	sin	1	s i n -
017/169	sin	1	s i n -
017/171	sien	1	s ie n -
017/183	sin	1	s i n -
017/185	sien	1	s ie n -
017/187	sien	1	s ie n -
017/189	sien	1	s ie n -
017/191	sin	1	s i n -
017/193	sin	1	s i n -
017/195	sie	1	s ie - -
017/197	siin	1	s ii n -
017/199	sin	1	s i n -
017/201	sin	1	s i n -
017/203	sihn	1	s ih n -
017/205	sien	1	s ie n -
017/207	sin	1	s i n -
017/209	sien	1	s ie n -
017/211	sin	1	s i n -
017/213	sien	1	s ie n -
017/215	sin	1	s i n -
017/217	sien	1	s ie n -
017/219	sien	1	s ie n -
018/051	siin	1	s ii n -
018/053	sin	1	s i n -
018/055	sin	1	s i n -
018/057	siin	1	s ii n -
018/059	sin	1	s i n -
018/061	siin	1	s ii n -
018/063	sin	1	s i n -
018/065	sinn	1	s i nn -
018/067	sien	1	s ie n -
018/069	sien	1	s ie n -
018/071	sin	1	s i n -
018/073	sin	1	s i n -
018/075	sin	1	s i n -
018/079	sien	1	s ie n -
018/081	sien	1	s ie n -
018/097	sien	1	s ie n -
018/099	sin	1	s i n -
018/103	sien	1	s ie n -
018/105	sien	1	s ie n -
018/107	siehn	1	s ieh n -
018/109	sin	1	s i n -
018/111	sien	1	s ie n -
018/143	sien	1	s ie n -
018/145	sien	1	s ie n -
018/147	siehn	1	s ieh n -
018/149	sia	1	s ia - -
018/151	siä	1	s iä - -
018/153	sie	1	s ie - -
018/155	siä	1	s iä - -
018/157	siea	1	s iea - -
018/159	sia	1	s ia - -
018/161	sieh	1	s ieh - -
018/163	sie	1	s ie - -
018/165	sien	1	s ie n -
018/169	sien	1	s ie n -
018/171	siin	1	s ii n -
018/173	sin	1	s i n -
018/181	sien	1	s ie n -
018/185	sin	1	s i n -
018/187	sien	1	s ie n -
018/189	sin	1	s i n -
018/191	sin	1	s i n -
018/193	sin	1	s i n -
018/195	sin	1	s i n -
018/197	sien	1	s ie n -
018/199	sin	1	s i n -
018/201	sien	1	s ie n -
018/203	sien	1	s ie n -
018/205	sin	1	s i n -
018/207	sin	1	s i n -
018/209	sin	1	s i n -
018/211	sin	1	s i n -
018/213	sin	1	s i n -
018/215	sien	1	s ie n -
018/219	sien	1	s ie n -
019/051	sien	1	s ie n -
019/053	sien	1	s ie n -
019/055	sin	1	s i n -
019/057	sin	1	s i n -
019/059	sin	1	s i n -
019/061	sien	1	s ie n -
019/063	sin	1	s i n -
019/065	sien	1	s ie n -
019/067	sin	1	s i n -
019/069	sin	1	s i n -
019/071	sien	1	s ie n -
019/073	sin	1	s i n -
019/075	sin	1	s i n -
019/077	sien	1	s ie n -
019/079	sien	1	s ie n -
019/081	sien	1	s ie n -
019/097	sin	1	s i n -
019/099	sin	1	s i n -
019/101	sin	1	s i n -
019/103	sin	1	s i n -
019/105	sien	1	s ie n -
019/107	sin	1	s i n -
019/109	sien	1	s ie n -
019/143	sia	1	s ia - -
019/145	siä	1	s iä - -
019/147	siee	1	s iee - -
019/149	sie	1	s ie - -
