locations	strings	cognateID	alignments
001/203	so	1	s o
002/201	so	1	s o
002/203	so	1	s o
002/205	so	1	s o
003/203	so	1	s o
003/205	so	1	s o
004/205	so	1	s o
005/205	so	1	s o
005/207	so	1	s o
006/205	so	1	s o
006/207	so	1	s o
007/205	so	1	s o
007/207	so	1	s o
007/209	so	1	s o
007/211	so	1	s o
008/199	so	1	s o
008/203	so	1	s o
008/205	so	1	s o
008/207	so	1	s o
008/209	so	1	s o
008/211	so	1	s o
008/213	so	1	s o
009/199	so	1	s o
009/203	so	1	s o
009/207	so	1	s o
009/209	so	1	s o
009/211	so	1	s o
009/213	so	1	s o
009/215	so	1	s o
009/217	so	1	s o
010/195	so	1	s o
010/203	so	1	s o
010/207	so	1	s o
010/209	so	1	s o
010/211	so	1	s o
010/213	so	1	s o
010/215	so	1	s o
010/217	so	1	s o
010/219	so	1	s o
011/049	sa	1	s a
011/053	saa	1	s aa
011/055	saa	1	s aa
011/057	saa	1	s aa
011/059	saa	1	s aa
011/061	saa	1	s aa
011/063	saa	1	s aa
011/065	saa	1	s aa
011/067	saa	1	s aa
011/069	NA	NA	- -
011/187	so	1	s o
011/189	so	1	s o
011/191	so	1	s o
011/195	so	1	s o
011/197	so	1	s o
011/203	so	1	s o
011/205	so	1	s o
011/207	so	1	s o
011/209	so	1	s o
011/211	so	1	s o
011/213	so	1	s o
011/215	so	1	s o
011/217	so	1	s o
011/219	so	1	s o
012/047	sa	1	s a
012/049	sa	1	s a
012/051	so	1	s o
012/053	saa	1	s aa
012/055	sa	1	s a
012/057	sa	1	s a
012/059	saa	1	s aa
012/061	saa	1	s aa
012/063	sa	1	s a
012/065	saa	1	s aa
012/067	sa	1	s a
012/069	so	1	s o
012/187	so	1	s o
012/189	so	1	s o
012/191	so	1	s o
012/193	so	1	s o
012/195	so	1	s o
012/197	so	1	s o
012/199	soa	1	s oa
012/201	sa	1	s a
012/203	si	1	s i
012/205	so	1	s o
012/207	so	1	s o
012/209	so	1	s o
012/211	so	1	s o
012/213	so	1	s o
012/215	so	1	s o
012/217	so	1	s o
012/219	so	1	s o
012/221	so	1	s o
012/223	so	1	s o
013/051	su	1	s u
013/053	sü	1	s ü
013/055	so	1	s o
013/057	saa	1	s aa
013/059	saa	1	s aa
013/061	so	1	s o
013/063	so	1	s o
013/065	so	1	s o
013/067	so	1	s o
013/161	so	1	s o
013/163	so	1	s o
013/165	so	1	s o
013/167	so	1	s o
013/187	so	1	s o
013/189	so	1	s o
013/191	so	1	s o
013/193	so	1	s o
013/195	so	1	s o
013/197	so	1	s o
013/199	so	1	s o
013/201	so	1	s o
013/203	so	1	s o
013/207	so	1	s o
013/209	so	1	s o
013/211	so	1	s o
013/213	so	1	s o
013/215	so	1	s o
013/217	NA	NA	- -
013/219	so	1	s o
013/221	so	1	s o
013/223	so	1	s o
014/047	sa	1	s a
014/049	so	1	s o
014/051	saa	1	s aa
014/053	se	1	s e
014/055	sö	1	s ö
014/057	sö	1	s ö
014/059	so	1	s o
014/061	so	1	s o
014/063	so	1	s o
014/065	so	1	s o
014/067	so	1	s o
014/109	so	1	s o
014/159	so	1	s o
014/161	so	1	s o
014/163	so	1	s o
014/165	so	1	s o
014/167	so	1	s o
014/169	so	1	s o
014/187	so	1	s o
014/189	so	1	s o
014/191	so	1	s o
014/193	so	1	s o
014/195	so	1	s o
014/197	so	1	s o
014/199	so	1	s o
014/201	so	1	s o
014/203	so	1	s o
014/205	so	1	s o
014/207	so	1	s o
014/209	so	1	s o
014/211	so	1	s o
014/213	so	1	s o
014/215	so	1	s o
014/217	so	1	s o
014/219	so	1	s o
014/221	so	1	s o
015/049	sa	1	s a
015/051	sa	1	s a
015/053	sa	1	s a
015/055	sö	1	s ö
015/057	sa	1	s a
015/059	so	1	s o
015/061	so	1	s o
015/063	so	1	s o
015/065	so	1	s o
015/067	so	1	s o
015/105	so	1	s o
015/107	so	1	s o
015/109	so	1	s o
015/151	so	1	s o
015/153	so	1	s o
015/155	so	1	s o
015/157	so	1	s o
015/159	so	1	s o
015/161	so	1	s o
015/163	so	1	s o
015/165	so	1	s o
015/167	so	1	s o
015/169	so	1	s o
015/173	so	1	s o
015/187	so	1	s o
015/191	so	1	s o
