locations	strings	cognateID	alignments
001/203	von	1	v o n -
002/201	von	1	v o n -
002/203	von	1	v o n -
002/205	von	1	v o n -
003/203	von	1	v o n -
003/205	von	1	v o n -
004/205	von	1	v o n -
005/205	von	1	v o n -
005/207	von	1	v o n -
006/205	von	1	v o n -
006/207	von	1	v o n -
007/205	von	1	v o n -
007/207	von	1	v o n -
007/209	von	1	v o n -
007/211	von	1	v o n -
008/199	von	1	v o n -
008/203	von	1	v o n -
008/205	von	1	v o n -
008/207	von	1	v o n -
008/209	von	1	v o n -
008/211	von	1	v o n -
008/213	von	1	v o n -
009/199	von	1	v o n -
009/203	von	1	v o n -
009/207	von	1	v o n -
009/209	von	1	v o n -
009/211	von	1	v o n -
009/213	von	1	v o n -
009/215	von	1	v o n -
009/217	von	1	v o n -
010/195	von	1	v o n -
010/203	von	1	v o n -
010/207	von	1	v o n -
010/209	von	1	v o n -
010/211	von	1	v o n -
010/213	von	1	v o n -
010/215	von	1	v o n -
010/217	von	1	v o n -
010/219	von	1	v o n -
011/049	van	1	v a n -
011/053	a	2	a - -
011/055	a	2	a - -
011/057	a	2	a - -
011/059	a	2	a - -
011/061	a	2	a - -
011/063	ad	2	a d -
011/065	ats	2	a t s
011/067	ow	3	o w - -
011/069	au	2	au - -
011/187	von	1	v o n -
011/189	von	1	v o n -
011/191	von	1	v o n -
011/195	von	1	v o n -
011/197	von	1	v o n -
011/203	von	1	v o n -
011/205	von	1	v o n -
011/207	von	1	v o n -
011/209	von	1	v o n -
011/211	von	1	v o n -
011/213	van	1	v a n -
011/215	von	1	v o n -
011/217	vann	1	v a nn -
011/219	von	1	v o n -
012/047	fan	1	f a n -
012/049	fan	1	f a n -
012/051	fjun	1	fj u n -
012/053	a	2	a - -
012/055	a	2	a - -
012/057	a	2	a - -
012/059	a	2	a - -
012/061	a	2	a - -
012/063	a	2	a - -
012/065	a	2	a - -
012/067	ov	3	o v - -
012/069	au	2	au - -
012/187	von	1	v o n -
012/189	von	1	v o n -
012/191	von	1	v o n -
012/193	von	1	v o n -
012/195	von	1	v o n -
012/197	von	1	v o n -
012/199	von	1	v o n -
012/201	von	1	v o n -
012/203	von	1	v o n -
012/205	von	1	v o n -
012/207	von	1	v o n -
012/209	von	1	v o n -
012/211	von	1	v o n -
012/213	von	1	v o n -
012/215	vrun	1	vr u n -
012/217	von	1	v o n -
012/219	von	1	v o n -
012/221	von	1	v o n -
012/223	von	1	v o n -
013/051	vuin	1	v ui n -
013/053	foon	1	f oo n -
013/055	vun	1	v u n -
013/057	a	2	a - -
013/059	a	2	a - -
013/061	von	1	v o n -
013/063	von	1	v o n -
013/065	von	1	v o n -
013/067	von	1	v o n -
013/161	von	1	v o n -
013/163	von	1	v o n -
013/165	von	1	v o n -
013/167	von	1	v o n -
013/187	von	1	v o n -
013/189	von	1	v o n -
013/191	vonn	1	v o nn -
013/193	von	1	v o n -
013/195	von	1	v o n -
013/197	von	1	v o n -
013/199	von	1	v o n -
013/201	von	1	v o n -
013/203	von	1	v o n -
013/207	von	1	v o n -
013/209	von	1	v o n -
013/211	von	1	v o n -
013/213	von	1	v o n -
013/215	von	1	v o n -
013/217	von	1	v o n -
013/219	von	1	v o n -
013/221	von	1	v o n -
013/223	von	1	v o n -
014/047	fan	1	f a n -
014/049	fan	1	f a n -
014/051	faan	1	f aa n -
014/053	fonn	1	f o nn -
014/055	von	1	v o n -
014/057	von	1	v o n -
014/059	von	1	v o n -
014/061	von	1	v o n -
014/063	von	1	v o n -
014/065	von	1	v o n -
014/067	vrn	1	vr - n -
014/109	von	1	v o n -
014/159	NA	NA	-
014/161	von	1	v o n -
014/163	von	1	v o n -
014/165	von	1	v o n -
014/167	von	1	v o n -
014/169	von	1	v o n -
014/187	von	1	v o n -
014/189	von	1	v o n -
014/191	von	1	v o n -
014/193	von	1	v o n -
014/195	von	1	v o n -
014/197	von	1	v o n -
014/199	von	1	v o n -
014/201	von	1	v o n -
014/203	von	1	v o n -
014/205	von	1	v o n -
014/207	von	1	v o n -
014/209	von	1	v o n -
014/211	voe	1	v oe - -
014/213	von	1	v o n -
014/215	von	1	v o n -
014/217	von	1	v o n -
014/219	vun	1	v u n -
014/221	von	1	v o n -
015/049	fan	1	f a n -
015/051	fon	1	f o n -
015/053	fon	1	f o n -
015/055	von	1	v o n -
015/057	von	1	v o n -
015/059	von	1	v o n -
015/061	von	1	v o n -
015/063	von	1	v o n -
015/065	vun	1	v u n -
015/067	von	1	v o n -
015/105	von	1	v o n -
015/107	von	1	v o n -
015/109	von	1	v o n -
015/151	von	1	v o n -
015/153	von	1	v o n -
015/155	von	1	v o n -
015/157	von	1	v o n -
015/159	von	1	v o n -
015/161	von	1	v o n -
015/163	van	1	v a n -
015/165	von	1	v o n -
015/167	von	1	v o n -
015/169	von	1	v o n -
015/173	von	1	v o n -
015/187	von	1	v o n -
015/191	von	1	v o n -
015/193	von	1	v o n -
015/195	von	1	v o n -
015/197	von	1	v o n -
015/199	von	1	v o n -
015/201	von	1	v o n -
015/203	von	1	v o n -
015/205	von	1	v o n -
015/207	von	1	v o n -
015/209	von	1	v o n -
015/211	von	1	v o n -
015/213	von	1	v o n -
015/215	von	1	v o n -
015/217	von	1	v o n -
015/219	von	1	v o n -
015/221	von	1	v o n -
016/051	von	1	v o n -
016/055	fon	1	f o n -
016/057	von	1	v o n -
016/059	van	1	v a n -
016/061	von	1	v o n -
016/063	von	1	v o n -
016/065	ven	1	v e n -
016/067	von	1	v o n -
016/081	von	1	v o n -
016/083	von	1	v o n -
016/105	von	1	v o n -
016/107	von	1	v o n -
016/109	von	1	v o n -
016/111	von	1	v o n -
016/145	von	1	v o n -
016/147	va	1	v a - -
016/149	voa	1	v oa - -
016/151	vann	1	v a nn -
016/153	van	1	v a n -
016/155	von	1	v o n -
016/157	von	1	v o n -
016/159	von	1	v o n -
016/161	von	1	v o n -
016/163	von	1	v o n -
016/165	von	1	v o n -
016/167	vom	1	v o m -
016/187	von	1	v o n -
016/189	von	1	v o n -
016/191	von	1	v o n -
016/193	von	1	v o n -
016/195	von	1	v o n -
016/197	von	1	v o n -
016/199	von	1	v o n -
016/201	von	1	v o n -
016/203	von	1	v o n -
016/205	von	1	v o n -
