locations	strings	cognateID	alignments
001/203	wat	1	w a t
002/201	woat	1	w oa t
002/203	woot	1	w oo t
002/205	woot	1	w oo t
003/203	woot	1	w oo t
003/205	wat	1	w a t
004/205	woat	1	w oa t
005/205	woat	1	w oa t
005/207	wat	1	w a t
006/205	waht	1	w ah t
006/207	woat	1	w oa t
007/205	woat	1	w oa t
007/207	wat	1	w a t
007/209	waat	1	w aa t
007/211	wat	1	w a t
008/199	woat	1	w oa t
008/203	wat	1	w a t
008/205	watt	1	w a tt
008/207	wot	1	w o t
008/209	wat	1	w a t
008/211	wat	1	w a t
008/213	wat	1	w a t
009/199	wat	1	w a t
009/203	wat	1	w a t
009/207	woat	1	w oa t
009/209	wat	1	w a t
009/211	waat	1	w aa t
009/213	woat	1	w oa t
009/215	watt	1	w a tt
009/217	wot	1	w o t
010/195	woat	1	w oa t
010/203	wat	1	w a t
010/207	woat	1	w oa t
010/209	woat	1	w oa t
010/211	waht	1	w ah t
010/213	wat	1	w a t
010/215	wat	1	w a t
010/217	wot	1	w o t
010/219	woat	1	w oa t
011/049	wed	1	w e d
011/053	wand	1	w a nd
011/055	wand	1	w a nd
011/057	wand	1	w a nd
011/059	wand	1	w a nd
011/061	wand	1	w a nd
011/063	wand	1	w a nd
011/065	wand	1	w a nd
011/067	waand	1	w aa nd
011/069	wand	1	w a nd
011/187	wot	1	w o t
011/189	wot	1	w o t
011/191	woat	1	w oa t
011/195	woat	1	w oa t
011/197	woat	1	w oa t
011/203	wat	1	w a t
011/205	wat	1	w a t
011/207	woat	1	w oa t
011/209	wat	1	w a t
011/211	wot	1	w o t
011/213	wot	1	w o t
011/215	woat	1	w oa t
011/217	wat	1	w a t
011/219	woat	1	w oa t
012/047	weet	1	w ee t
012/049	weet	1	w ee t
012/051	waa	1	w aa -
012/053	wanj	1	w a nj
012/055	wand	1	w a nd
012/057	van	1	v a n
012/059	wand	1	w a nd
012/061	want	1	w a nt
012/063	wand	1	w a nd
012/065	wand	1	w a nd
012/067	wond	1	w o nd
012/069	wond	1	w o nd
012/187	wot	1	w o t
012/189	wot	1	w o t
012/191	woat	1	w oa t
012/193	wat	1	w a t
012/195	woat	1	w oa t
012/197	wat	1	w a t
012/199	wat	1	w a t
012/201	wat	1	w a t
012/203	wot	1	w o t
012/205	woot	1	w oo t
012/207	wat	1	w a t
012/209	woat	1	w oa t
012/211	woatt	1	w oa tt
012/213	woat	1	w oa t
012/215	wat	1	w a t
012/217	woat	1	w oa t
012/219	woht	1	w oh t
012/221	wat	1	w a t
012/223	woat	1	w oa t
013/051	wah	1	w ah -
013/053	wad	1	w a d
013/055	wad	1	w a d
013/057	wand	1	w a nd
013/059	wan	1	w a n
013/061	waad	1	w aa d
013/063	waad	1	w aa d
013/065	wad	1	w a d
013/067	wad	1	w a d
013/161	waot	1	w ao t
013/163	wat	1	w a t
013/165	wot	1	w o t
013/167	wot	1	w o t
013/187	woat	1	w oa t
013/189	wot	1	w o t
013/191	wot	1	w o t
013/193	wocht	1	w o cht
013/195	wat	1	w a t
013/197	woat	1	w oa t
013/199	woat	1	w oa t
013/201	waot	1	w ao t
013/203	wot	1	w o t
013/207	wat	1	w a t
013/209	woat	1	w oa t
013/211	woat	1	w oa t
013/213	woat	1	w oa t
013/215	wott	1	w o tt
013/217	woat	1	w oa t
013/219	woat	1	w oa t
013/221	wat	1	w a t
013/223	wat	1	w a t
014/047	wed	1	w e d
014/049	weed	1	w ee d
014/051	wäd	1	w ä d
014/053	wa	1	w a -
014/055	wa	1	w a -
014/057	wa	1	w a -
014/059	waad	1	w aa d
