locations	strings	cognateID	alignments
001/203	war	1	w a r - -
002/201	war	1	w a r - -
002/203	war	1	w a r - -
002/205	war	1	w a r - -
003/203	war	1	w a r - -
003/205	war	1	w a r - -
004/205	warr	1	w a rr - -
005/205	waar	1	w aa r - -
005/207	war	1	w a r - -
006/205	wahr	1	w ah r - -
006/207	war	1	w a r - -
007/205	war	1	w a r - -
007/207	war	1	w a r - -
007/209	warr	1	w a rr - -
007/211	war	1	w a r - -
008/199	war	1	w a r - -
008/203	war	1	w a r - -
008/205	war	1	w a r - -
008/207	war	1	w a r - -
008/209	war	1	w a r - -
008/211	war	1	w a r - -
008/213	war	1	w a r - -
009/199	war	1	w a r - -
009/203	wahr	1	w ah r - -
009/207	war	1	w a r - -
009/209	war	1	w a r - -
009/211	war	1	w a r - -
009/213	war	1	w a r - -
009/215	war	1	w a r - -
009/217	NA	NA	- - - - - -
010/195	war	1	w a r - -
010/203	war	1	w a r - -
010/207	war	1	w a r - -
010/209	war	1	w a r - -
010/211	war	1	w a r - -
010/213	war	1	w a r - -
010/215	waar	1	w aa r - -
010/217	war	1	w a r - -
010/219	war	1	w a r - -
011/049	NA	NA	- - - - - -
011/053	NA	NA	- - - - - -
011/055	NA	NA	- - - - - -
011/057	NA	NA	- - - - - -
011/059	NA	NA	- - - - - -
011/061	NA	NA	- - - - - -
011/063	NA	NA	- - - - - -
011/065	NA	NA	- - - - - -
011/067	NA	NA	- - - - - -
011/069	NA	NA	- - - - - -
011/187	war	1	w a r - -
011/189	war	1	w a r - -
011/191	warr	1	w a rr - -
011/195	woar	1	w oa r - -
011/197	war	1	w a r - -
011/203	war	1	w a r - -
011/205	war	1	w a r - -
011/207	war	1	w a r - -
011/209	waar	1	w aa r - -
011/211	war	1	w a r - -
011/213	waar	1	w aa r - -
011/215	war	1	w a r - -
011/217	war	1	w a r - -
011/219	war	1	w a r - -
012/047	NA	NA	- - - - - -
012/049	NA	NA	- - - - - -
012/051	wad	1	w a - - d
012/053	NA	NA	- - - - - -
012/055	NA	NA	- - - - - -
012/057	NA	NA	- - - - - -
012/059	NA	NA	- - - - - -
012/061	NA	NA	- - - - - -
012/063	NA	NA	- - - - - -
012/065	NA	NA	- - - - - -
012/067	NA	NA	- - - - - -
012/069	NA	NA	- - - - - -
012/187	warr	1	w a rr - -
012/189	war	1	w a r - -
012/191	war	1	w a r - -
012/193	warr	1	w a rr - -
012/195	war	1	w a r - -
012/197	war	1	w a r - -
012/199	warr	1	w a rr - -
012/201	war	1	w a r - -
012/203	war	1	w a r - -
012/205	war	1	w a r - -
012/207	war	1	w a r - -
012/209	war	1	w a r - -
012/211	war	1	w a r - -
012/213	war	1	w a r - -
012/215	waar	1	w aa r - -
012/217	war	1	w a r - -
012/219	wahr	1	w ah r - -
012/221	war	1	w a r - -
012/223	war	1	w a r - -
013/051	wad	1	w a - - d
013/053	waard	1	w aa r - d
013/055	ward	1	w a r - d
013/057	NA	NA	- - - - - -
013/059	NA	NA	- - - - - -
013/061	war	1	w a r - -
013/063	war	1	w a r - -
013/065	warr	1	w a rr - -
013/067	warr	1	w a rr - -
013/161	war	1	w a r - -
013/163	war	1	w a r - -
013/165	war	1	w a r - -
013/167	warr	1	w a rr - -
013/187	war	1	w a r - -
013/189	war	1	w a r - -
013/191	war	1	w a r - -
013/193	war	1	w a r - -
013/195	war	1	w a r - -
013/197	waar	1	w aa r - -
013/199	war	1	w a r - -
013/201	war	1	w a r - -
013/203	war	1	w a r - -
013/207	waar	1	w aa r - -
013/209	warr	1	w a rr - -
013/211	war	1	w a r - -
013/213	NA	NA	- - - - - -
013/215	war	1	w a r - -
013/217	war	1	w a r - -
013/219	war	1	w a r - -
013/221	war	1	w a r - -
013/223	war	1	w a r - -
014/047	word	1	w o r - d
014/049	NA	NA	- - - - - -
014/051	wurd	1	w u r - d
014/053	war	1	w a r - -
014/055	ward	1	w a r - d
014/057	war	1	w a r - -
014/059	war	1	w a r - -
014/061	war	1	w a r - -
014/063	war	1	w a r - -
014/065	war	1	w a r - -
014/067	warr	1	w a rr - -
014/109	warr	1	w a rr - -
014/159	NA	NA	- - - - - -
014/161	war	1	w a r - -
014/163	war	1	w a r - -
014/165	waar	1	w aa r - -
014/167	war	1	w a r - -
014/169	war	1	w a r - -
014/187	war	1	w a r - -
014/189	warr	1	w a rr - -
014/191	warr	1	w a rr - -
014/193	war	1	w a r - -
014/195	war	1	w a r - -
014/197	war	1	w a r - -
014/199	woahr	1	w oah r - -
014/201	war	1	w a r - -
014/203	war	1	w a r - -
014/205	NA	NA	- - - - - -
014/207	war	1	w a r - -
014/209	wahr	1	w ah r - -
014/211	war	1	w a r - -
014/213	war	1	w a r - -
014/215	wahr	1	w ah r - -
014/217	war	1	w a r - -
014/219	war	1	w a r - -
014/221	war	1	w a r - -
015/049	word	1	w o r - d
015/051	ward	1	w a r - d
015/053	ward	1	w a r - d
015/055	ward	1	w a r - d
015/057	warr	1	w a rr - -
015/059	war	1	w a r - -
015/061	warr	1	w a rr - -
015/063	war	1	w a r - -
015/065	war	1	w a r - -
015/067	warr	1	w a rr - -
015/105	war	1	w a r - -
015/107	war	1	w a r - -
015/109	war	1	w a r - -
015/151	war	1	w a r - -
015/153	war	1	w a r - -
015/155	warr	1	w a rr - -
015/157	war	1	w a r - -
015/159	war	1	w a r - -
015/161	war	1	w a r - -
015/163	warr	1	w a rr - -
015/165	war	1	w a r - -
015/167	war	1	w a r - -
015/169	war	1	w a r - -
015/173	wahr	1	w ah r - -
015/187	warr	1	w a rr - -
015/191	war	1	w a r - -
015/193	war	1	w a r - -
015/195	war	1	w a r - -
015/197	war	1	w a r - -
015/199	war	1	w a r - -
015/201	war	1	w a r - -
015/203	warr	1	w a rr - -
015/205	war	1	w a r - -
015/207	war	1	w a r - -
015/209	war	1	w a r - -
015/211	warr	1	w a rr - -
015/213	war	1	w a r - -
015/215	war	1	w a r - -
015/217	war	1	w a r - -
015/219	waar	1	w aa r - -
015/221	war	1	w a r - -
016/051	ward	1	w a r - d
016/055	war	1	w a r - -
016/057	war	1	w a r - -
016/059	warr	1	w a rr - -
016/061	war	1	w a r - -
016/063	warr	1	w a rr - -
016/065	war	1	w a r - -
016/067	war	1	w a r - -
016/081	war	1	w a r - -
016/083	war	1	w a r - -
016/105	war	1	w a r - -
016/107	war	1	w a r - -
016/109	wahr	1	w ah r - -
016/111	warr	1	w a rr - -
016/145	war	1	w a r - -
016/147	war	1	w a r - -
016/149	war	1	w a r - -
016/151	war	1	w a r - -
016/153	war	1	w a r - -
016/155	war	1	w a r - -
016/157	war	1	w a r - -
016/159	war	1	w a r - -
016/161	wahr	1	w ah r - -
016/163	war	1	w a r - -
016/165	war	1	w a r - -
016/167	NA	NA	- - - - - -
016/187	war	1	w a r - -
016/189	war	1	w a r - -
016/191	war	1	w a r - -
016/193	warr	1	w a rr - -
016/195	war	1	w a r - -
016/197	war	1	w a r - -
016/199	war	1	w a r - -
016/201	warr	1	w a rr - -
016/203	war	1	w a r - -
016/205	war	1	w a r - -
016/209	war	1	w a r - -
016/211	war	1	w a r - -
016/213	war	1	w a r - -
016/215	war	1	w a r - -
016/217	war	1	w a r - -
016/219	waar	1	w aa r - -
017/055	war	1	w a r - -
017/057	war	1	w a r - -
017/059	ward	1	w a r - d
017/061	warr	1	w a rr - -
017/063	war	1	w a r - -
017/065	war	1	w a r - -
017/067	war	1	w a r - -
017/069	war	1	w a r - -
017/081	war	1	w a r - -
017/083	war	1	w a r - -
017/099	war	1	w a r - -
017/101	ward	1	w a r - d
017/103	war	1	w a r - -
017/107	war	1	w a r - -
017/109	war	1	w a r - -
017/145	war	1	w a r - -
017/147	war	1	w a r - -
017/149	war	1	w a r - -
017/151	war	1	w a r - -
017/153	war	1	w a r - -
017/155	war	1	w a r - -
017/157	war	1	w a r - -
017/159	war	1	w a r - -
017/161	NA	NA	- - - - - -
017/163	wahr	1	w ah r - -
017/165	NA	NA	- - - - - -
017/169	war	1	w a r - -
017/171	war	1	w a r - -
017/183	war	1	w a r - -
017/185	war	1	w a r - -
017/187	war	1	w a r - -
017/189	warr	1	w a rr - -
017/191	war	1	w a r - -
017/193	warr	1	w a rr - -
017/195	war	1	w a r - -
017/197	war	1	w a r - -
017/199	war	1	w a r - -
017/201	warr	1	w a rr - -
017/203	war	1	w a r - -
017/205	war	1	w a r - -
017/207	war	1	w a r - -
017/209	war	1	w a r - -
017/211	war	1	w a r - -
017/213	war	1	w a r - -
017/215	war	1	w a r - -
017/217	war	1	w a r - -
017/219	war	1	w a r - -
018/051	war	1	w a r - -
018/053	warr	1	w a rr - -
018/055	war	1	w a r - -
018/057	war	1	w a r - -
018/059	war	1	w a r - -
018/061	warr	1	w a rr - -
018/063	war	1	w a r - -
018/065	war	1	w a r - -
018/067	warr	1	w a rr - -
018/069	war	1	w a r - -
018/071	ward	1	w a r - d
018/073	war	1	w a r - -
018/075	warr	1	w a rr - -
018/079	war	1	w a r - -
018/081	war	1	w a r - -
018/097	warr	1	w a rr - -
018/099	war	1	w a r - -
018/103	warr	1	w a rr - -
018/105	warr	1	w a rr - -
018/107	war	1	w a r - -
018/109	ward	1	w a r - d
018/111	war	1	w a r - -
018/143	war	1	w a r - -
018/145	war	1	w a r - -
018/147	NA	NA	- - - - - -
018/149	war	1	w a r - -
018/151	war	1	w a r - -
018/153	warr	1	w a rr - -
018/155	war	1	w a r - -
018/157	war	1	w a r - -
018/159	war	1	w a r - -
018/161	wahr	1	w ah r - -
018/163	war	1	w a r - -
018/165	war	1	w a r - -
018/169	war	1	w a r - -
018/171	war	1	w a r - -
018/173	wör	1	w ö r - -
018/181	waar	1	w aa r - -
018/185	war	1	w a r - -
018/187	war	1	w a r - -
018/189	warr	1	w a rr - -
018/191	woar	1	w oa r - -
018/193	warr	1	w a rr - -
018/195	warr	1	w a rr - -
018/197	war	1	w a r - -
018/199	war	1	w a r - -
018/201	war	1	w a r - -
018/203	war	1	w a r - -
018/205	war	1	w a r - -
018/207	war	1	w a r - -
018/209	war	1	w a r - -
018/211	war	1	w a r - -
018/213	waar	1	w aa r - -
018/215	war	1	w a r - -
018/219	war	1	w a r - -
019/051	war	1	w a r - -
019/053	warr	1	w a rr - -
019/055	war	1	w a r - -
019/057	war	1	w a r - -
019/059	war	1	w a r - -
019/061	ward	1	w a r - d
019/063	war	1	w a r - -
019/065	war	1	w a r - -
019/067	war	1	w a r - -
019/069	war	1	w a r - -
019/071	ward	1	w a r - d
019/073	war	1	w a r - -
019/075	warr	1	w a rr - -
019/077	war	1	w a r - -
019/079	warr	1	w a rr - -
019/081	warr	1	w a rr - -
019/097	NA	NA	- - - - - -
019/099	warr	1	w a rr - -
019/101	war	1	w a r - -
019/103	war	1	w a r - -
019/105	war	1	w a r - -
019/107	war	1	w a r - -
019/109	war	1	w a r - -
019/143	war	1	w a r - -
019/145	war	1	w a r - -
019/147	war	1	w a r - -
