locations	strings	cognateID	alignments
001/203	wedd	1	w e dd
002/201	wedd	1	w e dd
002/203	wedd	1	w e dd
002/205	wedd	1	w e dd
003/203	wedd	1	w e dd
003/205	wedd	1	w e dd
004/205	wedd	1	w e dd
005/205	wedd	1	w e dd
005/207	wedd	1	w e dd
006/205	wedd	1	w e dd
006/207	wedd	1	w e dd
007/205	wedd	1	w e dd
007/207	wedd	1	w e dd
007/209	wedd	1	w e dd
007/211	wedd	1	w e dd
008/199	wedd	1	w e dd
008/203	wedd	1	w e dd
008/205	wedd	1	w e dd
008/207	wett	1	w e tt
008/209	wedd	1	w e dd
008/211	wädd	1	w ä dd
008/213	wedd	1	w e dd
009/199	wedd	1	w e dd
009/203	wädd	1	w ä dd
009/207	wedd	1	w e dd
009/209	wedd	1	w e dd
009/211	wedd	1	w e dd
009/213	wedd	1	w e dd
009/215	wedd	1	w e dd
009/217	wett	1	w e tt
010/195	wedd	1	w e dd
010/203	wedd	1	w e dd
010/207	wedd	1	w e dd
010/209	wädd	1	w ä dd
010/211	wedd	1	w e dd
010/213	wett	1	w e tt
010/215	wedd	1	w e dd
010/217	wed	1	w e d
010/219	wett	1	w e tt
011/049	werr	1	w e rr
011/053	wo	1	w o -
011/055	wo	1	w o -
011/057	wo	1	w o -
011/059	wo	1	w o -
011/061	wo	1	w o -
011/063	woh	1	w oh -
011/065	woh	1	w oh -
011/067	wä	1	w ä -
011/069	wä	1	w ä -
011/187	wär	1	w ä r
011/189	wädd	1	w ä dd
011/191	wedd	1	w e dd
011/195	wedd	1	w e dd
011/197	wedd	1	w e dd
011/203	wedd	1	w e dd
011/205	wedd	1	w e dd
011/207	wedd	1	w e dd
011/209	wedd	1	w e dd
011/211	wedd	1	w e dd
011/213	weed	1	w ee d
011/215	wedd	1	w e dd
011/217	wedd	1	w e dd
011/219	wett	1	w e tt
012/047	wed	1	w e d
012/049	wedd	1	w e dd
012/051	wed	1	w e d
012/053	wä	1	w ä -
012/055	wä	1	w ä -
012/057	wä	1	w ä -
012/059	wo	1	w o -
012/061	wo	1	w o -
012/063	wo	1	w o -
012/065	wo	1	w o -
