locations	strings	cognateID	alignments
001/203	zwellf	1	z w e ll - f -
002/201	zwölf	1	z w ö l - f -
002/203	zwelf	1	z w e l - f -
002/205	twölf	1	t w ö l - f -
003/203	zwelf	1	z w e l - f -
003/205	zwellf	1	z w e ll - f -
004/205	twelf	1	t w e l - f -
005/205	zwälf	1	z w ä l - f -
005/207	zwelf	1	z w e l - f -
006/205	zwälf	1	z w ä l - f -
006/207	zwelf	1	z w e l - f -
007/205	zwälf	1	z w ä l - f -
007/207	zwälf	1	z w ä l - f -
007/209	twälf	1	t w ä l - f -
007/211	zwälf	1	z w ä l - f -
008/199	zwelf	1	z w e l - f -
008/203	twelf	1	t w e l - f -
008/205	zwelf	1	z w e l - f -
008/207	zwölf	1	z w ö l - f -
008/209	zwelf	1	z w e l - f -
008/211	zwälf	1	z w ä l - f -
008/213	zwelf	1	z w e l - f -
009/199	twälf	1	t w ä l - f -
009/203	twelf	1	t w e l - f -
009/207	zwelf	1	z w e l - f -
009/209	zwälf	1	z w ä l - f -
009/211	twälf	1	t w ä l - f -
009/213	zwelf	1	z w e l - f -
009/215	zwälf	1	z w ä l - f -
009/217	zwälf	1	z w ä l - f -
010/195	twelw	1	t w e l - w -
010/203	zwelf	1	z w e l - f -
010/207	twellw	1	t w e ll - w -
010/209	zwälf	1	z w ä l - f -
010/211	zwälf	1	z w ä l - f -
010/213	zwälf	1	z w ä l - f -
010/215	zwelf	1	z w e l - f -
010/217	zwelf	1	z w e l - f -
010/219	zwelf	1	z w e l - f -
011/049	tuellaf	1	t - ue ll a f -
011/053	tol	1	t - o l - - -
011/055	töl	1	t - ö l - - -
011/057	toll	1	t - o ll - - -
011/059	tölv	1	t - ö l - v -
011/061	tool	1	t - oo l - - -
011/063	tool	1	t - oo l - - -
011/065	tool	1	t - oo l - - -
011/067	toll	1	t - o ll - - -
011/069	tol	1	t - o l - - -
011/187	twelf	1	t w e l - f -
011/189	twelw	1	t w e l - w -
011/191	twellf	1	t w e ll - f -
011/195	twelf	1	t w e l - f -
011/197	twalf	1	t w a l - f -
011/203	twälf	1	t w ä l - f -
011/205	zwelf	1	z w e l - f -
011/207	zwelf	1	z w e l - f -
011/209	zwölf	1	z w ö l - f -
011/211	zwelf	1	z w e l - f -
011/213	zwelf	1	z w e l - f -
011/215	zwelf	1	z w e l - f -
011/217	twelf	1	t w e l - f -
011/219	zwälf	1	z w ä l - f -
012/047	twellaf	1	t w e ll a f -
012/049	twelf	1	t w e l - f -
012/051	twilw	1	t w i l - w -
012/053	töl	1	t - ö l - - -
012/055	tol	1	t - o l - - -
012/057	tol	1	t - o l - - -
012/059	tol	1	t - o l - - -
012/061	tolv	1	t - o l - v -
012/063	tol	1	t - o l - - -
012/065	tol	1	t - o l - - -
012/067	tol	1	t - o l - - -
012/069	tol	1	t - o l - - -
012/187	twälw	1	t w ä l - w -
012/189	twelf	1	t w e l - f -
012/191	twälf	1	t w ä l - f -
012/193	twelf	1	t w e l - f -
012/195	twelf	1	t w e l - f -
012/197	twelf	1	t w e l - f -
012/199	twelf	1	t w e l - f -
012/201	twelf	1	t w e l - f -
012/203	twelf	1	t w e l - f -
012/205	NA	NA	- - - - - - -
012/207	twelf	1	t w e l - f -
012/209	zwälf	1	z w ä l - f -
012/211	zwälf	1	z w ä l - f -
012/213	zwälf	1	z w ä l - f -
012/215	zwelf	1	z w e l - f -
012/217	zwälf	1	z w ä l - f -
012/219	zwelf	1	z w e l - f -
012/221	zwellf	1	z w e ll - f -
012/223	zwelf	1	z w e l - f -
013/051	twilv	1	t w i l - v -
013/053	twelw	1	t w e l - w -
013/055	twelw	1	t w e l - w -
013/057	tolv	1	t - o l - v -
013/059	taal	1	t - aa l - - -
013/061	twölf	1	t w ö l - f -
013/063	twelf	1	t w e l - f -
013/065	twölf	1	t w ö l - f -
013/067	twölf	1	t w ö l - f -
013/161	twolw	1	t w o l - w -
013/163	twelw	1	t w e l - w -
013/165	twölw	1	t w ö l - w -
013/167	twelw	1	t w e l - w -
013/187	twälf	1	t w ä l - f -
013/189	twelf	1	t w e l - f -
013/191	twellf	1	t w e ll - f -
013/193	twelf	1	t w e l - f -
013/195	twälf	1	t w ä l - f -
013/197	twelf	1	t w e l - f -
013/199	twelf	1	t w e l - f -
013/201	twelf	1	t w e l - f -
013/203	twelf	1	t w e l - f -
013/207	zwaelf	1	z w ae l - f -
