	WORD	COGID	ALIGN
1	83	1	b - - r o - d
2	83	1	b - - r o - d
3	111	1	b - - r o - t
4	83	1	b - - r o - d
5	111	1	b - - r o - t
6	83	1	b - - r o - d
7	83	1	b - - r o - d
8	83	1	b - - r o - d
9	111	1	b - - r o - t
10	83	1	b - - r o - d
11	111	1	b - - r o - t
12	111	1	b - - r o - t
13	111	1	b - - r o - t
14	111	1	b - - r o - t
15	111	1	b - - r o - t
16	111	1	b - - r o - t
17	111	1	b - - r o - t
18	111	1	b - - r o - t
19	111	1	b - - r o - t
20	111	1	b - - r o - t
21	111	1	b - - r o - t
22	106	1	b - - r oo - t
23	83	1	b - - r o - d
24	83	1	b - - r o - d
25	83	1	b - - r o - d
26	111	1	b - - r o - t
27	83	1	b - - r o - d
28	111	1	b - - r o - t
29	111	1	b - - r o - t
30	111	1	b - - r o - t
31	111	1	b - - r o - t
32	111	1	b - - r o - t
33	111	1	b - - r o - t
34	83	1	b - - r o - d
35	111	1	b - - r o - t
36	111	1	b - - r o - t
37	106	1	b - - r oo - t
38	111	1	b - - r o - t
39	111	1	b - - r o - t
40	127	1	b - - r ua - -
41	84	1	b - - r ö - d
42	70	1	b - - r ö - -
43	86	1	b - - r öe - -
44	84	1	b - - r ö - d
45	70	1	b - - r ö - -
46	84	1	b - - r ö - d
47	92	1	b - - r öh - -
48	70	1	b - - r ö - -
49	86	1	b - - r öe - -
50	83	1	b - - r o - d
51	111	1	b - - r o - t
52	111	1	b - - r o - t
53	111	1	b - - r o - t
54	83	1	b - - r o - d
55	83	1	b - - r o - d
56	111	1	b - - r o - t
57	111	1	b - - r o - t
58	100	1	b - - r oo - d
59	83	1	b - - r o - d
60	111	1	b - - r o - t
61	83	1	b - - r o - d
62	111	1	b - - r o - t
63	83	1	b - - r o - d
64	128	1	b - - r ua - d
65	128	1	b - - r ua - d
66	151	1	b - - r ui - t
67	70	1	b - - r ö - -
68	70	1	b - - r ö - -
69	70	1	b - - r ö - -
70	84	1	b - - r ö - d
71	84	1	b - - r ö - d
72	70	1	b - - r ö - -
73	84	1	b - - r ö - d
74	84	1	b - - r ö - d
75	70	1	b - - r ö - -
76	83	1	b - - r o - d
77	111	1	b - - r o - t
78	83	1	b - - r o - d
79	83	1	b - - r o - d
80	111	1	b - - r o - t
81	85	1	b - - r o - dt
82	83	1	b - - r o - d
83	111	1	b - - r o - t
84	111	1	b - - r o - t
85	83	1	b - - r o - d
86	111	1	b - - r o - t
87	111	1	b - - r o - t
88	111	1	b - - r o - t
89	111	1	b - - r o - t
90	111	1	b - - r o - t
91	111	1	b - - r o - t
92	83	1	b - - r o - d
93	83	1	b - - r o - d
94	111	1	b - - r o - t
95	150	1	b - - r ui - d
96	164	1	b - - r üü - d
97	138	1	b - - r ü - d
98	84	1	b - - r ö - d
99	84	1	b - - r ö - d
100	83	1	b - - r o - d
101	83	1	b - - r o - d
102	83	1	b - - r o - d
103	83	1	b - - r o - d
104	111	1	b - - r o - t
105	111	1	b - - r o - t
106	95	1	b - - r oi - d
107	111	1	b - - r o - t
108	83	1	b - - r o - d
109	111	1	b - - r o - t
110	83	1	b - - r o - d
111	111	1	b - - r o - t
112	83	1	b - - r o - d
113	83	1	b - - r o - d
114	111	1	b - - r o - t
115	111	1	b - - r o - t
116	111	1	b - - r o - t
117	83	1	b - - r o - d
118	83	1	b - - r o - d
119	83	1	b - - r o - d
120	111	1	b - - r o - t
121	83	1	b - - r o - d
122	111	1	b - - r o - t
123	111	1	b - - r o - t
124	83	1	b - - r o - d
125	111	1	b - - r o - t
126	128	1	b - - r ua - d
127	128	1	b - - r ua - d
128	128	1	b - - r ua - d
129	137	1	b - - r u - d
130	137	1	b - - r u - d
131	138	1	b - - r ü - d
132	111	1	b - - r o - t
133	111	1	b - - r o - t
134	111	1	b - - r o - t
135	83	1	b - - r o - d
136	83	1	b - - r o - d
137	111	1	b - - r o - t
138	83	1	b - - r o - d
139	111	1	b - - r o - t
140	111	1	b - - r o - t
141	100	1	b - - r oo - d
142	111	1	b - - r o - t
143	83	1	b - - r o - d
144	83	1	b - - r o - d
145	83	1	b - - r o - d
146	111	1	b - - r o - t
147	106	1	b - - r oo - t
148	111	1	b - - r o - t
149	111	1	b - - r o - t
150	83	1	b - - r o - d
151	83	1	b - - r o - d
152	111	1	b - - r o - t
153	83	1	b - - r o - d
154	83	1	b - - r o - d
155	83	1	b - - r o - d
156	111	1	b - - r o - t
157	83	1	b - - r o - d
158	111	1	b - - r o - t
159	83	1	b - - r o - d
160	111	1	b - - r o - t
161	83	1	b - - r o - d
162	128	1	b - - r ua - d
163	128	1	b - - r ua - d
164	128	1	b - - r ua - d
165	150	1	b - - r ui - d
166	137	1	b - - r u - d
167	83	1	b - - r o - d
168	83	1	b - - r o - d
