	WORD	COGID	ALIGN
1	64	1	f l ee sch
2	64	1	f l ee sch
3	94	1	f l e sch
4	135	1	f l öö sch
5	94	1	f l e sch
6	64	1	f l ee sch
7	137	1	f l ö sch
8	64	1	f l ee sch
9	94	1	f l e sch
10	64	1	f l ee sch
11	94	1	f l e sch
12	64	1	f l ee sch
13	64	1	f l ee sch
14	137	1	f l ö sch
15	137	1	f l ö sch
16	64	1	f l ee sch
17	137	1	f l ö sch
18	94	1	f l e sch
19	94	1	f l e sch
20	94	1	f l e sch
21	64	1	f l ee sch
22	94	1	f l e sch
23	64	1	f l ee sch
24	64	1	f l ee sch
25	94	1	f l e sch
26	64	1	f l ee sch
27	64	1	f l ee sch
28	64	1	f l ee sch
29	94	1	f l e sch
30	64	1	f l ee sch
31	94	1	f l e sch
32	94	1	f l e sch
33	64	1	f l ee sch
34	137	1	f l ö sch
35	94	1	f l e sch
36	64	1	f l ee sch
37	64	1	f l ee sch
38	64	1	f l ee sch
39	64	1	f l ee sch
40	152	3	m eh t
41	149	2	kj o r
42	149	2	kj o r
43	147	2	kj o d
44	147	2	kj o d
45	148	2	kj ö d
46	146	2	kj ö
47	149	2	kj o r
48	147	2	kj o d
49	147	2	kj o d
50	94	1	f l e sch
51	64	1	f l ee sch
52	94	1	f l e sch
53	94	1	f l e sch
54	64	1	f l ee sch
55	94	1	f l e sch
56	137	1	f l ö sch
57	64	1	f l ee sch
58	64	1	f l ee sch
59	64	1	f l ee sch
60	64	1	f l ee sch
61	64	1	f l ee sch
62	137	1	f l ö sch
63	94	1	f l e sch
64	151	3	m ee t
65	151	3	m ee t
66	44	1	f l a r s k
67	150	2	kj ö r
68	145	2	kj o
69	149	2	kj o r
70	147	2	kj o d
71	147	2	kj o d
72	145	2	kj o
73	147	2	kj o d
74	144	2	kj i d
75	146	2	kj ö
76	137	1	f l ö sch
77	94	1	f l e sch
78	137	1	f l ö sch
79	94	1	f l e sch
80	64	1	f l ee sch
81	94	1	f l e sch
82	137	1	f l ö sch
83	94	1	f l e sch
84	94	1	f l e sch
85	137	1	f l ö sch
86	64	1	f l ee sch
87	64	1	f l ee sch
88	94	1	f l e sch
89	64	1	f l ee sch
90	94	1	f l e sch
91	94	1	f l e sch
92	137	1	f l ö sch
93	64	1	f l ee sch
94	94	1	f l e sch
95	24	1	f l ah s k
96	13	1	f l aa sh
97	9	1	f l aa sch
98	149	2	kj o r
99	146	2	kj ö
100	64	1	f l ee sch
101	64	1	f l ee sch
102	64	1	f l ee sch
103	64	1	f l ee sch
104	79	1	f l ei sch
105	79	1	f l ei sch
106	79	1	f l ei sch
107	94	1	f l e sch
108	94	1	f l e sch
109	64	1	f l ee sch
110	94	1	f l e sch
111	94	1	f l e sch
112	64	1	f l ee sch
113	64	1	f l ee sch
