locations	strings	cognateID	alignments
001/203	brenn	1	- b r e - - - nn -
002/201	bran	1	- b r a - - - n -
002/203	brann	1	- b r a - - - nn -
002/205	brenn	1	- b r e - - - nn -
003/203	brenn	1	- b r e - - - nn -
003/205	brenn	1	- b r e - - - nn -
004/205	brenn	1	- b r e - - - nn -
005/205	brenn	1	- b r e - - - nn -
005/207	brenn	1	- b r e - - - nn -
006/205	brenn	1	- b r e - - - nn -
006/207	brenn	1	- b r e - - - nn -
007/205	brenn	1	- b r e - - - nn -
007/207	brenn	1	- b r e - - - nn -
007/209	bren	1	- b r e - - - n -
007/211	brenn	1	- b r e - - - nn -
008/199	brenn	1	- b r e - - - nn -
008/203	brenn	1	- b r e - - - nn -
008/205	brenn	1	- b r e - - - nn -
008/207	brenn	1	- b r e - - - nn -
008/209	brenn	1	- b r e - - - nn -
008/211	brenn	1	- b r e - - - nn -
008/213	NA	NA	-
009/199	brenn	1	- b r e - - - nn -
009/203	brenn	1	- b r e - - - nn -
009/207	brenn	1	- b r e - - - nn -
009/209	brenn	1	- b r e - - - nn -
009/211	brenn	1	- b r e - - - nn -
009/213	brenn	1	- b r e - - - nn -
009/215	brenn	1	- b r e - - - nn -
009/217	brenn	1	- b r e - - - nn -
010/195	brenn	1	- b r e - - - nn -
010/203	brenn	1	- b r e - - - nn -
010/207	brenn	1	- b r e - - - nn -
010/209	brenn	1	- b r e - - - nn -
010/211	bränn	1	- b r ä - - - nn -
010/213	brenn	1	- b r e - - - nn -
010/215	brenn	1	- b r e - - - nn -
010/217	brenn	1	- b r e - - - nn -
010/219	brenn	1	- b r e - - - nn -
011/049	bron	1	- b r o - - - n -
011/053	NA	NA	-
011/055	NA	NA	-
011/057	bron	1	- b r o - - - n -
011/059	brän	1	- b r ä - - - n -
011/061	bron	1	- b r o - - - n -
011/063	NA	NA	-
011/065	NA	NA	-
011/067	brän	1	- b r ä - - - n -
011/069	brön	1	- b r ö - - - n -
011/187	brenn	1	- b r e - - - nn -
011/189	brenn	1	- b r e - - - nn -
011/191	brenn	1	- b r e - - - nn -
011/195	brenn	1	- b r e - - - nn -
011/197	brenn	1	- b r e - - - nn -
011/203	brenn	1	- b r e - - - nn -
011/205	brenn	1	- b r e - - - nn -
011/207	brenn	1	- b r e - - - nn -
011/209	brenn	1	- b r e - - - nn -
011/211	brenn	1	- b r e - - - nn -
011/213	brenn	1	- b r e - - - nn -
011/215	brenn	1	- b r e - - - nn -
011/217	brenn	1	- b r e - - - nn -
011/219	brenn	1	- b r e - - - nn -
012/047	bronn	1	- b r o - - - nn -
012/049	bronn	1	- b r o - - - nn -
012/051	bran	1	- b r a - - - n -
012/053	brän	1	- b r ä - - - n -
012/055	bräin	1	- b r äi - - - n -
012/057	bran	1	- b r a - - - n -
012/059	broen	1	- b r oe - - - n -
012/061	bronn	1	- b r o - - - nn -
012/063	broen	1	- b r oe - - - n -
012/065	bron	1	- b r o - - - n -
012/067	bron	1	- b r o - - - n -
012/069	brän	1	- b r ä - - - n -
012/187	brenn	1	- b r e - - - nn -
012/189	brenn	1	- b r e - - - nn -
012/191	brenn	1	- b r e - - - nn -
012/193	brenn	1	- b r e - - - nn -
012/195	brenn	1	- b r e - - - nn -
012/197	brenn	1	- b r e - - - nn -
012/199	brenn	1	- b r e - - - nn -
012/201	brenn	1	- b r e - - - nn -
012/203	brenn	1	- b r e - - - nn -
012/205	brenn	1	- b r e - - - nn -
012/207	brenn	1	- b r e - - - nn -
012/209	brenn	1	- b r e - - - nn -
012/211	brenn	1	- b r e - - - nn -
012/213	brenn	1	- b r e - - - nn -
012/215	brenn	1	- b r e - - - nn -
012/217	brenn	1	- b r e - - - nn -
012/219	brenn	1	- b r e - - - nn -
012/221	brenn	1	- b r e - - - nn -
012/223	brenn	1	- b r e - - - nn -
013/051	brahn	1	- b r ah - - - n -
013/053	braan	1	- b r aa - - - n -
013/055	NA	NA	-
013/057	brön	1	- b r ö - - - n -
013/059	brenn	1	- b r e - - - nn -
013/061	brenn	1	- b r e - - - nn -
013/063	brenn	1	- b r e - - - nn -
013/065	brenn	1	- b r e - - - nn -
013/067	brenn	1	- b r e - - - nn -
013/161	brenn	1	- b r e - - - nn -
013/163	brenn	1	- b r e - - - nn -
013/165	bren	1	- b r e - - - n -
013/167	brenn	1	- b r e - - - nn -
013/187	brenn	1	- b r e - - - nn -
013/189	brenn	1	- b r e - - - nn -
013/191	brann	1	- b r a - - - nn -
013/193	brenn	1	- b r e - - - nn -
013/195	brenn	1	- b r e - - - nn -
013/197	brenn	1	- b r e - - - nn -
013/199	brenn	1	- b r e - - - nn -
013/201	brenn	1	- b r e - - - nn -
013/203	brenn	1	- b r e - - - nn -
013/207	brenn	1	- b r e - - - nn -
013/209	brenn	1	- b r e - - - nn -
013/211	brenn	1	- b r e - - - nn -
013/213	brenn	1	- b r e - - - nn -
013/215	brenn	1	- b r e - - - nn -
013/217	brenn	1	- b r e - - - nn -
013/219	brenn	1	- b r e - - - nn -
013/221	brenn	1	- b r e - - - nn -
013/223	brenn	1	- b r e - - - nn -
014/047	bran	1	- b r a - - - n -
014/049	braan	1	- b r aa - - - n -
014/051	braan	1	- b r aa - - - n -
014/053	burn	1	- b - u r - - n -
014/055	barn	1	- b - a r - - n -
014/057	born	1	- b - o r - - n -
014/059	brenn	1	- b r e - - - nn -
014/061	brenn	1	- b r e - - - nn -
014/063	brenn	1	- b r e - - - nn -
014/065	brenn	1	- b r e - - - nn -
014/067	brenn	1	- b r e - - - nn -
014/109	brenn	1	- b r e - - - nn -
014/159	brenn	1	- b r e - - - nn -
