locations	strings	cognateID	alignments
001/203	brak	1	b r a k - -
002/201	brook	1	b r oo k - -
002/203	brok	1	b r o k - -
002/205	brook	1	b r oo k - -
003/203	brok	1	b r o k - -
003/205	braak	1	b r aa k - -
004/205	brok	1	b r o k - -
005/205	broak	1	b r oa k - -
005/207	brak	1	b r a k - -
006/205	brahk	1	b r ah k - -
006/207	broak	1	b r oa k - -
007/205	broak	1	b r oa k - -
007/207	brak	1	b r a k - -
007/209	braak	1	b r aa k - -
007/211	brak	1	b r a k - -
008/199	broak	1	b r oa k - -
008/203	brak	1	b r a k - -
008/205	brak	1	b r a k - -
008/207	brock	1	b r o ck - -
008/209	brak	1	b r a k - -
008/211	brak	1	b r a k - -
008/213	bruk	1	b r u k - -
009/199	brook	1	b r oo k - -
009/203	brak	1	b r a k - -
009/207	broak	1	b r oa k - -
009/209	brak	1	b r a k - -
009/211	brak	1	b r a k - -
009/213	broak	1	b r oa k - -
009/215	brak	1	b r a k - -
009/217	brock	1	b r o ck - -
010/195	brok	1	b r o k - -
010/203	brack	1	b r a ck - -
010/207	broak	1	b r oa k - -
010/209	braak	1	b r aa k - -
010/211	braak	1	b r aa k - -
010/213	brak	1	b r a k - -
010/215	brak	1	b r a k - -
010/217	brok	1	b r o k - -
010/219	broak	1	b r oa k - -
011/049	breg	1	b r e g - -
011/053	brokk	1	b r o kk - -
011/055	brokk	1	b r o kk - -
011/057	follen	2	- f o ll e n
011/059	follen	2	- f o ll e n
011/061	brokk	1	b r o kk - -
011/063	brosten	1	b r o st e n
011/065	brosten	1	b r o st e n
011/067	bräkk	1	b r ä kk - -
011/069	brokk	1	b r o kk - -
011/187	brok	1	b r o k - -
011/189	brok	1	b r o k - -
011/191	broak	1	b r oa k - -
011/195	brok	1	b r o k - -
011/197	broak	1	b r oa k - -
011/203	brak	1	b r a k - -
011/205	brak	1	b r a k - -
011/207	broak	1	b r oa k - -
011/209	braak	1	b r aa k - -
011/211	brok	1	b r o k - -
011/213	brok	1	b r o k - -
011/215	broak	1	b r oa k - -
011/217	brak	1	b r a k - -
011/219	brak	1	b r a k - -
012/047	brek	1	b r e k - -
012/049	breek	1	b r ee k - -
012/051	breg	1	b r e g - -
012/053	brödt	1	b r ö dt - -
012/055	brödt	1	b r ö dt - -
012/057	brödt	1	b r ö dt - -
012/059	brosten	1	b r o st e n
012/061	brogg	1	b r o gg - -
012/063	brosten	1	b r o st e n
012/065	brosten	1	b r o st e n
012/067	brusten	1	b r u st e n
012/069	brostan	1	b r o st a n
012/187	brok	1	b r o k - -
012/189	brok	1	b r o k - -
012/191	broak	1	b r oa k - -
012/193	brok	1	b r o k - -
012/195	broak	1	b r oa k - -
012/197	brak	1	b r a k - -
012/199	broak	1	b r oa k - -
012/201	brak	1	b r a k - -
012/203	broak	1	b r oa k - -
012/205	brok	1	b r o k - -
012/207	brak	1	b r a k - -
012/209	broak	1	b r oa k - -
012/211	broak	1	b r oa k - -
012/213	broak	1	b r oa k - -
012/215	braak	1	b r aa k - -
012/217	broak	1	b r oa k - -
012/219	brohk	1	b r oh k - -
012/221	brok	1	b r o k - -
012/223	broak	1	b r oa k - -
013/051	breg	1	b r e g - -
013/053	breg	1	b r e g - -
013/055	bräg	1	b r ä g - -
013/057	brot	1	b r o t - -
013/059	brör	1	b r ö r - -
013/061	braak	1	b r aa k - -
013/063	braak	1	b r aa k - -
013/065	braak	1	b r aa k - -
013/067	brak	1	b r a k - -
013/161	braok	1	b r ao k - -
013/163	brok	1	b r o k - -
013/165	brok	1	b r o k - -
013/167	brok	1	b r o k - -
013/187	broak	1	b r oa k - -
013/189	brok	1	b r o k - -
013/191	brok	1	b r o k - -
013/193	brock	1	b r o ck - -
013/195	brak	1	b r a k - -
013/197	broak	1	b r oa k - -
013/199	broak	1	b r oa k - -
013/201	braok	1	b r ao k - -
013/203	brok	1	b r o k - -
013/207	brok	1	b r o k - -
013/209	broak	1	b r oa k - -
013/211	broak	1	b r oa k - -
013/213	broak	1	b r oa k - -
013/215	brock	1	b r o ck - -
013/217	broak	1	b r oa k - -
013/219	broak	1	b r oa k - -
013/221	brak	1	b r a k - -
013/223	braak	1	b r aa k - -
014/047	breg	1	b r e g - -
014/049	breg	1	b r e g - -
014/051	bräg	1	b r ä g - -
014/053	bräg	1	b r ä g - -
014/055	bräg	1	b r ä g - -
014/057	bräg	1	b r ä g - -
014/059	brak	1	b r a k - -
014/061	braak	1	b r aa k - -
014/063	brak	1	b r a k - -
014/065	brak	1	b r a k - -
014/067	braak	1	b r aa k - -
014/109	brak	1	b r a k - -
014/159	braok	1	b r ao k - -
014/161	broak	1	b r oa k - -
014/163	brok	1	b r o k - -
014/165	broak	1	b r oa k - -
014/167	brook	1	b r oo k - -
014/169	brok	1	b r o k - -
014/187	brak	1	b r a k - -
014/189	broahk	1	b r oah k - -
014/191	broak	1	b r oa k - -
014/193	brok	1	b r o k - -
014/195	brok	1	b r o k - -
014/197	broak	1	b r oa k - -
014/199	broahk	1	b r oah k - -
014/201	broak	1	b r oa k - -
014/203	brak	1	b r a k - -
014/205	brak	1	b r a k - -
014/207	brak	1	b r a k - -
014/209	broak	1	b r oa k - -
014/211	broak	1	b r oa k - -
014/213	brak	1	b r a k - -
014/215	broak	1	b r oa k - -
014/217	broak	1	b r oa k - -
014/219	braok	1	b r ao k - -
014/221	broak	1	b r oa k - -
015/049	bräg	1	b r ä g - -
015/051	breg	1	b r e g - -
015/053	bräg	1	b r ä g - -
015/055	breg	1	b r e g - -
015/057	bragg	1	b r a gg - -
015/059	braak	1	b r aa k - -
015/061	brack	1	b r a ck - -
015/063	brak	1	b r a k - -
015/065	brok	1	b r o k - -
015/067	braak	1	b r aa k - -
015/105	braok	1	b r ao k - -
015/107	brak	1	b r a k - -
015/109	brak	1	b r a k - -
015/151	broak	1	b r oa k - -
015/153	broack	1	b r oa ck - -
015/155	brak	1	b r a k - -
015/157	brok	1	b r o k - -
015/159	brok	1	b r o k - -
015/161	brok	1	b r o k - -
015/163	brak	1	b r a k - -
015/165	brok	1	b r o k - -
015/167	brock	1	b r o ck - -
015/169	brock	1	b r o ck - -
015/173	brok	1	b r o k - -
015/187	brak	1	b r a k - -
015/191	broak	1	b r oa k - -
015/193	broak	1	b r oa k - -
015/195	brokk	1	b r o kk - -
015/197	braak	1	b r aa k - -
015/199	broak	1	b r oa k - -
015/201	brok	1	b r o k - -
015/203	brok	1	b r o k - -
015/205	brok	1	b r o k - -
015/207	broak	1	b r oa k - -
015/209	broak	1	b r oa k - -
015/211	broak	1	b r oa k - -
015/213	brak	1	b r a k - -
015/215	broak	1	b r oa k - -
015/217	broak	1	b r oa k - -
015/219	broak	1	b r oa k - -
015/221	broak	1	b r oa k - -
016/051	bräg	1	b r ä g - -
016/055	bräg	1	b r ä g - -
016/057	braak	1	b r aa k - -
016/059	brak	1	b r a k - -
016/061	brak	1	b r a k - -
016/063	braack	1	b r aa ck - -
016/065	brak	1	b r a k - -
016/067	braak	1	b r aa k - -
016/081	brak	1	b r a k - -
016/083	braak	1	b r aa k - -
016/105	broak	1	b r oa k - -
016/107	brak	1	b r a k - -
016/109	brak	1	b r a k - -
016/111	brak	1	b r a k - -
016/145	broak	1	b r oa k - -
016/147	braok	1	b r ao k - -
016/149	broak	1	b r oa k - -
016/151	brook	1	b r oo k - -
016/153	brak	1	b r a k - -
016/155	brok	1	b r o k - -
016/157	braok	1	b r ao k - -
016/159	braok	1	b r ao k - -
016/161	braok	1	b r ao k - -
016/163	broak	1	b r oa k - -
016/165	brok	1	b r o k - -
016/167	braak	1	b r aa k - -
016/187	brak	1	b r a k - -
016/189	broak	1	b r oa k - -
016/191	broak	1	b r oa k - -
016/193	broak	1	b r oa k - -
016/195	broak	1	b r oa k - -
016/197	broak	1	b r oa k - -
016/199	brak	1	b r a k - -
016/201	broak	1	b r oa k - -
016/203	brok	1	b r o k - -
016/205	broak	1	b r oa k - -
016/209	braok	1	b r ao k - -
016/211	broak	1	b r oa k - -
016/213	broak	1	b r oa k - -
016/215	broak	1	b r oa k - -
016/217	brook	1	b r oo k - -
016/219	broak	1	b r oa k - -
017/055	brak	1	b r a k - -
017/057	brak	1	b r a k - -
017/059	brok	1	b r o k - -
017/061	brak	1	b r a k - -
017/063	brak	1	b r a k - -
017/065	brak	1	b r a k - -
017/067	brak	1	b r a k - -
017/069	brak	1	b r a k - -
017/081	brak	1	b r a k - -
017/083	brak	1	b r a k - -
017/099	brak	1	b r a k - -
017/101	brack	1	b r a ck - -
017/103	brack	1	b r a ck - -
017/107	brak	1	b r a k - -
017/109	brok	1	b r o k - -
017/145	brock	1	b r o ck - -
017/147	braok	1	b r ao k - -
017/149	brock	1	b r o ck - -
017/151	brok	1	b r o k - -
017/153	brok	1	b r o k - -
017/155	broak	1	b r oa k - -
017/157	broak	1	b r oa k - -
017/159	brok	1	b r o k - -
017/161	brak	1	b r a k - -
017/163	brok	1	b r o k - -
017/165	brok	1	b r o k - -
017/169	brok	1	b r o k - -
017/171	brok	1	b r o k - -
017/183	brok	1	b r o k - -
017/185	brok	1	b r o k - -
017/187	broak	1	b r oa k - -
017/189	brok	1	b r o k - -
017/191	brok	1	b r o k - -
017/193	brok	1	b r o k - -
017/195	broak	1	b r oa k - -
017/197	broak	1	b r oa k - -
017/199	brok	1	b r o k - -
017/201	brok	1	b r o k - -
017/203	brohk	1	b r oh k - -
017/205	broak	1	b r oa k - -
017/207	brok	1	b r o k - -
017/209	brok	1	b r o k - -
017/211	broak	1	b r oa k - -
017/213	broak	1	b r oa k - -
017/215	brok	1	b r o k - -
017/217	brak	1	b r a k - -
017/219	brak	1	b r a k - -
018/051	brak	1	b r a k - -
018/053	braak	1	b r aa k - -
018/055	brak	1	b r a k - -
018/057	brok	1	b r o k - -
018/059	brak	1	b r a k - -
018/061	brak	1	b r a k - -
018/063	braak	1	b r aa k - -
018/065	brak	1	b r a k - -
018/067	braok	1	b r ao k - -
018/069	brok	1	b r o k - -
018/071	brok	1	b r o k - -
018/073	brak	1	b r a k - -
018/075	braak	1	b r aa k - -
018/079	brak	1	b r a k - -
018/081	brak	1	b r a k - -
018/097	brak	1	b r a k - -
018/099	brak	1	b r a k - -
018/103	brak	1	b r a k - -
018/105	brak	1	b r a k - -
018/107	brak	1	b r a k - -
018/109	brak	1	b r a k - -
018/111	brak	1	b r a k - -
018/143	brack	1	b r a ck - -
018/145	brock	1	b r o ck - -
018/147	broak	1	b r oa k - -
018/149	brock	1	b r o ck - -
018/151	brok	1	b r o k - -
018/153	brak	1	b r a k - -
018/155	brok	1	b r o k - -
018/157	broak	1	b r oa k - -
018/159	brok	1	b r o k - -
018/161	broak	1	b r oa k - -
018/163	brok	1	b r o k - -
018/165	brok	1	b r o k - -
018/169	brok	1	b r o k - -
018/171	brok	1	b r o k - -
018/173	brok	1	b r o k - -
018/181	bräk	1	b r ä k - -
018/185	brok	1	b r o k - -
018/187	brok	1	b r o k - -
018/189	brok	1	b r o k - -
018/191	broak	1	b r oa k - -
018/193	brak	1	b r a k - -
018/195	brok	1	b r o k - -
018/197	brok	1	b r o k - -
018/199	brak	1	b r a k - -
018/201	brak	1	b r a k - -
018/203	brok	1	b r o k - -
018/205	brok	1	b r o k - -
018/207	brok	1	b r o k - -
018/209	brok	1	b r o k - -
018/211	brak	1	b r a k - -
018/213	broak	1	b r oa k - -
018/215	braok	1	b r ao k - -
