locations	strings	cognateID	alignments
001/203	fund	1	- f u n d
002/201	fund	1	- f u n d
002/203	fund	1	- f u n d
002/205	fund	1	- f u n d
003/203	fund	1	- f u n d
003/205	fund	1	- f u n d
004/205	fund	1	- f u n d
005/205	fund	1	- f u n d
005/207	fund	1	- f u n d
006/205	fund	1	- f u n d
006/207	fund	1	- f u n d
007/205	fund	1	- f u n d
007/207	fund	1	- f u n d
007/209	fung	1	- f u ng -
007/211	fung	1	- f u ng -
008/199	fund	1	- f u n d
008/203	fund	1	- f u n d
008/205	fund	1	- f u n d
008/207	fund	1	- f u n d
008/209	fung	1	- f u ng -
008/211	fund	1	- f u n d
008/213	fund	1	- f u n d
009/199	fund	1	- f u n d
009/203	fund	1	- f u n d
009/207	fund	1	- f u n d
009/209	fund	1	- f u n d
009/211	fund	1	- f u n d
009/213	fund	1	- f u n d
009/215	fund	1	- f u n d
009/217	fund	1	- f u n d
010/195	fund	1	- f u n d
010/203	fund	1	- f u n d
010/207	fung	1	- f u ng -
010/209	fung	1	- f u ng -
010/211	fund	1	- f u n d
010/213	fund	1	- f u n d
010/215	fund	1	- f u n d
010/217	fund	1	- f u n d
010/219	fund	1	- f u n d
011/049	fünn	1	- f ü nn -
011/053	funn	1	- f u nn -
011/055	fonn	1	- f o nn -
011/057	funn	1	- f u nn -
011/059	funn	1	- f u nn -
011/061	fund	1	- f u n d
011/063	fund	1	- f u n d
011/065	fonn	1	- f o nn -
011/067	fonn	1	- f o nn -
011/069	fund	1	- f u n d
011/187	fund	1	- f u n d
011/189	fund	1	- f u n d
011/191	fund	1	- f u n d
011/195	fund	1	- f u n d
011/197	fund	1	- f u n d
011/203	fund	1	- f u n d
011/205	fund	1	- f u n d
011/207	fund	1	- f u n d
011/209	fund	1	- f u n d
011/211	fund	1	- f u n d
011/213	fund	1	- f u n d
011/215	fund	1	- f u n d
011/217	fund	1	- f u n d
011/219	fund	1	- f u n d
012/047	fünd	1	- f ü n d
012/049	fünd	1	- f ü n d
012/051	fönn	1	- f ö nn -
012/053	funj	1	- f u nj -
012/055	fund	1	- f u n d
012/057	fonn	1	- f o nn -
012/059	funn	1	- f u nn -
012/061	fonn	1	- f o nn -
012/063	fonn	1	- f o nn -
012/065	fund	1	- f u n d
012/067	fun	1	- f u n -
012/069	fond	1	- f o n d
012/187	fung	1	- f u ng -
012/189	fung	1	- f u ng -
012/191	fund	1	- f u n d
012/193	fung	1	- f u ng -
012/195	fund	1	- f u n d
012/197	fund	1	- f u n d
012/199	fung	1	- f u ng -
012/201	fund	1	- f u n d
012/203	fund	1	- f u n d
012/205	fung	1	- f u ng -
012/207	fung	1	- f u ng -
012/209	fund	1	- f u n d
012/211	fund	1	- f u n d
012/213	fund	1	- f u n d
012/215	fund	1	- f u n d
012/217	fund	1	- f u n d
012/219	fund	1	- f u n d
012/221	fund	1	- f u n d
012/223	fund	1	- f u n d
013/051	fünn	1	- f ü nn -
013/053	fünn	1	- f ü nn -
013/055	fünn	1	- f ü nn -
013/057	funn	1	- f u nn -
013/059	NA	NA	- - - - - - -
013/061	fonn	1	- f o nn -
013/063	funn	1	- f u nn -
013/065	funn	1	- f u nn -
013/067	funn	1	- f u nn -
013/161	fund	1	- f u n d
013/163	fund	1	- f u n d
013/165	fund	1	- f u n d
013/167	fung	1	- f u ng -
013/187	fung	1	- f u ng -
013/189	fund	1	- f u n d
013/191	fund	1	- f u n d
013/193	fund	1	- f u n d
013/195	fund	1	- f u n d
013/197	fung	1	- f u ng -
013/199	fund	1	- f u n d
013/201	fund	1	- f u n d
013/203	fund	1	- f u n d
013/207	fund	1	- f u n d
013/209	fund	1	- f u n d
013/211	fund	1	- f u n d
013/213	fund	1	- f u n d
013/215	fund	1	- f u n d
013/217	fund	1	- f u n d
013/219	fund	1	- f u n d
013/221	fund	1	- f u n d
013/223	fund	1	- f u n d
014/047	fün	1	- f ü n -
014/049	fün	1	- f ü n -
014/051	fün	1	- f ü n -
014/053	fünn	1	- f ü nn -
014/055	fonn	1	- f o nn -
014/057	NA	NA	- - - - - - -
014/059	funn	1	- f u nn -
014/061	fonn	1	- f o nn -
014/063	fun	1	- f u n -
014/065	funn	1	- f u nn -
014/067	funn	1	- f u nn -
014/109	funn	1	- f u nn -
014/159	fund	1	- f u n d
014/161	fund	1	- f u n d
014/163	fund	1	- f u n d
014/165	fund	1	- f u n d
014/167	fund	1	- f u n d
014/169	fond	1	- f o n d
014/187	fund	1	- f u n d
014/189	fund	1	- f u n d
014/191	fung	1	- f u ng -
014/193	fung	1	- f u ng -
014/195	fund	1	- f u n d
014/197	fund	1	- f u n d
014/199	fund	1	- f u n d
014/201	fund	1	- f u n d
014/203	fund	1	- f u n d
014/205	fung	1	- f u ng -
014/207	fund	1	- f u n d
014/209	fung	1	- f u ng -
014/211	fund	1	- f u n d
014/213	fund	1	- f u n d
014/215	fund	1	- f u n d
014/217	fund	1	- f u n d
014/219	fund	1	- f u n d
014/221	fund	1	- f u n d
015/049	fün	1	- f ü n -
015/051	funn	1	- f u nn -
015/053	funn	1	- f u nn -
015/055	fönn	1	- f ö nn -
015/057	fönn	1	- f ö nn -
015/059	fun	1	- f u n -
015/061	funn	1	- f u nn -
015/063	fund	1	- f u n d
015/065	funn	1	- f u nn -
015/067	funn	1	- f u nn -
015/105	fun	1	- f u n -
015/107	fun	1	- f u n -
015/109	fun	1	- f u n -
015/151	fung	1	- f u ng -
015/153	fund	1	- f u n d
015/155	fund	1	- f u n d
015/157	fund	1	- f u n d
015/159	fund	1	- f u n d
015/161	fund	1	- f u n d
015/163	fund	1	- f u n d
015/165	fund	1	- f u n d
015/167	fund	1	- f u n d
015/169	fund	1	- f u n d
015/173	fund	1	- f u n d
015/187	fund	1	- f u n d
015/191	fund	1	- f u n d
015/193	fund	1	- f u n d
015/195	fung	1	- f u ng -
015/197	fund	1	- f u n d
015/199	fund	1	- f u n d
015/201	fung	1	- f u ng -
015/203	fung	1	- f u ng -
015/205	fung	1	- f u ng -
015/207	fund	1	- f u n d
015/209	fund	1	- f u n d
015/211	fund	1	- f u n d
015/213	fund	1	- f u n d
015/215	fund	1	- f u n d
015/217	fund	1	- f u n d
015/219	fund	1	- f u n d
015/221	fund	1	- f u n d
016/051	fönn	1	- f ö nn -
016/055	fönn	1	- f ö nn -
016/057	fun	1	- f u n -
016/059	funn	1	- f u nn -
016/061	funn	1	- f u nn -
016/063	funn	1	- f u nn -
016/065	funn	1	- f u nn -
016/067	fun	1	- f u n -
016/081	funn	1	- f u nn -
016/083	funn	1	- f u nn -
016/105	funn	1	- f u nn -
016/107	funn	1	- f u nn -
016/109	funn	1	- f u nn -
016/111	funn	1	- f u nn -
016/145	funn	1	- f u nn -
016/147	fun	1	- f u n -
016/149	funn	1	- f u nn -
016/151	fun	1	- f u n -
016/153	fung	1	- f u ng -
016/155	fund	1	- f u n d
016/157	fund	1	- f u n d
016/159	fund	1	- f u n d
016/161	fund	1	- f u n d
016/163	fund	1	- f u n d
016/165	fund	1	- f u n d
016/167	fund	1	- f u n d
016/187	fund	1	- f u n d
016/189	fund	1	- f u n d
016/191	fung	1	- f u ng -
016/193	fund	1	- f u n d
016/195	fund	1	- f u n d
016/197	fund	1	- f u n d
016/199	fund	1	- f u n d
016/201	fund	1	- f u n d
016/203	fung	1	- f u ng -
016/205	fung	1	- f u ng -
016/209	fund	1	- f u n d
016/211	fund	1	- f u n d
016/213	fund	1	- f u n d
016/215	fund	1	- f u n d
016/217	fund	1	- f u n d
016/219	fund	1	- f u n d
017/055	funn	1	- f u nn -
017/057	fonn	1	- f o nn -
017/059	funn	1	- f u nn -
017/061	funn	1	- f u nn -
017/063	fun	1	- f u n -
017/065	fun	1	- f u n -
017/067	fun	1	- f u n -
017/069	funn	1	- f u nn -
017/081	funn	1	- f u nn -
017/083	funn	1	- f u nn -
017/099	funn	1	- f u nn -
017/101	funn	1	- f u nn -
017/103	funn	1	- f u nn -
017/107	funn	1	- f u nn -
017/109	funn	1	- f u nn -
017/145	funn	1	- f u nn -
017/147	funn	1	- f u nn -
017/149	funn	1	- f u nn -
017/151	fung	1	- f u ng -
017/153	fung	1	- f u ng -
017/155	fung	1	- f u ng -
017/157	fung	1	- f u ng -
017/159	fund	1	- f u n d
017/161	fund	1	- f u n d
017/163	fund	1	- f u n d
017/165	funn	1	- f u nn -
017/169	fund	1	- f u n d
017/171	fund	1	- f u n d
017/183	fung	1	- f u ng -
017/185	fung	1	- f u ng -
017/187	fund	1	- f u n d
017/189	fund	1	- f u n d
017/191	fund	1	- f u n d
017/193	fund	1	- f u n d
017/195	fund	1	- f u n d
017/197	fund	1	- f u n d
017/199	fund	1	- f u n d
017/201	fund	1	- f u n d
017/203	fung	1	- f u ng -
017/205	fung	1	- f u ng -
017/207	fung	1	- f u ng -
017/209	fund	1	- f u n d
017/211	fund	1	- f u n d
017/213	fund	1	- f u n d
017/215	fund	1	- f u n d
017/217	fund	1	- f u n d
017/219	fund	1	- f u n d
018/051	fun	1	- f u n -
018/053	funn	1	- f u nn -
018/055	funn	1	- f u nn -
018/057	funn	1	- f u nn -
018/059	funn	1	- f u nn -
018/061	funn	1	- f u nn -
018/063	funn	1	- f u nn -
018/065	funn	1	- f u nn -
018/067	funn	1	- f u nn -
018/069	fun	1	- f u n -
018/071	fund	1	- f u n d
018/073	fun	1	- f u n -
018/075	funn	1	- f u nn -
018/079	funn	1	- f u nn -
018/081	funn	1	- f u nn -
018/097	funn	1	- f u nn -
018/099	funn	1	- f u nn -
018/103	funn	1	- f u nn -
018/105	funn	1	- f u nn -
018/107	funn	1	- f u nn -
018/109	funn	1	- f u nn -
018/111	funn	1	- f u nn -
018/143	leggt	2	- - l e gg t
018/145	funn	1	- f u nn -
018/147	fun	1	- f u n -
018/149	funn	1	- f u nn -
018/151	fung	1	- f u ng -
018/153	fun	1	- f u n -
018/155	fung	1	- f u ng -
018/157	fung	1	- f u ng -
018/159	fund	1	- f u n d
018/161	fund	1	- f u n d
018/163	fond	1	- f o n d
018/165	fund	1	- f u n d
018/169	fund	1	- f u n d
018/171	fund	1	- f u n d
018/173	fund	1	- f u n d
018/181	fung	1	- f u ng -
018/185	fung	1	- f u ng -
018/187	fund	1	- f u n d
018/189	fund	1	- f u n d
018/191	fund	1	- f u n d
018/193	fund	1	- f u n d
018/195	fung	1	- f u ng -
018/197	fund	1	- f u n d
018/199	fund	1	- f u n d
018/201	fung	1	- f u ng -
018/203	fung	1	- f u ng -
018/205	fung	1	- f u ng -
018/207	fun	1	- f u n -
018/209	fund	1	- f u n d
018/211	fund	1	- f u n d
018/213	fund	1	- f u n d
018/215	fund	1	- f u n d
018/219	fund	1	- f u n d
019/051	funn	1	- f u nn -
019/053	fun	1	- f u n -
019/055	funn	1	- f u nn -
019/057	funn	1	- f u nn -
019/059	funn	1	- f u nn -
019/061	funn	1	- f u nn -
019/063	funn	1	- f u nn -
019/065	fun	1	- f u n -
019/067	funn	1	- f u nn -
019/069	fun	1	- f u n -
019/071	fün	1	- f ü n -
019/073	funn	1	- f u nn -
019/075	fund	1	- f u n d
019/077	fon	1	- f o n -
019/079	funn	1	- f u nn -
019/081	funn	1	- f u nn -
019/097	funn	1	- f u nn -
019/099	funn	1	- f u nn -
