locations	strings	cognateID	alignments
001/203	nog	1	n o g
002/201	nog	1	n o g
002/203	nog	1	n o g
002/205	noog	1	n oo g
003/203	nog	1	n o g
003/205	nog	1	n o g
004/205	nog	1	n o g
005/205	noog	1	n oo g
005/207	nog	1	n o g
006/205	nog	1	n o g
006/207	nog	1	n o g
007/205	noch	1	n o ch
007/207	nog	1	n o g
007/209	nog	1	n o g
007/211	nog	1	n o g
008/199	nog	1	n o g
008/203	nog	1	n o g
008/205	nog	1	n o g
008/207	nog	1	n o g
008/209	nog	1	n o g
008/211	noch	1	n o ch
008/213	nog	1	n o g
009/199	noch	1	n o ch
009/203	nog	1	n o g
009/207	nog	1	n o g
009/209	noog	1	n oo g
009/211	nooch	1	n oo ch
009/213	nog	1	n o g
009/215	nog	1	n o g
009/217	nog	1	n o g
010/195	nog	1	n o g
010/203	nog	1	n o g
010/207	nog	1	n o g
010/209	nog	1	n o g
010/211	nooch	1	n oo ch
010/213	nog	1	n o g
010/215	nog	1	n o g
010/217	nog	1	n o g
010/219	nog	1	n o g
011/049	noch	1	n o ch
011/053	nok	1	n o k
011/055	nok	1	n o k
011/057	nok	1	n o k
011/059	nok	1	n o k
011/061	nok	1	n o k
011/063	nok	1	n o k
011/065	nok	1	n o k
011/067	nok	1	n o k
011/069	nok	1	n o k
011/187	nog	1	n o g
011/189	nog	1	n o g
011/191	noog	1	n oo g
011/195	nog	1	n o g
011/197	nog	1	n o g
011/203	nog	1	n o g
011/205	nog	1	n o g
011/207	nooch	1	n oo ch
011/209	noog	1	n oo g
011/211	noch	1	n o ch
011/213	nog	1	n o g
011/215	noch	1	n o ch
011/217	noch	1	n o ch
011/219	noch	1	n o ch
012/047	nog	1	n o g
012/049	nogh	1	n o gh
012/051	nooch	1	n oo ch
012/053	nak	1	n a k
012/055	nok	1	n o k
012/057	nak	1	n a k
012/059	nok	1	n o k
012/061	nok	1	n o k
012/063	nok	1	n o k
012/065	NA	NA	- - -
012/067	nok	1	n o k
012/069	nok	1	n o k
012/187	nog	1	n o g
012/189	noog	1	n oo g
012/191	nog	1	n o g
012/193	nog	1	n o g
012/195	noog	1	n oo g
012/197	noch	1	n o ch
012/199	nog	1	n o g
012/201	nog	1	n o g
012/203	nog	1	n o g
012/205	nog	1	n o g
012/207	nog	1	n o g
012/209	nog	1	n o g
012/211	nog	1	n o g
012/213	noch	1	n o ch
012/215	nooch	1	n oo ch
012/217	nog	1	n o g
012/219	nog	1	n o g
012/221	nung	1	n u ng
012/223	nog	1	n o g
013/051	nog	1	n o g
013/053	noogh	1	n oo gh
013/055	nog	1	n o g
013/057	nok	1	n o k
013/059	nok	1	n o k
013/061	noch	1	n o ch
013/063	nog	1	n o g
013/065	noch	1	n o ch
013/067	nog	1	n o g
013/161	naug	1	n au g
013/163	nauch	1	n au ch
013/165	naug	1	n au g
013/167	nog	1	n o g
013/187	nooch	1	n oo ch
013/189	nog	1	n o g
013/191	nog	1	n o g
013/193	nog	1	n o g
013/195	noog	1	n oo g
013/197	noog	1	n oo g
013/199	noog	1	n oo g
013/201	nog	1	n o g
013/203	nog	1	n o g
013/207	noog	1	n oo g
013/209	nog	1	n o g
013/211	nog	1	n o g
013/213	nooch	1	n oo ch
013/215	nung	1	n u ng
013/217	nog	1	n o g
013/219	noog	1	n oo g
013/221	nog	1	n o g
013/223	noog	1	n oo g
014/047	nagh	1	n a gh
014/049	nog	1	n o g
014/051	noog	1	n oo g
014/053	nohch	1	n oh ch
014/055	nog	1	n o g
014/057	noch	1	n o ch
014/059	noch	1	n o ch
014/061	noch	1	n o ch
014/063	nog	1	n o g
014/065	noch	1	n o ch
014/067	noch	1	n o ch
014/109	naug	1	n au g
014/159	nauch	1	n au ch
014/161	naug	1	n au g
014/163	naug	1	n au g
014/165	naug	1	n au g
014/167	noch	1	n o ch
014/169	nog	1	n o g
014/187	nog	1	n o g
014/189	noch	1	n o ch
014/191	nog	1	n o g
014/193	nog	1	n o g
014/195	nooch	1	n oo ch
014/197	noch	1	n o ch
014/199	noch	1	n o ch
014/201	nog	1	n o g
014/203	nog	1	n o g
014/205	nog	1	n o g
014/207	nog	1	n o g
014/209	noog	1	n oo g
014/211	noog	1	n oo g
014/213	nog	1	n o g
014/215	nohg	1	n oh g
014/217	nog	1	n o g
014/219	nog	1	n o g
014/221	nog	1	n o g
015/049	nagh	1	n a gh
015/051	noogh	1	n oo gh
015/053	nogh	1	n o gh
015/055	nog	1	n o g
015/057	nag	1	n a g
015/059	noch	1	n o ch
015/061	noch	1	n o ch
015/063	noch	1	n o ch
015/065	noch	1	n o ch
015/067	nog	1	n o g
015/105	nauch	1	n au ch
015/107	noug	1	n ou g
015/109	naug	1	n au g
015/151	nauch	1	n au ch
015/153	naug	1	n au g
015/155	nauch	1	n au ch
015/157	nauch	1	n au ch
015/159	nauch	1	n au ch
015/161	naug	1	n au g
