locations	strings	cognateID	alignments
001/203	stahl	1	s t ah l
002/201	stoal	1	s t oa l
002/203	stoal	1	s t oa l
002/205	stahl	1	s t ah l
003/203	stoal	1	s t oa l
003/205	staal	1	s t aa l
004/205	stahl	1	s t ah l
005/205	stoal	1	s t oa l
005/207	stahl	1	s t ah l
006/205	stahl	1	s t ah l
006/207	stoal	1	s t oa l
007/205	stoal	1	s t oa l
007/207	stahl	1	s t ah l
007/209	schtahl	1	sch t ah l
007/211	stahl	1	s t ah l
008/199	stoal	1	s t oa l
008/203	stahl	1	s t ah l
008/205	stahl	1	s t ah l
008/207	stol	1	s t o l
008/209	stahl	1	s t ah l
008/211	stahl	1	s t ah l
008/213	stoal	1	s t oa l
009/199	stohl	1	s t oh l
009/203	stahl	1	s t ah l
009/207	stahl	1	s t ah l
009/209	stal	1	s t a l
009/211	staahl	1	s t aah l
009/213	stoahl	1	s t oah l
009/215	stahl	1	s t ah l
009/217	schtohl	1	sch t oh l
010/195	stohl	1	s t oh l
010/203	stahl	1	s t ah l
010/207	stoal	1	s t oa l
010/209	stahl	1	s t ah l
010/211	stahl	1	s t ah l
010/213	stahl	1	s t ah l
010/215	schtal	1	sch t a l
010/217	schtoal	1	sch t oa l
010/219	stoal	1	s t oa l
011/049	stehl	1	s t eh l
011/053	staal	1	s t aa l
011/055	staall	1	s t aa ll
011/057	staael	1	s t aae l
011/059	staall	1	s t aa ll
011/061	staal	1	s t aa l
011/063	staal	1	s t aa l
011/065	stohl	1	s t oh l
011/067	stol	1	s t o l
011/069	stol	1	s t o l
011/187	stohl	1	s t oh l
011/189	stohl	1	s t oh l
011/191	stoal	1	s t oa l
011/195	stoal	1	s t oa l
011/197	stoahl	1	s t oah l
011/203	stahl	1	s t ah l
011/205	stoahl	1	s t oah l
011/207	stoahl	1	s t oah l
011/209	stoahl	1	s t oah l
011/211	stohl	1	s t oh l
011/213	stol	1	s t o l
011/215	stoal	1	s t oa l
011/217	stahl	1	s t ah l
011/219	stoal	1	s t oa l
012/047	stäl	1	s t ä l
012/049	stääl	1	s t ää l
012/051	stjill	1	s tj i ll
012/053	staal	1	s t aa l
012/055	staal	1	s t aa l
012/057	stal	1	s t a l
012/059	staal	1	s t aa l
012/061	staal	1	s t aa l
012/063	stoil	1	s t oi l
012/065	stol	1	s t o l
012/067	staal	1	s t aa l
012/069	stol	1	s t o l
012/187	stoal	1	s t oa l
012/189	stol	1	s t o l
012/191	stoal	1	s t oa l
012/193	stol	1	s t o l
012/195	stoahl	1	s t oah l
012/197	stahl	1	s t ah l
012/199	stoal	1	s t oa l
012/201	stal	1	s t a l
012/203	stoal	1	s t oa l
012/205	stohl	1	s t oh l
012/207	stal	1	s t a l
012/209	stoahl	1	s t oah l
012/211	stoahl	1	s t oah l
012/213	stoal	1	s t oa l
012/215	stahl	1	s t ah l
012/217	stohl	1	s t oh l
012/219	stohl	1	s t oh l
012/221	stahl	1	s t ah l
012/223	stoal	1	s t oa l
013/051	sthiel	1	s th ie l
013/053	stell	1	s t e ll
013/055	steel	1	s t ee l
013/057	staal	1	s t aa l
013/059	staall	1	s t aa ll
013/061	stahl	1	s t ah l
013/063	staal	1	s t aa l
013/065	stahl	1	s t ah l
013/067	stahl	1	s t ah l
013/161	staol	1	s t ao l
013/163	stohl	1	s t oh l
013/165	stohl	1	s t oh l
013/167	stohl	1	s t oh l
