locations	strings	cognateID	alignments
001/203	kep	1	k e p
002/201	keep	1	k ee p
002/203	keep	1	k ee p
002/205	köhp	1	k öh p
003/203	keep	1	k ee p
003/205	keep	1	k ee p
004/205	köp	1	k ö p
005/205	keep	1	k ee p
005/207	köp	1	k ö p
006/205	kehp	1	k eh p
006/207	kep	1	k e p
007/205	keep	1	k ee p
007/207	keep	1	k ee p
007/209	keep	1	k ee p
007/211	köp	1	k ö p
008/199	köep	1	k öe p
008/203	keep	1	k ee p
008/205	kep	1	k e p
008/207	köp	1	k ö p
008/209	köp	1	k ö p
008/211	köp	1	k ö p
008/213	keep	1	k ee p
009/199	keep	1	k ee p
009/203	köp	1	k ö p
009/207	keep	1	k ee p
009/209	keep	1	k ee p
009/211	köp	1	k ö p
009/213	köp	1	k ö p
009/215	köp	1	k ö p
009/217	kep	1	k e p
010/195	kep	1	k e p
010/203	köp	1	k ö p
010/207	köp	1	k ö p
010/209	köp	1	k ö p
010/211	kehp	1	k eh p
010/213	keep	1	k ee p
010/215	keep	1	k ee p
010/217	kep	1	k e p
010/219	kep	1	k e p
011/049	kob	1	k o b
011/053	söel	2	s öe l
011/055	sol	2	s o l
011/057	soel	2	s oe l
011/059	sol	2	s o l
011/061	sääl	2	s ää l
011/063	sol	2	s o l
011/065	sohl	2	s oh l
011/067	seel	2	s ee l
011/069	säl	2	s ä l
011/187	kep	1	k e p
011/189	kep	1	k e p
011/191	köp	1	k ö p
011/195	kep	1	k e p
011/197	köhp	1	k öh p
011/203	kep	1	k e p
011/205	köp	1	k ö p
011/207	keep	1	k ee p
011/209	keep	1	k ee p
011/211	keb	1	k e b
011/213	keep	1	k ee p
011/215	keep	1	k ee p
011/217	keep	1	k ee p
011/219	kep	1	k e p
012/047	koop	1	k oo p
012/049	koop	1	k oo p
012/051	kup	1	k u p
012/053	sääl	2	s ää l
012/055	säl	2	s ä l
012/057	säl	2	s ä l
012/059	söel	2	s öe l
012/061	sool	2	s oo l
012/063	soel	2	s oe l
012/065	sool	2	s oo l
012/067	sel	2	s e l
012/069	seel	2	s ee l
012/187	köp	1	k ö p
012/189	kep	1	k e p
012/191	köp	1	k ö p
012/193	köp	1	k ö p
012/195	keep	1	k ee p
012/197	keep	1	k ee p
012/199	köp	1	k ö p
012/201	kep	1	k e p
012/203	kep	1	k e p
012/205	köp	1	k ö p
012/207	keep	1	k ee p
012/209	keep	1	k ee p
012/211	kep	1	k e p
012/213	keep	1	k ee p
012/215	keep	1	k ee p
012/217	köp	1	k ö p
012/219	kep	1	k e p
012/221	kep	1	k e p
012/223	kep	1	k e p
013/051	kuhp	1	k uh p
013/053	kuupp	1	k uu pp
013/055	kup	1	k u p
013/057	säl	2	s ä l
013/059	sääl	2	s ää l
013/061	kohb	1	k oh b
013/063	kob	1	k o b
013/065	koop	1	k oo p
013/067	kob	1	k o b
013/161	kop	1	k o p
013/163	kop	1	k o p
013/165	kop	1	k o p
013/167	kop	1	k o p
013/187	keep	1	k ee p
013/189	keep	1	k ee p
013/191	kep	1	k e p
013/193	köp	1	k ö p
013/195	keep	1	k ee p
013/197	köp	1	k ö p
013/199	keep	1	k ee p
013/201	köp	1	k ö p
013/203	kep	1	k e p
013/207	keep	1	k ee p
013/209	kep	1	k e p
013/211	köp	1	k ö p
013/213	keep	1	k ee p
013/215	keep	1	k ee p
013/217	keep	1	k ee p
013/219	keep	1	k ee p
013/221	kep	1	k e p
013/223	keep	1	k ee p
014/047	kup	1	k u p
014/049	kup	1	k u p
014/051	kup	1	k u p
014/053	kub	1	k u b
014/055	küp	1	k ü p
014/057	kuhb	1	k uh b
014/059	kop	1	k o p
014/061	kob	1	k o b
014/063	kop	1	k o p
014/065	kop	1	k o p
014/067	koop	1	k oo p
014/109	köp	1	k ö p
014/159	kop	1	k o p
014/161	kop	1	k o p
014/163	kohp	1	k oh p
014/165	koop	1	k oo p
014/167	koop	1	k oo p
014/169	kop	1	k o p
014/187	keep	1	k ee p
014/189	kep	1	k e p
014/191	kep	1	k e p
014/193	keep	1	k ee p
014/195	keep	1	k ee p
014/197	kep	1	k e p
014/199	kep	1	k e p
014/201	köp	1	k ö p
014/203	kep	1	k e p
014/205	köp	1	k ö p
014/207	kep	1	k e p
014/209	köp	1	k ö p
014/211	keep	1	k ee p
014/213	köp	1	k ö p
014/215	köp	1	k ö p
014/217	köhp	1	k öh p
014/219	keep	1	k ee p
014/221	keep	1	k ee p
015/049	kup	1	k u p
015/051	kuup	1	k uu p
015/053	kup	1	k u p
015/055	kup	1	k u p
015/057	kub	1	k u b
015/059	koop	1	k oo p
015/061	koop	1	k oo p
015/063	kop	1	k o p
015/065	kop	1	k o p
015/067	köp	1	k ö p
015/105	köp	1	k ö p
015/107	köp	1	k ö p
015/109	köp	1	k ö p
015/151	kep	1	k e p
015/153	kop	1	k o p
015/155	köp	1	k ö p
015/157	kop	1	k o p
015/159	kep	1	k e p
015/161	kop	1	k o p
015/163	kop	1	k o p
015/165	kop	1	k o p
015/167	kop	1	k o p
015/169	kop	1	k o p
015/173	koop	1	k oo p
015/187	köp	1	k ö p
015/191	kep	1	k e p
015/193	keep	1	k ee p
015/195	kep	1	k e p
015/197	kep	1	k e p
015/199	keep	1	k ee p
015/201	köp	1	k ö p
015/203	keep	1	k ee p
015/205	kep	1	k e p
015/207	kep	1	k e p
015/209	köp	1	k ö p
015/211	kep	1	k e p
015/213	kep	1	k e p
015/215	keep	1	k ee p
015/217	kep	1	k e p
015/219	keep	1	k ee p
015/221	köp	1	k ö p
016/051	kup	1	k u p
016/055	kub	1	k u b
016/057	köb	1	k ö b
016/059	kob	1	k o b
016/061	kob	1	k o b
016/063	koop	1	k oo p
016/065	köp	1	k ö p
016/067	köp	1	k ö p
016/081	köb	1	k ö b
016/083	köp	1	k ö p
016/105	köp	1	k ö p
016/107	köp	1	k ö p
016/109	köp	1	k ö p
016/111	kööp	1	k öö p
016/145	köp	1	k ö p
016/147	köp	1	k ö p
016/149	köp	1	k ö p
016/151	keep	1	k ee p
016/153	köp	1	k ö p
016/155	kehp	1	k eh p
016/157	köp	1	k ö p
016/159	kohp	1	k oh p
016/161	koop	1	k oo p
016/163	koop	1	k oo p
016/165	kop	1	k o p
016/167	kop	1	k o p
016/187	kepp	1	k e pp
016/189	kep	1	k e p
016/191	keep	1	k ee p
016/193	keep	1	k ee p
016/195	koff	1	k o ff
016/197	köp	1	k ö p
016/199	kep	1	k e p
016/201	keep	1	k ee p
016/203	kop	1	k o p
016/205	köp	1	k ö p
016/209	keep	1	k ee p
016/211	keep	1	k ee p
016/213	keep	1	k ee p
016/215	keep	1	k ee p
016/217	köp	1	k ö p
016/219	keep	1	k ee p
017/055	kop	1	k o p
017/057	kop	1	k o p
017/059	köp	1	k ö p
017/061	kop	1	k o p
017/063	kop	1	k o p
017/065	kop	1	k o p
017/067	köp	1	k ö p
017/069	kööp	1	k öö p
017/081	köp	1	k ö p
017/083	köp	1	k ö p
017/099	köp	1	k ö p
017/101	köpp	1	k ö pp
017/103	köb	1	k ö b
017/107	köp	1	k ö p
017/109	köp	1	k ö p
017/145	köp	1	k ö p
017/147	köp	1	k ö p
017/149	köp	1	k ö p
017/151	köp	1	k ö p
017/153	kep	1	k e p
017/155	köp	1	k ö p
017/157	kop	1	k o p
017/159	kop	1	k o p
017/161	kop	1	k o p
017/163	koop	1	k oo p
017/165	kop	1	k o p
017/169	koop	1	k oo p
017/171	kop	1	k o p
017/183	kep	1	k e p
017/185	köpp	1	k ö pp
017/187	kep	1	k e p
017/189	kehp	1	k eh p
017/191	kep	1	k e p
017/193	kep	1	k e p
017/195	kep	1	k e p
017/197	kep	1	k e p
017/199	kep	1	k e p
017/201	kep	1	k e p
017/203	köp	1	k ö p
017/205	köp	1	k ö p
017/207	kep	1	k e p
017/209	keb	1	k e b
017/211	keep	1	k ee p
017/213	köp	1	k ö p
017/215	kep	1	k e p
017/217	kep	1	k e p
017/219	köp	1	k ö p
018/051	kop	1	k o p
018/053	kop	1	k o p
018/055	koop	1	k oo p
018/057	koop	1	k oo p
018/059	kop	1	k o p
018/061	köb	1	k ö b
018/063	kööp	1	k öö p
018/065	köp	1	k ö p
018/067	köb	1	k ö b
018/069	köp	1	k ö p
018/071	köp	1	k ö p
018/073	kööp	1	k öö p
018/075	köp	1	k ö p
018/079	köb	1	k ö b
018/081	köp	1	k ö p
018/097	köp	1	k ö p
018/099	köp	1	k ö p
018/103	köp	1	k ö p
018/105	köp	1	k ö p
018/107	köp	1	k ö p
018/109	köp	1	k ö p
018/111	köp	1	k ö p
018/143	kopp	1	k o pp
018/145	köp	1	k ö p
018/147	köp	1	k ö p
018/149	köp	1	k ö p
018/151	köp	1	k ö p
018/153	kep	1	k e p
018/155	köb	1	k ö b
018/157	köp	1	k ö p
018/159	kop	1	k o p
018/161	köp	1	k ö p
018/163	kop	1	k o p
018/165	kop	1	k o p
018/169	kop	1	k o p
018/171	koop	1	k oo p
018/173	kop	1	k o p
018/181	kep	1	k e p
018/185	kipp	1	k i pp
018/187	keep	1	k ee p
018/189	keep	1	k ee p
018/191	kep	1	k e p
018/193	kep	1	k e p
018/195	kep	1	k e p
018/197	keep	1	k ee p
018/199	keep	1	k ee p
018/201	köp	1	k ö p
018/203	kep	1	k e p
018/205	kep	1	k e p
018/207	kep	1	k e p
018/209	kep	1	k e p
018/211	kep	1	k e p
018/213	keep	1	k ee p
018/215	kep	1	k e p
018/219	keep	1	k ee p
019/051	kop	1	k o p
019/053	kob	1	k o b
019/055	koop	1	k oo p
019/057	kob	1	k o b
019/059	kob	1	k o b
019/061	köhp	1	k öh p
019/063	koop	1	k oo p
019/065	köp	1	k ö p
019/067	köp	1	k ö p
019/069	köp	1	k ö p
019/071	köp	1	k ö p
019/073	köb	1	k ö b
019/075	kööb	1	k öö b
019/077	köp	1	k ö p
019/079	köp	1	k ö p
019/081	köp	1	k ö p
019/097	köp	1	k ö p
019/099	köb	1	k ö b
019/101	köp	1	k ö p
019/103	köp	1	k ö p
019/105	köb	1	k ö b
019/107	köp	1	k ö p
019/109	köp	1	k ö p
019/143	köep	1	k öe p
019/145	köb	1	k ö b
019/147	köp	1	k ö p
019/149	köp	1	k ö p
019/151	kep	1	k e p
019/153	kep	1	k e p
019/155	köb	1	k ö b
019/157	kop	1	k o p
019/159	kop	1	k o p
019/161	köp	1	k ö p
019/163	kop	1	k o p
019/165	kohp	1	k oh p
019/167	kop	1	k o p
019/169	kop	1	k o p
019/171	koap	1	k oa p
019/173	koop	1	k oo p
019/175	kop	1	k o p
019/177	keep	1	k ee p
019/179	keep	1	k ee p
019/181	keep	1	k ee p
019/183	keep	1	k ee p
019/185	küpp	1	k ü pp
019/187	küpp	1	k ü pp
019/189	kep	1	k e p
019/191	kep	1	k e p
019/193	kep	1	k e p
019/195	kep	1	k e p
019/197	kehp	1	k eh p
019/199	kep	1	k e p
019/201	kep	1	k e p
019/203	kep	1	k e p
019/205	kep	1	k e p
019/207	kep	1	k e p
019/209	kep	1	k e p
019/211	keep	1	k ee p
019/213	kep	1	k e p
019/215	köp	1	k ö p
019/217	köp	1	k ö p
019/219	kep	1	k e p
020/043	koop	1	k oo p
020/053	koop	1	k oo p
020/055	kop	1	k o p
020/057	keb	1	k e b
020/059	koob	1	k oo b
020/061	kob	1	k o b
020/063	kööp	1	k öö p
