KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
001/203	21.1667	55.8333	03298
002/201	21.0000	55.7500	03300
002/203	21.1667	55.7500	03303
002/205	21.3333	55.7500	03304
003/203	21.1667	55.6667	03308
003/205	21.3333	55.6667	03311
004/205	21.3333	55.5833	03316
005/205	21.3333	55.5000	03320
005/207	21.5000	55.5000	03322
006/205	21.3333	55.4167	03323
006/207	21.5000	55.4167	03325
007/205	21.3333	55.3333	03327
007/207	21.5000	55.3333	03332
007/209	21.6667	55.3333	03339
007/211	21.8333	55.3333	03341
008/199	20.8333	55.2500	03342
008/203	21.1667	55.2500	03343
008/205	21.3333	55.2500	03347
008/207	21.5000	55.2500	03349
008/209	21.6667	55.2500	03353
008/211	21.8333	55.2500	03360
008/213	22.0000	55.2500	03363
009/199	20.8333	55.1667	03364
009/203	21.1667	55.1667	03365
009/207	21.5000	55.1667	03367
009/209	21.6667	55.1667	03371
009/211	21.8333	55.1667	03375
009/213	22.0000	55.1667	03383
009/215	22.1667	55.1667	03387
009/217	22.3333	55.1667	03388
010/195	20.5000	55.0833	01533
010/203	21.1667	55.0833	01534
010/207	21.5000	55.0833	01537
010/209	21.6667	55.0833	01545
010/211	21.8333	55.0833	01547
010/213	22.0000	55.0833	01559
010/215	22.1667	55.0833	01561
010/217	22.3333	55.0833	01566
010/219	22.5000	55.0833	01571
011/049	 8.3333	55.0000	46824
011/053	 8.6667	55.0000	46827
011/055	 8.8333	55.0000	46832
011/057	 9.0000	55.0000	46839
011/059	 9.1667	55.0000	46843
011/061	 9.3333	55.0000	46851
011/063	 9.5000	55.0000	46862
011/065	 9.6667	55.0000	46867
011/067	 9.8333	55.0000	46872
011/069	10.0000	55.0000	46884
011/187	19.8333	55.0000	01573
011/189	20.0000	55.0000	01575
011/191	20.1667	55.0000	01578
011/195	20.5000	55.0000	01580
011/197	20.6667	55.0000	01584
011/203	21.1667	55.0000	01585
011/205	21.3333	55.0000	01589
011/207	21.5000	55.0000	01591
011/209	21.6667	55.0000	01593
011/211	21.8333	55.0000	01598
011/213	22.0000	55.0000	01606
011/215	22.1667	55.0000	01615
011/217	22.3333	55.0000	01617
011/219	22.5000	55.0000	01624
012/047	 8.1667	54.9167	46885
012/049	 8.3333	54.9167	46888
012/051	 8.5000	54.9167	46891
012/053	 8.6667	54.9167	46896
012/055	 8.8333	54.9167	46904
012/057	 9.0000	54.9167	46908
012/059	 9.1667	54.9167	46916
012/061	 9.3333	54.9167	46918
012/063	 9.5000	54.9167	46926
012/065	 9.6667	54.9167	46933
012/067	 9.8333	54.9167	46936
012/069	10.0000	54.9167	46938
012/187	19.8333	54.9167	01629
012/189	20.0000	54.9167	01634
012/191	20.1667	54.9167	01638
012/193	20.3333	54.9167	01642
012/195	20.5000	54.9167	01646
012/197	20.6667	54.9167	01656
012/199	20.8333	54.9167	01658
012/201	21.0000	54.9167	01664
012/203	21.1667	54.9167	01668
012/205	21.3333	54.9167	01671
012/207	21.5000	54.9167	01675
012/209	21.6667	54.9167	01685
012/211	21.8333	54.9167	01693
012/213	22.0000	54.9167	01702
012/215	22.1667	54.9167	01712
012/217	22.3333	54.9167	01716
012/219	22.5000	54.9167	01721
012/221	22.6667	54.9167	01726
012/223	22.8333	54.9167	01731
013/051	 8.5000	54.8333	46699
013/053	 8.6667	54.8333	46703
013/055	 8.8333	54.8333	46707
013/057	 9.0000	54.8333	46713
013/059	 9.1667	54.8333	46718
013/061	 9.3333	54.8333	46724
013/063	 9.5000	54.8333	46731
013/065	 9.6667	54.8333	46741
013/067	 9.8333	54.8333	46744
013/161	17.6667	54.8333	52891
013/163	17.8333	54.8333	52898
013/165	18.0000	54.8333	52899
013/167	18.1667	54.8333	52905
013/187	19.8333	54.8333	01733
013/189	20.0000	54.8333	01735
013/191	20.1667	54.8333	01738
013/193	20.3333	54.8333	01743
013/195	20.5000	54.8333	01748
013/197	20.6667	54.8333	01758
013/199	20.8333	54.8333	01764
013/201	21.0000	54.8333	01769
013/203	21.1667	54.8333	01775
013/207	21.5000	54.8333	01783
013/209	21.6667	54.8333	01791
013/211	21.8333	54.8333	01798
013/213	22.0000	54.8333	01801
013/215	22.1667	54.8333	01814
013/217	22.3333	54.8333	01825
013/219	22.5000	54.8333	01830
013/221	22.6667	54.8333	01842
013/223	22.8333	54.8333	01849
014/047	 8.1667	54.7500	46747
014/049	 8.3333	54.7500	46749
014/051	 8.5000	54.7500	46757
014/053	 8.6667	54.7500	46763
014/055	 8.8333	54.7500	46771
014/057	 9.0000	54.7500	46779
014/059	 9.1667	54.7500	46784
014/061	 9.3333	54.7500	46790
014/063	 9.5000	54.7500	46803
014/065	 9.6667	54.7500	46807
014/067	 9.8333	54.7500	46816
014/109	13.3333	54.7500	51141
014/159	17.5000	54.7500	52915
014/161	17.6667	54.7500	52925
014/163	17.8333	54.7500	52930
014/165	18.0000	54.7500	52935
014/167	18.1667	54.7500	52938
014/169	18.3333	54.7500	52943
