KDSA	LONG	LAT
001/203	21.1667	55.8333
002/201	21.0000	55.7500
002/203	21.1667	55.7500
002/205	21.3333	55.7500
003/203	21.1667	55.6667
003/205	21.3333	55.6667
004/205	21.3333	55.5833
005/205	21.3333	55.5000
005/207	21.5000	55.5000
006/205	21.3333	55.4167
006/207	21.5000	55.4167
007/205	21.3333	55.3333
007/207	21.5000	55.3333
007/209	21.6667	55.3333
007/211	21.8333	55.3333
008/199	20.8333	55.2500
008/203	21.1667	55.2500
008/205	21.3333	55.2500
008/207	21.5000	55.2500
008/209	21.6667	55.2500
008/211	21.8333	55.2500
008/213	22.0000	55.2500
009/199	20.8333	55.1667
009/203	21.1667	55.1667
009/207	21.5000	55.1667
009/209	21.6667	55.1667
009/211	21.8333	55.1667
009/213	22.0000	55.1667
009/215	22.1667	55.1667
009/217	22.3333	55.1667
010/195	20.5000	55.0833
010/203	21.1667	55.0833
010/207	21.5000	55.0833
010/209	21.6667	55.0833
010/211	21.8333	55.0833
010/213	22.0000	55.0833
010/215	22.1667	55.0833
010/217	22.3333	55.0833
010/219	22.5000	55.0833
011/049	 8.3333	55.0000
011/053	 8.6667	55.0000
011/055	 8.8333	55.0000
011/057	 9.0000	55.0000
011/059	 9.1667	55.0000
011/061	 9.3333	55.0000
011/063	 9.5000	55.0000
011/065	 9.6667	55.0000
011/067	 9.8333	55.0000
011/069	10.0000	55.0000
011/187	19.8333	55.0000
011/189	20.0000	55.0000
011/191	20.1667	55.0000
011/195	20.5000	55.0000
011/197	20.6667	55.0000
011/203	21.1667	55.0000
011/205	21.3333	55.0000
011/207	21.5000	55.0000
011/209	21.6667	55.0000
011/211	21.8333	55.0000
011/213	22.0000	55.0000
011/215	22.1667	55.0000
011/217	22.3333	55.0000
011/219	22.5000	55.0000
012/047	 8.1667	54.9167
012/049	 8.3333	54.9167
012/051	 8.5000	54.9167
012/053	 8.6667	54.9167
012/055	 8.8333	54.9167
012/057	 9.0000	54.9167
012/059	 9.1667	54.9167
012/061	 9.3333	54.9167
012/063	 9.5000	54.9167
012/065	 9.6667	54.9167
