locations	strings	cognateID	alignments
1/203	biet	1	b ie t
2/201	bit	1	b i t
2/203	biet	1	b ie t
2/205	biet	1	b ie t
3/203	biet	1	b ie t
3/205	byt	1	b y t
4/205	biet	1	b ie t
5/205	biet	1	b ie t
5/207	bit	1	b i t
6/205	biet	1	b ie t
6/207	biet	1	b ie t
7/205	biet	1	b ie t
7/207	bit	1	b i t
7/209	biet	1	b ie t
7/211	biet	1	b ie t
8/199	biet	1	b ie t
8/203	biet	1	b ie t
8/205	bit	1	b i t
8/207	biet	1	b ie t
8/209	biet	1	b ie t
8/211	bit	1	b i t
8/213	biet	1	b ie t
9/199	biet	1	b ie t
9/203	biet	1	b ie t
9/207	biet	1	b ie t
9/209	bit	1	b i t
9/211	biet	1	b ie t
9/213	büt	1	b ü t
9/215	biet	1	b ie t
9/217	bit	1	b i t
10/195	biet	1	b ie t
10/203	biet	1	b ie t
10/207	biet	1	b ie t
10/209	biet	1	b ie t
10/211	biet	1	b ie t
10/213	biet	1	b ie t
10/215	bit	1	b i t
10/217	bit	1	b i t
10/219	bit	1	b i t
11/49	bidt	1	b i d t
11/53	bir	1	b i r
11/55	bir	1	b i r
11/57	bir	1	b i r
11/59	bir	1	b i r
11/61	bir	1	b i r
11/63	bir	1	b i r
11/65	bir	1	b i r
11/67	bir	1	b i r
11/69	bid	1	b i d
11/187	biet	1	b ie t
11/189	bit	1	b i t
11/191	bit	1	b i t
11/195	bit	1	b i t
11/197	biet	1	b ie t
11/203	bit	1	b i t
11/205	biet	1	b ie t
11/207	biet	1	b ie t
11/209	biet	1	b ie t
11/211	bit	1	b i t
11/213	bit	1	b i t
11/215	biet	1	b ie t
11/217	biet	1	b ie t
11/219	bit	1	b i t
12/47	bit	1	b i t
12/49	bitt	1	b i tt
12/51	bidt	1	b i d t
12/53	bjr	1	b j r
12/55	bir	1	b i r
12/57	bir	1	b i r
12/59	bir	1	b i r
12/61	bir	1	b i r
12/63	bir	1	b i r
12/65	bir	1	b i r
12/67	bir	1	b i r
12/69	bir	1	b i r
12/187	büt	1	b ü t
12/189	bit	1	b i t
12/191	biet	1	b ie t
12/193	biet	1	b ie t
12/195	biet	1	b ie t
12/197	biet	1	b ie t
12/199	biet	1	b ie t
12/201	biet	1	b ie t
12/203	biet	1	b ie t
12/205	bit	1	b i t
12/207	biet	1	b ie t
12/209	biet	1	b ie t
12/211	biet	1	b ie t
12/213	biet	1	b ie t
12/215	biet	1	b ie t
12/217	bit	1	b i t
12/219	biet	1	b ie t
12/221	biet	1	b ie t
12/223	bit	1	b i t
13/51	bitt	1	b i tt
13/53	bitt	1	b i tt
13/55	bid	1	b i d
13/57	bir	1	b i r
13/59	bir	1	b i r
13/61	bidd	1	b i dd
13/63	bid	1	b i d
13/65	bit	1	b i t
13/67	bit	1	b i t
13/161	biet	1	b ie t
13/163	biet	1	b ie t
13/165	büt	1	b ü t
13/167	biet	1	b ie t
13/187	biet	1	b ie t
13/189	biet	1	b ie t
13/191	biet	1	b ie t
13/193	biet	1	b ie t
13/195	biet	1	b ie t
13/197	bit	1	b i t
13/199	biet	1	b ie t
13/201	bit	1	b i t
13/203	bit	1	b i t
13/207	biet	1	b ie t
13/209	biet	1	b ie t
13/211	biet	1	b ie t
13/213	biet	1	b ie t
13/215	biet	1	b ie t
13/217	biet	1	b ie t
13/219	biet	1	b ie t
13/221	biet	1	b ie t
13/223	biet	1	b ie t
14/47	bit	1	b i t
14/49	bit	1	b i t
14/51	büt	1	b ü t
14/53	bitt	1	b i tt
14/55	bitt	1	b i tt
14/57	bit	1	b i t
14/59	bit	1	b i t
14/61	bid	1	b i d
14/63	biet	1	b ie t
14/65	bid	1	b i d
14/67	bid	1	b i d
14/109	biet	1	b ie t
14/159	biet	1	b ie t
14/161	biet	1	b ie t
14/163	biet	1	b ie t
14/165	biet	1	b ie t
14/167	biet	1	b ie t
14/169	biet	1	b ie t
14/187	biet	1	b ie t
14/189	biet	1	b ie t
14/191	biet	1	b ie t
14/193	biet	1	b ie t
14/195	biit	1	b ii t
14/197	biet	1	b ie t
14/199	bit	1	b i t
14/201	biet	1	b ie t
14/203	biet	1	b ie t
14/205	biet	1	b ie t
14/207	biet	1	b ie t
14/209	biet	1	b ie t
14/211	biet	1	b ie t
14/213	bit	1	b i t
14/215	biet	1	b ie t
14/217	biet	1	b ie t
14/219	biet	1	b ie t
14/221	biät	1	b iä t
15/49	bit	1	b i t
15/51	bitt	1	b i tt
15/53	bitt	1	b i tt
15/55	bitt	1	b i tt
15/57	bitt	1	b i tt
15/59	bied	1	b ie d
15/61	biet	1	b ie t
15/63	bid	1	b i d
15/65	bit	1	b i t
15/67	biet	1	b ie t
15/105	bid	1	b i d
15/107	bietd	1	b ie t d
15/109	bit	1	b i t
15/151	bit	1	b i t
15/153	bied	1	b ie d
15/155	biet	1	b ie t
15/157	bit	1	b i t
15/159	bit	1	b i t
15/161	bitt	1	b i tt
15/163	biet	1	b ie t
15/165	biet	1	b ie t
15/167	bit	1	b i t
15/169	bitt	1	b i tt
15/173	bit	1	b i t
15/187	büt	1	b ü t
15/191	biet	1	b ie t
15/193	biet	1	b ie t
15/195	biet	1	b ie t
15/197	biet	1	b ie t
15/199	bit	1	b i t
15/201	biet	1	b ie t
15/203	biet	1	b ie t
15/205	biet	1	b ie t
15/207	biet	1	b ie t
15/209	biet	1	b ie t
15/211	bit	1	b i t
15/213	biet	1	b ie t
15/215	biet	1	b ie t
15/217	biet	1	b ie t
15/219	biit	1	b ii t
15/221	biet	1	b ie t
16/51	bitt	1	b i tt
16/55	bidd	1	b i dd
16/57	bid	1	b i d
16/59	bied	1	b ie d
16/61	bied	1	b ie d
16/63	biet	1	b ie t
16/65	bied	1	b ie d
16/67	biid	1	b ii d
16/81	biet	1	b ie t
16/83	biedt	1	b ie d t
16/105	bit	1	b i t
16/107	biet	1	b ie t
16/109	bit	1	b i t
16/111	biet	1	b ie t
16/145	bied	1	b ie d
16/147	bit	1	b i t
16/149	bidd	1	b i dd
16/151	bit	1	b i t
16/153	bit	1	b i t
16/155	biet	1	b ie t
16/157	bitt	1	b i tt
16/159	biet	1	b ie t
16/161	biet	1	b ie t
16/163	bit	1	b i t
16/165	bit	1	b i t
16/167	bit	1	b i t
16/187	biet	1	b ie t
16/189	biet	1	b ie t
16/191	biet	1	b ie t
16/193	biet	1	b ie t
16/195	biet	1	b ie t
16/197	biet	1	b ie t
16/199	biet	1	b ie t
16/201	biet	1	b ie t
16/203	bit	1	b i t
16/205	biet	1	b ie t
16/209	biet	1	b ie t
16/211	biet	1	b ie t
16/213	biet	1	b ie t
16/215	biet	1	b ie t
16/217	biet	1	b ie t
16/219	biet	1	b ie t
17/55	biet	1	b ie t
17/57	bit	1	b i t
17/59	bit	1	b i t
17/61	biet	1	b ie t
17/63	bid	1	b i d
17/65	bit	1	b i t
17/67	bit	1	b i t
17/69	bied	1	b ie d
17/81	bit	1	b i t
