locations	strings	cognateID	alignments
001/203	dresch	1	d r e sch
002/201	dresch	1	d r e sch
002/203	dresch	1	d r e sch
002/205	dresch	1	d r e sch
003/203	dresch	1	d r e sch
003/205	dreschsch	1	d r e sch sch
004/205	dresch	1	d r e sch
005/205	dräsch	1	d r ä sch
005/207	dresch	1	d r e sch
006/205	dresch	1	d r e sch
006/207	dresch	1	d r e sch
007/205	dresch	1	d r e sch
007/207	dräsch	1	d r ä sch
007/209	dresch	1	d r e sch
007/211	dresch	1	d r e sch
008/199	dresch	1	d r e sch
008/203	dresch	1	d r e sch
008/205	dresch	1	d r e sch
008/207	dresch	1	d r e sch
008/209	dresch	1	d r e sch
008/211	dräsch	1	d r ä sch
008/213	dresch	1	d r e sch
009/199	dresch	1	d r e sch
009/203	dresch	1	d r e sch
009/207	dresch	1	d r e sch
009/209	dresch	1	d r e sch
009/211	dresch	1	d r e sch
009/213	dresch	1	d r e sch
009/215	dresch	1	d r e sch
009/217	dresch	1	d r e sch
010/195	dresch	1	d r e sch
010/203	dresch	1	d r e sch
010/207	dresch	1	d r e sch
010/209	dresch	1	d r e sch
010/211	dresch	1	d r e sch
010/213	dresch	1	d r e sch
010/215	dresch	1	d r e sch
010/217	dresch	1	d r e sch
010/219	dresch	1	d r e sch
011/049	tesk	1	t e s k
011/053	tosk	1	t o s k
011/055	tosk	1	t o s k
011/057	toesk	1	t oe s k
011/059	tosk	1	t o s k
011/061	tosk	1	t o s k
011/063	toosk	1	t oo s k
011/065	tosk	1	t o s k
011/067	täsk	1	t ä s k
011/069	torsk	1	t o r s k
011/187	dresch	1	d r e sch
011/189	dresch	1	d r e sch
011/191	dresch	1	d r e sch
011/195	dresch	1	d r e sch
011/197	dresch	1	d r e sch
011/203	dresch	1	d r e sch
011/205	dresch	1	d r e sch
011/207	dresch	1	d r e sch
011/209	dresch	1	d r e sch
011/211	dresch	1	d r e sch
011/213	dresch	1	d r e sch
011/215	dräsch	1	d r ä sch
011/217	dresch	1	d r e sch
011/219	dresch	1	d r e sch
012/047	tersk	1	t e r s k
012/049	täärsk	1	t ää r s k
012/051	tjask	1	t j a s k
012/053	täsk	1	t ä s k
012/055	täsk	1	t ä s k
012/057	täsk	1	t ä s k
012/059	toesk	1	t oe s k
012/061	toss	1	t o ss
012/063	toesk	1	t oe s k
012/065	toesk	1	t oe s k
012/067	tosk	1	t o s k
012/069	täsk	1	t ä s k
012/187	dresch	1	d r e sch
012/189	dresch	1	d r e sch
012/191	dresch	1	d r e sch
012/193	dresch	1	d r e sch
012/195	dresch	1	d r e sch
012/197	dresch	1	d r e sch
012/199	dresch	1	d r e sch
012/201	dresch	1	d r e sch
012/203	dresch	1	d r e sch
012/205	dresch	1	d r e sch
012/207	dresch	1	d r e sch
012/209	dresch	1	d r e sch
012/211	dresch	1	d r e sch
012/213	dresch	1	d r e sch
012/215	dresch	1	d r e sch
012/217	dresch	1	d r e sch
012/219	dresch	1	d r e sch
012/221	dräsch	1	d r ä sch
012/223	dresch	1	d r e sch
013/051	tiask	1	t ia s k
013/053	tjarsk	1	t j a r s k
013/055	tjarsch	1	t j a r sch
013/057	tosk	1	t o s k
013/059	tesk	1	t e s k
013/061	drösch	1	d r ö sch
013/063	dösch	1	d ö sch
013/065	dösch	1	d ö sch
013/067	dösch	1	d ö sch
013/161	dresch	1	d r e sch
013/163	dresch	1	d r e sch
013/165	dresch	1	d r e sch
013/167	dresch	1	d r e sch
013/187	dresch	1	d r e sch
013/189	dresch	1	d r e sch
013/191	dresch	1	d r e sch
013/193	dresch	1	d r e sch
013/195	dresch	1	d r e sch
013/197	dresch	1	d r e sch
013/199	dresch	1	d r e sch
013/201	dresch	1	d r e sch
013/203	dresch	1	d r e sch
013/207	draesch	1	d r ae sch
013/209	dresch	1	d r e sch
013/211	dresch	1	d r e sch
013/213	dräsch	1	d r ä sch
013/215	dresch	1	d r e sch
013/217	dresch	1	d r e sch
013/219	dresch	1	d r e sch
013/221	dresch	1	d r e sch
013/223	dresch	1	d r e sch
014/047	tharsk	1	t h a r s k
014/049	thask	1	t h a s k
014/051	taask	1	t aa s k
014/053	tirsch	1	t i r sch
014/055	tersch	1	t e r sch
014/057	teask	1	t ea s k
014/059	dösch	1	d ö sch
