locations	strings	cognateID	alignments
001/203	höch	1	h ö ch
002/201	höch	1	h ö ch
002/203	höchch	1	h ö ch ch
002/205	höch	1	h ö ch
003/203	höchch	1	h ö ch ch
003/205	heeg	1	h ee g
004/205	höchch	1	h ö ch ch
005/205	höch	1	h ö ch
005/207	hög	1	h ö g
006/205	höch	1	h ö ch
006/207	hech	1	h e ch
007/205	höchch	1	h ö ch ch
007/207	höch	1	h ö ch
007/209	höch	1	h ö ch
007/211	höch	1	h ö ch
008/199	höech	1	h öe ch
008/203	höch	1	h ö ch
008/205	hech	1	h e ch
008/207	höch	1	h ö ch
008/209	höch	1	h ö ch
008/211	höch	1	h ö ch
008/213	hech	1	h e ch
009/199	höchch	1	h ö ch ch
009/203	höch	1	h ö ch
009/207	höch	1	h ö ch
009/209	höch	1	h ö ch
009/211	höch	1	h ö ch
009/213	höch	1	h ö ch
009/215	höchch	1	h ö ch ch
009/217	höch	1	h ö ch
010/195	höch	1	h ö ch
010/203	höch	1	h ö ch
010/207	höch	1	h ö ch
010/209	hööch	1	h öö ch
010/211	höch	1	h ö ch
010/213	hech	1	h e ch
010/215	höchch	1	h ö ch ch
010/217	höch	1	h ö ch
010/219	höch	1	h ö ch
011/049	hoch	1	h o ch
011/053	hy	1	h y
011/055	hy	1	h y
011/057	hy	1	h y
011/059	hy	1	h y
011/061	höi	1	h öi
011/063	hy	1	h y
011/065	hy	1	h y
011/067	höi	1	h öi
011/069	hoi	1	h oi
011/187	höch	1	h ö ch
011/189	höchch	1	h ö ch ch
011/191	höch	1	h ö ch
011/195	höchch	1	h ö ch ch
011/197	höch	1	h ö ch
011/203	höch	1	h ö ch
011/205	höchch	1	h ö ch ch
011/207	heeh	1	h eeh
011/209	höch	1	h ö ch
011/211	höchch	1	h ö ch ch
011/213	höch	1	h ö ch
011/215	höch	1	h ö ch
011/217	höch	1	h ö ch
011/219	höch	1	h ö ch
012/047	hog	1	h o g
012/049	hoog	1	h oo g
012/051	hug	1	h u g
012/053	hü	1	h ü
012/055	hy	1	h y
012/057	hy	1	h y
012/059	hy	1	h y
012/061	hy	1	h y
012/063	höi	1	h öi
012/065	hy	1	h y
012/067	höj	1	h ö j
012/069	höi	1	h öi
012/187	höch	1	h ö ch
012/189	höch	1	h ö ch
012/191	hog	1	h o g
012/193	höch	1	h ö ch
012/195	höch	1	h ö ch
012/197	höch	1	h ö ch
012/199	höch	1	h ö ch
012/201	höch	1	h ö ch
012/203	höch	1	h ö ch
012/205	höch	1	h ö ch
012/207	höch	1	h ö ch
012/209	hech	1	h e ch
012/211	höch	1	h ö ch
012/213	höchch	1	h ö ch ch
012/215	höög	1	h öö g
012/217	höch	1	h ö ch
012/219	höch	1	h ö ch
012/221	höch	1	h ö ch
012/223	höch	1	h ö ch
013/051	hug	1	h u g
013/053	hug	1	h u g
013/055	hug	1	h u g
013/057	hy	1	h y
013/059	höi	1	h öi
013/061	hög	1	h ö g
013/063	höch	1	h ö ch
013/065	höög	1	h öö g
013/067	hög	1	h ö g
013/161	hög	1	h ö g
013/163	hög	1	h ö g
013/165	hög	1	h ö g
013/167	hög	1	h ö g
013/187	höch	1	h ö ch
013/189	hech	1	h e ch
013/191	höch	1	h ö ch
013/193	höch	1	h ö ch
013/195	höch	1	h ö ch
013/197	höch	1	h ö ch
013/199	höch	1	h ö ch
013/201	höch	1	h ö ch
013/203	höch	1	h ö ch
013/207	hey	1	h ey
013/209	höchch	1	h ö ch ch
013/211	höchch	1	h ö ch ch
013/213	hechch	1	h e ch ch
013/215	höch	1	h ö ch
013/217	höchch	1	h ö ch ch
013/219	höch	1	h ö ch
013/221	hög	1	h ö g
013/223	höch	1	h ö ch
014/047	hugh	1	h u g h
014/049	hug	1	h u g
014/051	hug	1	h u g
014/053	hug	1	h u g
014/055	hug	1	h u g
014/057	huch	1	h u ch
014/059	hög	1	h ö g
014/061	höch	1	h ö ch
014/063	höch	1	h ö ch
014/065	höch	1	h ö ch
014/067	hööch	1	h öö ch
014/109	hög	1	h ö g
014/159	heg	1	h e g
014/161	heg	1	h e g
014/163	hög	1	h ö g
014/165	höj	1	h ö j
014/167	höh	1	h öh
014/169	höh	1	h öh
014/187	höch	1	h ö ch
014/189	höch	1	h ö ch
014/191	höch	1	h ö ch
014/193	höch	1	h ö ch
014/195	höch	1	h ö ch
014/197	hech	1	h e ch
014/199	höchch	1	h ö ch ch
014/201	höch	1	h ö ch
014/203	höch	1	h ö ch
014/205	höch	1	h ö ch
014/207	hög	1	h ö g
014/209	höch	1	h ö ch
014/211	höch	1	h ö ch
014/213	hög	1	h ö g
014/215	höch	1	h ö ch
014/217	höch	1	h ö ch
014/219	hög	1	h ö g
014/221	höch	1	h ö ch
015/049	hugh	1	h u g h
015/051	hugh	1	h u g h
015/053	hugh	1	h u g h
015/055	hug	1	h u g
015/057	hug	1	h u g
015/059	hög	1	h ö g
015/061	hög	1	h ö g
015/063	hög	1	h ö g
015/065	hög	1	h ö g
015/067	hög	1	h ö g
015/105	hög	1	h ö g
015/107	hög	1	h ö g
015/109	hög	1	h ö g
015/151	heg	1	h e g
015/153	heg	1	h e g
015/155	hög	1	h ö g
015/157	hög	1	h ö g
015/159	hej	1	h e j
015/161	hög	1	h ö g
015/163	hög	1	h ö g
015/165	hej	1	h e j
015/167	hög	1	h ö g
015/169	heg	1	h e g
015/173	hög	1	h ö g
015/187	höchch	1	h ö ch ch
015/191	häch	1	h ä ch
015/193	höch	1	h ö ch
015/195	hechch	1	h e ch ch
015/197	höch	1	h ö ch
015/199	hech	1	h e ch
015/201	höch	1	h ö ch
015/203	höch	1	h ö ch
015/205	höchch	1	h ö ch ch
015/207	höhch	1	h öh ch
015/209	höch	1	h ö ch
015/211	höch	1	h ö ch
015/213	höch	1	h ö ch
015/215	hoäch	1	h oä ch
015/217	höch	1	h ö ch
015/219	höch	1	h ö ch
015/221	höch	1	h ö ch
016/051	huch	1	h u ch
016/055	hug	1	h u g
016/057	höch	1	h ö ch
016/059	höch	1	h ö ch
016/061	höch	1	h ö ch
016/063	höch	1	h ö ch
016/065	hög	1	h ö g
016/067	hög	1	h ö g
016/081	hög	1	h ö g
016/083	hög	1	h ö g
016/105	hög	1	h ö g
016/107	hög	1	h ö g
016/109	hög	1	h ö g
016/111	höj	1	h ö j
016/145	hög	1	h ö g
016/147	hög	1	h ö g
016/149	hög	1	h ö g
016/151	heeg	1	h ee g
016/153	hög	1	h ö g
016/155	heg	1	h e g
016/157	hög	1	h ö g
016/159	hej	1	h e j
016/161	hög	1	h ö g
016/163	heg	1	h e g
016/165	höj	1	h ö j
016/167	höh	1	h öh
016/187	höch	1	h ö ch
016/189	höch	1	h ö ch
016/191	höch	1	h ö ch
016/193	höch	1	h ö ch
016/195	höch	1	h ö ch
016/197	höch	1	h ö ch
016/199	höch	1	h ö ch
016/201	höch	1	h ö ch
016/203	höch	1	h ö ch
016/205	höch	1	h ö ch
016/209	höch	1	h ö ch
016/211	höch	1	h ö ch
016/213	höch	1	h ö ch
016/215	höch	1	h ö ch
016/217	höch	1	h ö ch
016/219	höch	1	h ö ch
017/055	hög	1	h ö g
017/057	hög	1	h ö g
017/059	hög	1	h ö g
017/061	hög	1	h ö g
017/063	höch	1	h ö ch
017/065	hög	1	h ö g
017/067	hög	1	h ö g
017/069	hög	1	h ö g
017/081	höch	1	h ö ch
017/083	hög	1	h ö g
017/099	hög	1	h ö g
017/101	hög	1	h ö g
017/103	hög	1	h ö g
017/107	hög	1	h ö g
017/109	hög	1	h ö g
017/145	hög	1	h ö g
017/147	hög	1	h ö g
017/149	hög	1	h ö g
017/151	hög	1	h ö g
017/153	hög	1	h ö g
017/155	hög	1	h ö g
017/157	hög	1	h ö g
017/159	heg	1	h e g
017/161	hög	1	h ö g
017/163	hög	1	h ö g
017/165	NA	NA	-
017/169	höch	1	h ö ch
017/171	hech	1	h e ch
017/183	höchch	1	h ö ch ch
017/185	hech	1	h e ch
017/187	höch	1	h ö ch
017/189	höchch	1	h ö ch ch
017/191	höch	1	h ö ch
017/193	höch	1	h ö ch
017/195	höch	1	h ö ch
017/197	hech	1	h e ch
017/199	hech	1	h e ch
017/201	höch	1	h ö ch
017/203	hech	1	h e ch
017/205	höh	1	h öh
017/207	höch	1	h ö ch
017/209	höch	1	h ö ch
017/211	höch	1	h ö ch
017/213	hech	1	h e ch
017/215	höch	1	h ö ch
017/217	höch	1	h ö ch
017/219	höch	1	h ö ch
018/051	höch	1	h ö ch
018/053	hög	1	h ö g
018/055	höch	1	h ö ch
018/057	höög	1	h öö g
018/059	höch	1	h ö ch
018/061	hög	1	h ö g
018/063	höch	1	h ö ch
018/065	höch	1	h ö ch
018/067	hög	1	h ö g
018/069	hög	1	h ö g
018/071	hög	1	h ö g
018/073	höög	1	h öö g
018/075	hög	1	h ö g
018/079	hög	1	h ö g
018/081	hög	1	h ö g
018/097	hög	1	h ö g
018/099	hög	1	h ö g
018/103	hög	1	h ö g
018/105	hög	1	h ö g
018/107	hög	1	h ö g
018/109	hög	1	h ö g
018/111	hög	1	h ö g
018/143	hög	1	h ö g
018/145	hög	1	h ö g
018/147	hög	1	h ö g
018/149	hög	1	h ö g
018/151	heg	1	h e g
018/153	hög	1	h ö g
018/155	hög	1	h ö g
018/157	hög	1	h ö g
018/159	heg	1	h e g
018/161	hög	1	h ö g
018/163	höj	1	h ö j
018/165	häg	1	h ä g
018/169	höch	1	h ö ch
018/171	heej	1	h ee j
018/173	höch	1	h ö ch
018/181	hech	1	h e ch
018/185	höch	1	h ö ch
018/187	höch	1	h ö ch
018/189	höchch	1	h ö ch ch
