locations	strings	cognateID	alignments
001/203	oss	1	o ss
002/201	oss	1	o ss
002/203	ochs	1	o ch s
002/205	os	1	o s
003/203	ochs	1	o ch s
003/205	os	1	o s
004/205	os	1	o s
005/205	oss	1	o ss
005/207	oss	1	o ss
006/205	oss	1	o ss
006/207	oss	1	o ss
007/205	oks	1	o k s
007/207	oss	1	o ss
007/209	oss	1	o ss
007/211	oss	1	o ss
008/199	oss	1	o ss
008/203	oss	1	o ss
008/205	oss	1	o ss
008/207	ochs	1	o ch s
008/209	oss	1	o ss
008/211	oks	1	o k s
008/213	oks	1	o k s
009/199	oss	1	o ss
009/203	oss	1	o ss
009/207	ochs	1	o ch s
009/209	oss	1	o ss
009/211	oss	1	o ss
009/213	oss	1	o ss
009/215	oss	1	o ss
009/217	ocks	1	o ck s
010/195	oss	1	o ss
010/203	oss	1	o ss
010/207	oss	1	o ss
010/209	oss	1	o ss
010/211	ocks	1	o ck s
010/213	ochs	1	o ch s
010/215	ocks	1	o ck s
010/217	oks	1	o k s
010/219	oks	1	o k s
011/049	ochs	1	o ch s
011/053	stuer	1	s t ue r
011/055	stur	1	s t u r
011/057	stuer	1	s t ue r
011/059	stuer	1	s t ue r
011/061	stud	1	s t u d
011/063	stue	1	s t ue
011/065	aus	1	au s
011/067	ows	1	o w s
011/069	stu	1	s t u
011/187	oss	1	o ss
011/189	oss	1	o ss
011/191	oass	1	oa ss
011/195	oss	1	o ss
011/197	oass	1	oa ss
011/203	ocks	1	o ck s
011/205	oss	1	o ss
011/207	oss	1	o ss
011/209	oss	1	o ss
011/211	oss	1	o ss
011/213	ocks	1	o ck s
011/215	ocks	1	o ck s
011/217	oss	1	o ss
011/219	ochs	1	o ch s
012/047	aus	1	au s
012/049	aus	1	au s
012/051	stier	1	s t ie r
012/053	stur	1	s t u r
012/055	stuur	1	s t uu r
012/057	stur	1	s t u r
012/059	stue	1	s t ue
012/061	stue	1	s t ue
012/063	aus	1	au s
012/065	stue	1	s t ue
012/067	aus	1	au s
012/069	aus	1	au s
012/187	oss	1	o ss
012/189	oss	1	o ss
012/191	oss	1	o ss
012/193	oss	1	o ss
012/195	oss	1	o ss
012/197	oss	1	o ss
012/199	oss	1	o ss
012/201	oss	1	o ss
012/203	oss	1	o ss
012/205	oss	1	o ss
012/207	oss	1	o ss
012/209	oss	1	o ss
012/211	oss	1	o ss
012/213	ochs	1	o ch s
012/215	ochs	1	o ch s
012/217	ochs	1	o ch s
012/219	ocks	1	o ck s
012/221	ochs	1	o ch s
012/223	oks	1	o k s
013/051	stier	1	s t ie r
013/053	stiir	1	s t ii r
013/055	stiir	1	s t ii r
013/057	stur	1	s t u r
013/059	stuer	1	s t ue r
013/061	oss	1	o ss
013/063	oass	1	oa ss
013/065	oss	1	o ss
013/067	oss	1	o ss
013/161	oss	1	o ss
013/163	oss	1	o ss
013/165	oss	1	o ss
013/167	oss	1	o ss
013/187	oss	1	o ss
013/189	oass	1	oa ss
013/191	oss	1	o ss
013/193	oss	1	o ss
013/195	oass	1	oa ss
013/197	oass	1	oa ss
013/199	oass	1	oa ss
013/201	oss	1	o ss
013/203	oss	1	o ss
013/207	oss	1	o ss
013/209	oss	1	o ss
013/211	ochs	1	o ch s
013/213	oss	1	o ss
013/215	ochs	1	o ch s
013/217	ocks	1	o ck s
013/219	ochs	1	o ch s
013/221	ochs	1	o ch s
013/223	ochs	1	o ch s
014/047	oks	1	o k s
014/049	oks	1	o k s
014/051	ocks	1	o ck s
014/053	oks	1	o k s
014/055	stier	1	s t ie r
014/057	stier	1	s t ie r
014/059	oss	1	o ss
014/061	oss	1	o ss
014/063	oss	1	o ss
014/065	oss	1	o ss
014/067	oss	1	o ss
014/109	oss	1	o ss
014/159	oss	1	o ss
014/161	oss	1	o ss
014/163	oss	1	o ss
014/165	oss	1	o ss
014/167	oss	1	o ss
014/169	oss	1	o ss
014/187	oss	1	o ss
014/189	osz	1	o s z
014/191	oss	1	o ss
014/193	oass	1	oa ss
014/195	oss	1	o ss
014/197	oass	1	oa ss
014/199	oss	1	o ss
014/201	oass	1	oa ss
014/203	oss	1	o ss
014/205	oss	1	o ss
014/207	oss	1	o ss
014/209	oss	1	o ss
014/211	ochs	1	o ch s
014/213	oks	1	o k s
014/215	ocks	1	o ck s
014/217	ochs	1	o ch s
014/219	ochs	1	o ch s
014/221	ochs	1	o ch s
015/049	oks	1	o k s
015/051	ooks	1	oo k s
015/053	ooks	1	oo k s
015/055	ochs	1	o ch s
015/057	ocks	1	o ck s
015/059	oss	1	o ss
015/061	ahss	1	ah ss
015/063	oss	1	o ss
015/065	oss	1	o ss
015/067	oss	1	o ss
015/105	oss	1	o ss
015/107	oss	1	o ss
015/109	oss	1	o ss
015/151	oss	1	o ss
015/153	oss	1	o ss
015/155	oss	1	o ss
015/157	oss	1	o ss
015/159	oss	1	o ss
015/161	oss	1	o ss
015/163	oss	1	o ss
015/165	oss	1	o ss
015/167	oss	1	o ss
015/169	oss	1	o ss
015/173	oss	1	o ss
015/187	oss	1	o ss
015/191	oass	1	oa ss
015/193	oss	1	o ss
015/195	oss	1	o ss
015/197	oss	1	o ss
015/199	oass	1	oa ss
015/201	oss	1	o ss
015/203	oss	1	o ss
015/205	oss	1	o ss
015/207	oss	1	o ss
015/209	oss	1	o ss
015/211	oss	1	o ss
015/213	ochs	1	o ch s
015/215	ocks	1	o ck s
015/217	ochs	1	o ch s
015/219	oks	1	o k s
015/221	ocks	1	o ck s
016/051	ooks	1	oo k s
016/055	eeks	1	ee k s
016/057	oss	1	o ss
016/059	oss	1	o ss
016/061	oss	1	o ss
016/063	oss	1	o ss
016/065	oss	1	o ss
016/067	oss	1	o ss
016/081	oss	1	o ss
016/083	oss	1	o ss
016/105	oss	1	o ss
016/107	oss	1	o ss
016/109	oss	1	o ss
016/111	oss	1	o ss
016/145	oss	1	o ss
016/147	oss	1	o ss
016/149	oss	1	o ss
016/151	oss	1	o ss
016/153	oss	1	o ss
016/155	oss	1	o ss
016/157	oss	1	o ss
016/159	oss	1	o ss
016/161	oss	1	o ss
016/163	oss	1	o ss
016/165	oss	1	o ss
016/167	oss	1	o ss
016/187	oss	1	o ss
016/189	oass	1	oa ss
016/191	oss	1	o ss
016/193	oas	1	oa s
016/195	os	1	o s
016/197	oas	1	oa s
016/199	oss	1	o ss
016/201	oass	1	oa ss
016/203	oss	1	o ss
016/205	oss	1	o ss
016/209	oss	1	o ss
016/211	ochs	1	o ch s
016/213	ocks	1	o ck s
016/215	ochs	1	o ch s
016/217	oss	1	o ss
016/219	ocks	1	o ck s
017/055	oss	1	o ss
017/057	oss	1	o ss
017/059	oss	1	o ss
017/061	oss	1	o ss
017/063	oss	1	o ss
017/065	oss	1	o ss
017/067	oss	1	o ss
017/069	oss	1	o ss
017/081	oss	1	o ss
017/083	oss	1	o ss
017/099	oss	1	o ss
017/101	oss	1	o ss
017/103	oss	1	o ss
017/107	oss	1	o ss
017/109	oss	1	o ss
017/145	osz	1	o s z
017/147	oss	1	o ss
017/149	oss	1	o ss
017/151	oss	1	o ss
017/153	oss	1	o ss
017/155	oss	1	o ss
017/157	oss	1	o ss
017/159	oss	1	o ss
017/161	oss	1	o ss
017/163	oss	1	o ss
017/165	oss	1	o ss
017/169	ohss	1	oh ss
017/171	oss	1	o ss
017/183	oss	1	o ss
017/185	oss	1	o ss
017/187	oss	1	o ss
017/189	oass	1	oa ss
017/191	oss	1	o ss
017/193	oass	1	oa ss
017/195	oss	1	o ss
017/197	oss	1	o ss
017/199	oss	1	o ss
017/201	oss	1	o ss
017/203	oss	1	o ss
017/205	oss	1	o ss
017/207	oss	1	o ss
017/209	ochs	1	o ch s
017/211	ochs	1	o ch s
017/213	ochs	1	o ch s
017/215	ochs	1	o ch s
017/217	ochs	1	o ch s
017/219	oks	1	o k s
018/051	ass	1	a ss
018/053	oss	1	o ss
018/055	oss	1	o ss
018/057	oss	1	o ss
018/059	oss	1	o ss
018/061	oss	1	o ss
018/063	oss	1	o ss
018/065	oss	1	o ss
018/067	aoss	1	ao ss
018/069	oss	1	o ss
018/071	oss	1	o ss
018/073	oss	1	o ss
018/075	os	1	o s
018/079	oss	1	o ss
018/081	oss	1	o ss
018/097	oss	1	o ss
018/099	oss	1	o ss
018/103	oss	1	o ss
018/105	oss	1	o ss
018/107	oss	1	o ss
018/109	oss	1	o ss
018/111	oss	1	o ss
018/143	oss	1	o ss
018/145	oss	1	o ss
018/147	oss	1	o ss
018/149	oss	1	o ss
018/151	oss	1	o ss
018/153	oss	1	o ss
018/155	oss	1	o ss
018/157	oss	1	o ss
018/159	oss	1	o ss
018/161	oss	1	o ss
018/163	oss	1	o ss
018/165	oss	1	o ss
018/169	oss	1	o ss
018/171	oss	1	o ss
018/173	oss	1	o ss
018/181	oss	1	o ss
018/185	oss	1	o ss
018/187	oss	1	o ss
018/189	ooss	1	oo ss
018/191	oss	1	o ss
018/193	oss	1	o ss
018/195	oss	1	o ss
018/197	oass	1	oa ss
018/199	ass	1	a ss
018/201	oass	1	oa ss
018/203	oss	1	o ss
018/205	oss	1	o ss
018/207	ohss	1	oh ss
