locations	strings	cognateID	alignments
001/203	schön	1	sch ö n
002/201	schen	1	sch e n
002/203	schön	1	sch ö n
002/205	schön	1	sch ö n
003/203	schön	1	sch ö n
003/205	schön	1	sch ö n
004/205	schön	1	sch ö n
005/205	NA	NA	-
005/207	schön	1	sch ö n
006/205	schön	1	sch ö n
006/207	schön	1	sch ö n
007/205	schön	1	sch ö n
007/207	schön	1	sch ö n
007/209	schön	1	sch ö n
007/211	schön	1	sch ö n
008/199	schön	1	sch ö n
008/203	schön	1	sch ö n
008/205	hübsche	1	h ü b sch e
008/207	schön	1	sch ö n
008/209	schön	1	sch ö n
008/211	schön	1	sch ö n
008/213	schen	1	sch e n
009/199	scheen	1	sch ee n
009/203	schön	1	sch ö n
009/207	schön	1	sch ö n
009/209	scheen	1	sch ee n
009/211	schön	1	sch ö n
009/213	schön	1	sch ö n
009/215	schön	1	sch ö n
009/217	hübsche	1	h ü b sch e
010/195	schön	1	sch ö n
010/203	hübsche	1	h ü b sch e
010/207	schen	1	sch e n
010/209	NA	NA	-
010/211	schön	1	sch ö n
010/213	hübsche	1	h ü b sch e
010/215	schön	1	sch ö n
010/217	schön	1	sch ö n
010/219	schön	1	sch ö n
011/049	feine	1	f ei n e
011/053	kön	1	k ö n
011/055	kön	1	k ö n
011/057	köen	1	k öe n
011/059	kön	1	k ö n
011/061	köen	1	k öe n
011/063	köhn	1	k öh n
011/065	köhn	1	k öh n
011/067	schmuk	1	sch m u k
011/069	smuk	1	s m u k
011/187	schön	1	sch ö n
011/189	schen	1	sch e n
011/191	schön	1	sch ö n
011/195	schen	1	sch e n
011/197	scheen	1	sch ee n
011/203	NA	NA	-
011/205	schön	1	sch ö n
011/207	scheen	1	sch ee n
011/209	scheen	1	sch ee n
011/211	schön	1	sch ö n
011/213	scheen	1	sch ee n
011/215	scheen	1	sch ee n
011/217	schön	1	sch ö n
011/219	NA	NA	-
012/047	dejilk	1	d e j i l k
012/049	deilk	1	d ei l k
012/051	keem	1	k ee m
012/053	köön	1	k öö n
012/055	kön	1	k ö n
012/057	kön	1	k ö n
012/059	köen	1	k öe n
012/061	kön	1	k ö n
012/063	kön	1	k ö n
012/065	smuk	1	s m u k
012/067	smuk	1	s m u k
012/069	smuk	1	s m u k
012/187	schön	1	sch ö n
012/189	schön	1	sch ö n
012/191	schön	1	sch ö n
012/193	schön	1	sch ö n
012/195	schön	1	sch ö n
012/197	schen	1	sch e n
012/199	schön	1	sch ö n
012/201	schön	1	sch ö n
012/203	schön	1	sch ö n
012/205	schön	1	sch ö n
012/207	schön	1	sch ö n
012/209	scheen	1	sch ee n
012/211	schön	1	sch ö n
012/213	hibsche	1	h i b sch e
012/215	schön	1	sch ö n
012/217	schön	1	sch ö n
012/219	hübsche	1	h ü b sch e
012/221	hübbsche	1	h ü bb sch e
012/223	hipsche	1	h i p sch e
013/051	kehn	1	k eh n
013/053	shöön	1	s h öö n
013/055	schön	1	sch ö n
013/057	kön	1	k ö n
013/059	kjön	1	k j ö n
013/061	schön	1	sch ö n
013/063	feine	1	f ei n e
013/065	schön	1	sch ö n
013/067	NA	NA	-
013/161	schön	1	sch ö n
013/163	schön	1	sch ö n
013/165	schön	1	sch ö n
013/167	schen	1	sch e n
013/187	scheen	1	sch ee n
013/189	scheen	1	sch ee n
013/191	schen	1	sch e n
013/193	schön	1	sch ö n
013/195	schön	1	sch ö n
013/197	schön	1	sch ö n
013/199	schön	1	sch ö n
013/201	hipsche	1	h i p sch e
013/203	schen	1	sch e n
013/207	scheen	1	sch ee n
013/209	schön	1	sch ö n
013/211	hübsche	1	h ü b sch e
013/213	schön	1	sch ö n
013/215	schön	1	sch ö n
013/217	schön	1	sch ö n
013/219	schön	1	sch ö n
013/221	schön	1	sch ö n
013/223	schön	1	sch ö n
014/047	smuk	1	s m u k
014/049	net	1	n e t
014/051	nett	1	n e tt
014/053	schön	1	sch ö n
014/055	smake	1	s m a k e
014/057	NA	NA	-
014/059	schön	1	sch ö n
014/061	schön	1	sch ö n
014/063	feine	1	f ei n e
014/065	schön	1	sch ö n
014/067	schön	1	sch ö n
014/109	feine	1	f ei n e
014/159	schen	1	sch e n
014/161	schen	1	sch e n
014/163	schön	1	sch ö n
014/165	schen	1	sch e n
014/167	schön	1	sch ö n
014/169	schön	1	sch ö n
014/187	schen	1	sch e n
014/189	schön	1	sch ö n
014/191	schön	1	sch ö n
014/193	scheen	1	sch ee n
014/195	schön	1	sch ö n
014/197	schön	1	sch ö n
014/199	schön	1	sch ö n
014/201	schön	1	sch ö n
014/203	schön	1	sch ö n
014/205	schön	1	sch ö n
014/207	schön	1	sch ö n
014/209	schön	1	sch ö n
014/211	schön	1	sch ö n
014/213	schön	1	sch ö n
014/215	scheen	1	sch ee n
014/217	schön	1	sch ö n
014/219	schön	1	sch ö n
014/221	NA	NA	-
015/049	smuk	1	s m u k
015/051	smokke	1	s m o kk e
015/053	smuke	1	s m u k e
015/055	schön	1	sch ö n
015/057	schön	1	sch ö n
015/059	schön	1	sch ö n
015/061	schön	1	sch ö n
015/063	schön	1	sch ö n
015/065	schön	1	sch ö n
015/067	smukke	1	s m u kk e
015/105	schön	1	sch ö n
015/107	schön	1	sch ö n
015/109	schön	1	sch ö n
015/151	schen	1	sch e n
015/153	schehn	1	sch eh n
015/155	schön	1	sch ö n
015/157	schön	1	sch ö n
015/159	schen	1	sch e n
015/161	NA	NA	-
015/163	schön	1	sch ö n
015/165	schön	1	sch ö n
015/167	schön	1	sch ö n
015/169	schön	1	sch ö n
015/173	scheen	1	sch ee n
015/187	schön	1	sch ö n
015/191	schen	1	sch e n
015/193	schön	1	sch ö n
015/195	schen	1	sch e n
015/197	schön	1	sch ö n
015/199	NA	NA	-
015/201	übsche	1	ü b sch e
015/203	schön	1	sch ö n
015/205	schön	1	sch ö n
015/207	schön	1	sch ö n
015/209	schön	1	sch ö n
015/211	schön	1	sch ö n
