locations	strings	cognateID	alignments
001/203	selwst	1	s e l w s t
002/201	sölfst	1	s ö l f s t
002/203	sölfst	1	s ö l f s t
002/205	seliwst	1	s e l i w s t
003/203	sölfst	1	s ö l f s t
003/205	selwst	1	s e l w s t
004/205	sölwst	1	s ö l w s t
005/205	sölfst	1	s ö l f s t
005/207	sälfst	1	s ä l f s t
006/205	selwst	1	s e l w s t
006/207	selfst	1	s e l f s t
007/205	selwst	1	s e l w s t
007/207	selfst	1	s e l f s t
007/209	söllwst	1	s ö ll w s t
007/211	sölfst	1	s ö l f s t
008/199	selwst	1	s e l w s t
008/203	sölwst	1	s ö l w s t
008/205	selwst	1	s e l w s t
008/207	selfst	1	s e l f s t
008/209	sälwst	1	s ä l w s t
008/211	sölwst	1	s ö l w s t
008/213	seltest	1	s e l t e s t
009/199	selwst	1	s e l w s t
009/203	sölwst	1	s ö l w s t
009/207	selwst	1	s e l w s t
009/209	selwst	1	s e l w s t
009/211	selwst	1	s e l w s t
009/213	selwst	1	s e l w s t
009/215	selbst	1	s e l b s t
009/217	selwst	1	s e l w s t
010/195	selwst	1	s e l w s t
010/203	selwst	1	s e l w s t
010/207	söllwst	1	s ö ll w s t
010/209	sölwst	1	s ö l w s t
010/211	söllwst	1	s ö ll w s t
010/213	selfft	1	s e l ff t
010/215	selfst	1	s e l f s t
010/217	selwst	1	s e l w s t
010/219	sölwst	1	s ö l w s t
011/049	sallaf	1	s a ll a f
011/053	sjel	1	s j e l
011/055	sjel	1	s j e l
011/057	sjell	1	s j e ll
011/059	sjel	1	s j e l
011/061	NA	NA	-
011/063	sjoll	1	s j o ll
011/065	sjoll	1	s j o ll
011/067	sihiel	1	s i h ie l
011/069	selwt	1	s e l w t
011/187	selfst	1	s e l f s t
011/189	sölwst	1	s ö l w s t
011/191	sölfst	1	s ö l f s t
011/195	selwst	1	s e l w s t
011/197	selwst	1	s e l w s t
011/203	selwt	1	s e l w t
011/205	sölwst	1	s ö l w s t
011/207	sellfst	1	s e ll f s t
011/209	selwst	1	s e l w s t
011/211	selwst	1	s e l w s t
011/213	selwst	1	s e l w s t
011/215	selwst	1	s e l w s t
011/217	söllwst	1	s ö ll w s t
011/219	sölfst	1	s ö l f s t
012/047	salleiw	1	s a ll ei w
012/049	sallef	1	s a ll e f
012/051	schilluw	1	sch i ll u w
012/053	sjelt	1	s j e l t
012/055	själ	1	s j ä l
012/057	sjal	1	s j a l
012/059	sjel	1	s j e l
012/061	sjel	1	s j e l
012/063	sjel	1	s j e l
012/065	sjel	1	s j e l
012/067	sjel	1	s j e l
012/069	sjel	1	s j e l
012/187	sölwst	1	s ö l w s t
012/189	söllwst	1	s ö ll w s t
012/191	solwst	1	s o l w s t
012/193	selwst	1	s e l w s t
012/195	selwst	1	s e l w s t
012/197	selwst	1	s e l w s t
012/199	selwst	1	s e l w s t
012/201	selfst	1	s e l f s t
012/203	selfst	1	s e l f s t
012/205	sölfst	1	s ö l f s t
012/207	selwst	1	s e l w s t
012/209	selwst	1	s e l w s t
012/211	selwst	1	s e l w s t
012/213	selwst	1	s e l w s t
012/215	selfst	1	s e l f s t
012/217	sölwst	1	s ö l w s t
012/219	söllwst	1	s ö ll w s t
012/221	selwst	1	s e l w s t
012/223	selfst	1	s e l f s t
013/051	sielew	1	s ie l e w
013/053	sellew	1	s e ll e w
013/055	seelev	1	s ee l e v
013/057	sjel	1	s j e l
013/059	sihel	1	s i h e l
013/061	selbst	1	s e l b s t
013/063	selbe	1	s e l b e
013/065	söllm	1	s ö ll m
013/067	sülm	1	s ü l m
013/161	allein	1	a ll ei n
013/163	allein	1	a ll ei n
