locations	strings	cognateID	alignments
001/203	sick	1	s i ck
002/201	söck	1	s ö ck
002/203	sikk	1	s i kk
002/205	söch	1	s ö ch
003/203	sikk	1	s i kk
003/205	sikk	1	s i kk
004/205	söck	1	s ö ck
005/205	seck	1	s e ck
005/207	seck	1	s e ck
006/205	sick	1	s i ck
006/207	sick	1	s i ck
007/205	sik	1	s i k
007/207	seck	1	s e ck
007/209	söck	1	s ö ck
007/211	sik	1	s i k
008/199	sick	1	s i ck
008/203	sick	1	s i ck
008/205	sik	1	s i k
008/207	sich	1	s i ch
008/209	sick	1	s i ck
008/211	sick	1	s i ck
008/213	sick	1	s i ck
009/199	seck	1	s e ck
009/203	sick	1	s i ck
009/207	sick	1	s i ck
009/209	sick	1	s i ck
009/211	sick	1	s i ck
009/213	sick	1	s i ck
009/215	sick	1	s i ck
009/217	seck	1	s e ck
010/195	seck	1	s e ck
010/203	sik	1	s i k
010/207	sök	1	s ö k
010/209	sick	1	s i ck
010/211	sick	1	s i ck
010/213	seck	1	s e ck
010/215	sick	1	s i ck
010/217	sek	1	s e k
010/219	sich	1	s i ch
011/049	sick	1	s i ck
011/053	so	1	s o
011/055	se	1	s e
011/057	se	1	s e
011/059	sö	1	s ö
011/061	sö	1	s ö
011/063	ser	1	s e r
011/065	so	1	s o
011/067	sei	1	s ei
011/069	sei	1	s ei
011/187	seck	1	s e ck
011/189	söck	1	s ö ck
011/191	söck	1	s ö ck
011/195	seck	1	s e ck
011/197	söck	1	s ö ck
011/203	sick	1	s i ck
011/205	seck	1	s e ck
011/207	sick	1	s i ck
011/209	sick	1	s i ck
011/211	sich	1	s i ch
011/213	sich	1	s i ch
011/215	sich	1	s i ch
011/217	sick	1	s i ck
011/219	sick	1	s i ck
012/047	höm	1	h ö m
012/049	höm	1	h ö m
012/051	hem	1	h e m
012/053	sä	1	s ä
012/055	sä	1	s ä
012/057	sö	1	s ö
012/059	sö	1	s ö
012/061	so	1	s o
012/063	so	1	s o
012/065	so	1	s o
012/067	sej	1	s e j
012/069	sei	1	s ei
012/187	söck	1	s ö ck
012/189	söck	1	s ö ck
012/191	söck	1	s ö ck
012/193	söck	1	s ö ck
012/195	seck	1	s e ck
012/197	sick	1	s i ck
012/199	sök	1	s ö k
012/201	sek	1	s e k
012/203	sick	1	s i ck
012/205	sik	1	s i k
012/207	seck	1	s e ck
012/209	sich	1	s i ch
012/211	sik	1	s i k
012/213	sich	1	s i ch
012/215	sich	1	s i ch
012/217	sick	1	s i ck
012/219	sich	1	s i ch
012/221	sich	1	s i ch
012/223	sich	1	s i ch
013/051	NA	NA	-
013/053	ham	1	h a m
013/055	si	1	s i
013/057	sie	1	s ie
013/059	sä	1	s ä
013/061	sek	1	s e k
013/063	sik	1	s i k
013/065	sick	1	s i ck
013/067	sik	1	s i k
013/161	sick	1	s i ck
013/163	sich	1	s i ch
013/165	sich	1	s i ch
013/167	sich	1	s i ch
013/187	sick	1	s i ck
013/189	seck	1	s e ck
013/191	seck	1	s e ck
013/193	sek	1	s e k
013/195	söck	1	s ö ck
013/197	seck	1	s e ck
013/199	söck	1	s ö ck
013/201	sek	1	s e k
013/203	sekk	1	s e kk
013/207	sekk	1	s e kk
013/209	sick	1	s i ck
013/211	sich	1	s i ch
013/213	sick	1	s i ck
013/215	sich	1	s i ch
013/217	seck	1	s e ck
013/219	sick	1	s i ck
013/221	sich	1	s i ch
013/223	sik	1	s i k
014/047	ham	1	h a m
014/049	ham	1	h a m
014/051	ham	1	h a m
014/053	ham	1	h a m
014/055	ham	1	h a m
014/057	ham	1	h a m
014/059	sick	1	s i ck
014/061	sik	1	s i k
014/063	sick	1	s i ck
014/065	sik	1	s i k
014/067	sick	1	s i ck
014/109	sich	1	s i ch
014/159	sich	1	s i ch
014/161	sich	1	s i ch
014/163	sick	1	s i ck
014/165	sich	1	s i ch
014/167	sich	1	s i ch
014/169	sich	1	s i ch
014/187	söck	1	s ö ck
014/189	sek	1	s e k
014/191	seck	1	s e ck
014/193	sekk	1	s e kk
014/195	söck	1	s ö ck
014/197	sek	1	s e k
014/199	seck	1	s e ck
014/201	seck	1	s e ck
014/203	sik	1	s i k
014/205	söck	1	s ö ck
014/207	sek	1	s e k
014/209	sich	1	s i ch
014/211	sick	1	s i ck
014/213	sich	1	s i ch
014/215	sick	1	s i ck
014/217	sick	1	s i ck
014/219	sich	1	s i ch
014/221	sick	1	s i ck
015/049	ham	1	h a m
015/051	ham	1	h a m
015/053	ham	1	h a m
015/055	ham	1	h a m
015/057	hamm	1	h a mm
015/059	sick	1	s i ck
015/061	sik	1	s i k
015/063	sick	1	s i ck
015/065	sik	1	s i k
015/067	sik	1	s i k
015/105	sich	1	s i ch
015/107	sick	1	s i ck
015/109	sich	1	s i ch
015/151	sich	1	s i ch
015/153	sick	1	s i ck
