locations	strings	cognateID	alignments
001/203	docht	1	d o ch t
002/201	docht	1	d o ch t
002/203	docht	1	d o ch t
002/205	docht	1	d o ch t
003/203	docht	1	d o ch t
003/205	docht	1	d o ch t
004/205	docht	1	d o ch t
005/205	docht	1	d o ch t
005/207	docht	1	d o ch t
006/205	docht	1	d o ch t
006/207	docht	1	d o ch t
007/205	docht	1	d o ch t
007/207	docht	1	d o ch t
007/209	docht	1	d o ch t
007/211	docht	1	d o ch t
008/199	docht	1	d o ch t
008/203	docht	1	d o ch t
008/205	docht	1	d o ch t
008/207	docht	1	d o ch t
008/209	docht	1	d o ch t
008/211	docht	1	d o ch t
008/213	docht	1	d o ch t
009/199	docht	1	d o ch t
009/203	docht	1	d o ch t
009/207	docht	1	d o ch t
009/209	docht	1	d o ch t
009/211	docht	1	d o ch t
009/213	docht	1	d o ch t
009/215	docht	1	d o ch t
009/217	docht	1	d o ch t
010/195	doacht	1	d oa ch t
010/203	docht	1	d o ch t
010/207	docht	1	d o ch t
010/209	docht	1	d o ch t
010/211	docht	1	d o ch t
010/213	docht	1	d o ch t
010/215	docht	1	d o ch t
010/217	docht	1	d o ch t
010/219	docht	1	d o ch t
011/049	famen	1	f a m e n
011/053	dott	1	d o tt
011/055	dott	1	d o tt
011/057	dett	1	d e tt
011/059	dott	1	d o tt
011/061	dott	1	d o tt
011/063	dett	1	d e tt
011/065	dott	1	d o tt
011/067	dutt	1	d u tt
011/069	dadd	1	d a dd
011/187	tacht	1	t a ch t
011/189	docht	1	d o ch t
011/191	doacht	1	d oa ch t
011/195	docht	1	d o ch t
011/197	doacht	1	d oa ch t
011/203	docht	1	d o ch t
011/205	docht	1	d o ch t
011/207	docht	1	d o ch t
011/209	docht	1	d o ch t
011/211	docht	1	d o ch t
011/213	docht	1	d o ch t
011/215	docht	1	d o ch t
011/217	docht	1	d o ch t
011/219	docht	1	d o ch t
012/047	faamen	1	f aa m e n
012/049	faamen	1	f aa m e n
012/051	dogt	1	d o g t
012/053	dädd	1	d ä dd
012/055	dädd	1	d ä dd
012/057	dätt	1	d ä tt
012/059	dott	1	d o tt
012/061	dott	1	d o tt
012/063	dotd	1	d o t d
012/065	dott	1	d o tt
012/067	dott	1	d o tt
012/069	dätt	1	d ä tt
012/187	dochd	1	d o ch d
012/189	docht	1	d o ch t
012/191	docht	1	d o ch t
012/193	docht	1	d o ch t
012/195	docht	1	d o ch t
012/197	docht	1	d o ch t
012/199	docht	1	d o ch t
012/201	dacht	1	d a ch t
012/203	docht	1	d o ch t
012/205	docht	1	d o ch t
012/207	docht	1	d o ch t
012/209	docht	1	d o ch t
012/211	docht	1	d o ch t
012/213	docht	1	d o ch t
012/215	docht	1	d o ch t
012/217	docht	1	d o ch t
012/219	docht	1	d o ch t
012/221	docht	1	d o ch t
012/223	docht	1	d o ch t
013/051	docht	1	d o ch t
013/053	dooght	1	d oo g h t
013/055	dogd	1	d o g d
013/057	dott	1	d o tt
013/059	dätt	1	d ä tt
013/061	docht	1	d o ch t
013/063	daagd	1	d aa g d
013/065	dochd	1	d o ch d
013/067	dogd	1	d o g d
013/161	docht	1	d o ch t
013/163	docht	1	d o ch t
013/165	docht	1	d o ch t
013/167	docht	1	d o ch t
013/187	docht	1	d o ch t
013/189	doacht	1	d oa ch t
013/191	docht	1	d o ch t
013/193	dochd	1	d o ch d
013/195	docht	1	d o ch t
013/197	duacht	1	d ua ch t
013/199	docht	1	d o ch t
013/201	docht	1	d o ch t
013/203	docht	1	d o ch t
013/207	docht	1	d o ch t
013/209	docht	1	d o ch t
013/211	docht	1	d o ch t
013/213	docht	1	d o ch t
013/215	docht	1	d o ch t
013/217	docht	1	d o ch t
013/219	docht	1	d o ch t
013/221	docht	1	d o ch t
013/223	docht	1	d o ch t
014/047	foman	1	f o m a n
014/049	daacht	1	d aa ch t
014/051	doogd	1	d oo g d
014/053	dochd	1	d o ch d
014/055	dogt	1	d o g t
014/057	docht	1	d o ch t
014/059	dochd	1	d o ch d
014/061	dochd	1	d o ch d
014/063	docht	1	d o ch t
014/065	docht	1	d o ch t
014/067	docht	1	d o ch t
014/109	dochd	1	d o ch d
014/159	docht	1	d o ch t
014/161	docht	1	d o ch t
014/163	docht	1	d o ch t
014/165	docht	1	d o ch t
014/167	docht	1	d o ch t
014/169	docht	1	d o ch t
014/187	docht	1	d o ch t
014/189	doacht	1	d oa ch t
014/191	dochd	1	d o ch d
014/193	doacht	1	d oa ch t
014/195	docht	1	d o ch t
014/197	toacht	1	t oa ch t
014/199	docht	1	d o ch t
014/201	docht	1	d o ch t
014/203	docht	1	d o ch t
014/205	docht	1	d o ch t
014/207	docht	1	d o ch t
014/209	docht	1	d o ch t
014/211	docht	1	d o ch t
014/213	docht	1	d o ch t
014/215	docht	1	d o ch t
014/217	docht	1	d o ch t
014/219	docht	1	d o ch t
014/221	docht	1	d o ch t
015/049	foman	1	f o m a n
015/051	doght	1	d o g h t
015/053	doght	1	d o g h t
015/055	doocht	1	d oo ch t
015/057	dagd	1	d a g d
015/059	dochd	1	d o ch d
015/061	dagd	1	d a g d
015/063	dochd	1	d o ch d
015/065	docht	1	d o ch t
015/067	docht	1	d o ch t
015/105	docht	1	d o ch t
015/107	dochd	1	d o ch d
015/109	docht	1	d o ch t
015/151	dochd	1	d o ch d
015/153	dochd	1	d o ch d
015/155	docht	1	d o ch t
015/157	docht	1	d o ch t
015/159	mäke	1	m ä k e
015/161	docht	1	d o ch t
015/163	docht	1	d o ch t
015/165	docht	1	d o ch t
015/167	docht	1	d o ch t
015/169	docht	1	d o ch t
015/173	docht	1	d o ch t
015/187	dagt	1	d a g t
015/191	doacht	1	d oa ch t
015/193	docht	1	d o ch t
015/195	docht	1	d o ch t
015/197	docht	1	d o ch t
015/199	docht	1	d o ch t
015/201	docht	1	d o ch t
015/203	docht	1	d o ch t
015/205	docht	1	d o ch t
015/207	docht	1	d o ch t
015/209	docht	1	d o ch t
015/211	docht	1	d o ch t
015/213	docht	1	d o ch t
015/215	docht	1	d o ch t
015/217	docht	1	d o ch t
015/219	docht	1	d o ch t
015/221	docht	1	d o ch t
016/051	dogt	1	d o g t
016/055	dogt	1	d o g t
016/057	dochd	1	d o ch d
016/059	dochd	1	d o ch d
016/061	docht	1	d o ch t
016/063	docht	1	d o ch t
016/065	dogd	1	d o g d
016/067	dogd	1	d o g d
016/081	dochd	1	d o ch d
016/083	docht	1	d o ch t
016/105	docht	1	d o ch t
016/107	docht	1	d o ch t
016/109	docht	1	d o ch t
016/111	docht	1	d o ch t
016/145	docht	1	d o ch t
016/147	docht	1	d o ch t
016/149	docht	1	d o ch t
016/151	docht	1	d o ch t
016/153	dochd	1	d o ch d
016/155	docht	1	d o ch t
016/157	docht	1	d o ch t
016/159	docht	1	d o ch t
016/161	docht	1	d o ch t
016/163	docht	1	d o ch t
016/165	docht	1	d o ch t
016/167	docht	1	d o ch t
016/187	docht	1	d o ch t
016/189	doacht	1	d oa ch t
016/191	doacht	1	d oa ch t
016/193	doacht	1	d oa ch t
016/195	docht	1	d o ch t
016/197	doacht	1	d oa ch t
016/199	docht	1	d o ch t
016/201	doacht	1	d oa ch t
016/203	docht	1	d o ch t
016/205	docht	1	d o ch t
016/209	docht	1	d o ch t
016/211	docht	1	d o ch t
016/213	docht	1	d o ch t
016/215	docht	1	d o ch t
016/217	docht	1	d o ch t
016/219	docht	1	d o ch t
017/055	docht	1	d o ch t
017/057	docht	1	d o ch t
017/059	docht	1	d o ch t
017/061	dochd	1	d o ch d
017/063	dochd	1	d o ch d
017/065	dogd	1	d o g d
017/067	dacht	1	d a ch t
017/069	dochd	1	d o ch d
017/081	docht	1	d o ch t
017/083	dochd	1	d o ch d
017/099	docht	1	d o ch t
017/101	docht	1	d o ch t
017/103	dochd	1	d o ch d
017/107	docht	1	d o ch t
017/109	docht	1	d o ch t
017/145	docht	1	d o ch t
017/147	docht	1	d o ch t
017/149	tocht	1	t o ch t
017/151	docht	1	d o ch t
017/153	docht	1	d o ch t
017/155	docht	1	d o ch t
017/157	docht	1	d o ch t
017/159	docht	1	d o ch t
017/161	dochd	1	d o ch d
017/163	docht	1	d o ch t
017/165	docht	1	d o ch t
017/169	docht	1	d o ch t
017/171	docht	1	d o ch t
017/183	NA	NA	-
017/185	dochd	1	d o ch d
017/187	docht	1	d o ch t
017/189	doacht	1	d oa ch t
017/191	dochd	1	d o ch d
017/193	doacht	1	d oa ch t
017/195	docht	1	d o ch t
017/197	docht	1	d o ch t
017/199	docht	1	d o ch t
017/201	doacht	1	d oa ch t
017/203	docht	1	d o ch t
017/205	docht	1	d o ch t
017/207	dochd	1	d o ch d
017/209	docht	1	d o ch t
017/211	docht	1	d o ch t
017/213	docht	1	d o ch t
017/215	docht	1	d o ch t
017/217	docht	1	d o ch t
017/219	docht	1	d o ch t
018/051	dochd	1	d o ch d
018/053	docht	1	d o ch t
018/055	daachd	1	d aa ch d
018/057	dochd	1	d o ch d
018/059	dochd	1	d o ch d
018/061	docht	1	d o ch t
018/063	docht	1	d o ch t
018/065	dochd	1	d o ch d
018/067	daochd	1	d ao ch d
018/069	dochd	1	d o ch d
018/071	dochd	1	d o ch d
018/073	daacht	1	d aa ch t
018/075	daachd	1	d aa ch d
018/079	dochd	1	d o ch d
018/081	docht	1	d o ch t
018/097	docht	1	d o ch t
018/099	dogd	1	d o g d
018/103	docht	1	d o ch t
018/105	docht	1	d o ch t
018/107	dochd	1	d o ch d
018/109	docht	1	d o ch t
018/111	docht	1	d o ch t
018/143	dochd	1	d o ch d
018/145	docht	1	d o ch t
018/147	docht	1	d o ch t
018/149	docht	1	d o ch t
018/151	docht	1	d o ch t
018/153	docht	1	d o ch t
018/155	dochd	1	d o ch d
018/157	docht	1	d o ch t
018/159	docht	1	d o ch t
018/161	docht	1	d o ch t
018/163	docht	1	d o ch t
018/165	docht	1	d o ch t
018/169	docht	1	d o ch t
018/171	docht	1	d o ch t
018/173	docht	1	d o ch t
018/181	docht	1	d o ch t
018/185	docht	1	d o ch t
018/187	docht	1	d o ch t
018/189	doocht	1	d oo ch t
018/191	docht	1	d o ch t
018/193	docht	1	d o ch t
018/195	docht	1	d o ch t
018/197	doacht	1	d oa ch t
018/199	dacht	1	d a ch t
018/201	docht	1	d o ch t
018/203	dacht	1	d a ch t
018/205	docht	1	d o ch t
018/207	docht	1	d o ch t
018/209	docht	1	d o ch t
018/211	docht	1	d o ch t
018/213	docht	1	d o ch t
018/215	dächt	1	d ä ch t
018/219	docht	1	d o ch t
019/051	dochd	1	d o ch d
019/053	dochd	1	d o ch d
019/055	dochd	1	d o ch d
019/057	dochd	1	d o ch d
019/059	dochd	1	d o ch d
019/061	dagd	1	d a g d
019/063	dochd	1	d o ch d
019/065	dochd	1	d o ch d
019/067	docht	1	d o ch t
019/069	dacht	1	d a ch t
019/071	docht	1	d o ch t
019/073	dagd	1	d a g d
019/075	dacht	1	d a ch t
019/077	docht	1	d o ch t
019/079	dochd	1	d o ch d
019/081	dochd	1	d o ch d
019/097	docht	1	d o ch t
019/099	docht	1	d o ch t
019/101	dochd	1	d o ch d
019/103	dochd	1	d o ch d
019/105	dochd	1	d o ch d
019/107	dochd	1	d o ch d
019/109	dochd	1	d o ch d
019/143	docht	1	d o ch t
019/145	dochd	1	d o ch d
019/147	docht	1	d o ch t
019/149	dochd	1	d o ch d
019/151	docht	1	d o ch t
019/153	docht	1	d o ch t
019/155	docht	1	d o ch t
019/157	docht	1	d o ch t
019/159	docht	1	d o ch t
019/161	docht	1	d o ch t
019/163	docht	1	d o ch t
019/165	docht	1	d o ch t
019/167	docht	1	d o ch t
019/169	docht	1	d o ch t
019/171	docht	1	d o ch t
019/173	docht	1	d o ch t
019/175	docht	1	d o ch t
019/177	docht	1	d o ch t
019/179	docht	1	d o ch t
019/181	docht	1	d o ch t
019/183	docht	1	d o ch t
019/185	docht	1	d o ch t
019/187	dochd	1	d o ch d
