locations	strings	cognateID	alignments
001/203	ons	1	o n s
002/201	ons	1	o n s
002/203	ons	1	o n s
002/205	ons	1	o n s
003/203	ons	1	o n s
003/205	onns	1	o nn s
004/205	ons	1	o n s
005/205	ons	1	o n s
005/207	ons	1	o n s
006/205	ons	1	o n s
006/207	ons	1	o n s
007/205	ons	1	o n s
007/207	ons	1	o n s
007/209	ons	1	o n s
007/211	ons	1	o n s
008/199	ons	1	o n s
008/203	ons	1	o n s
008/205	ons	1	o n s
008/207	ons	1	o n s
008/209	ons	1	o n s
008/211	onns	1	o nn s
008/213	ons	1	o n s
009/199	ons	1	o n s
009/203	ons	1	o n s
009/207	ons	1	o n s
009/209	ons	1	o n s
009/211	ons	1	o n s
009/213	ons	1	o n s
009/215	ons	1	o n s
009/217	ons	1	o n s
010/195	ons	1	o n s
010/203	ons	1	o n s
010/207	onns	1	o nn s
010/209	onns	1	o nn s
010/211	ons	1	o n s
010/213	ons	1	o n s
010/215	ons	1	o n s
010/217	ons	1	o n s
010/219	ons	1	o n s
011/049	üs	1	ü s
011/053	vort	1	v o r t
011/055	vort	1	v o r t
011/057	vort	1	v o r t
011/059	vort	1	v o r t
011/061	vort	1	v o r t
011/063	vot	1	v o t
011/065	vot	1	v o t
011/067	watt	1	w a tt
011/069	vort	1	v o r t
011/187	ons	1	o n s
011/189	ons	1	o n s
011/191	onns	1	o nn s
011/195	ons	1	o n s
011/197	ons	1	o n s
011/203	ons	1	o n s
011/205	onns	1	o nn s
011/207	onns	1	o nn s
011/209	ons	1	o n s
011/211	ons	1	o n s
011/213	ons	1	o n s
011/215	ons	1	o n s
011/217	ons	1	o n s
011/219	onns	1	o nn s
012/047	üs	1	ü s
012/049	üüs	1	üü s
012/051	üs	1	ü s
012/053	wart	1	w a r t
012/055	vort	1	v o r t
012/057	vort	1	v o r t
012/059	vort	1	v o r t
012/061	vort	1	v o r t
012/063	vort	1	v o r t
012/065	vot	1	v o t
012/067	vot	1	v o t
012/069	wot	1	w o t
012/187	ons	1	o n s
012/189	ons	1	o n s
012/191	onns	1	o nn s
012/193	ons	1	o n s
012/195	ons	1	o n s
012/197	ons	1	o n s
012/199	ons	1	o n s
012/201	ons	1	o n s
012/203	ons	1	o n s
012/205	ons	1	o n s
012/207	ons	1	o n s
012/209	onns	1	o nn s
012/211	onns	1	o nn s
012/213	ons	1	o n s
012/215	onns	1	o nn s
012/217	ons	1	o n s
012/219	ons	1	o n s
012/221	onns	1	o nn s
012/223	ons	1	o n s
013/051	ühs	1	üh s
013/053	üth	1	ü t h
013/055	üs	1	ü s
013/057	vort	1	v o r t
013/059	wort	1	w o r t
013/061	uns	1	u n s
013/063	uns	1	u n s
013/065	uns	1	u n s
013/067	uns	1	u n s
013/161	uns	1	u n s
013/163	uns	1	u n s
013/165	uns	1	u n s
013/167	ons	1	o n s
013/187	ons	1	o n s
013/189	ons	1	o n s
013/191	ons	1	o n s
013/193	ons	1	o n s
013/195	ons	1	o n s
013/197	onns	1	o nn s
013/199	ons	1	o n s
013/201	ons	1	o n s
013/203	ons	1	o n s
013/207	ons	1	o n s
013/209	ons	1	o n s
013/211	ons	1	o n s
013/213	ons	1	o n s
013/215	ons	1	o n s
013/217	uns	1	u n s
013/219	onns	1	o nn s
013/221	ons	1	o n s
013/223	ons	1	o n s
014/047	üs	1	ü s
014/049	üüs	1	üü s
014/051	üs	1	ü s
014/053	üs	1	ü s
014/055	üüs	1	üü s
014/057	üs	1	ü s
014/059	uns	1	u n s
014/061	uns	1	u n s
014/063	uns	1	u n s
014/065	uns	1	u n s
014/067	uns	1	u n s
014/109	uns	1	u n s
014/159	uns	1	u n s
014/161	uns	1	u n s
014/163	uns	1	u n s
014/165	ons	1	o n s
014/167	uns	1	u n s
014/169	ons	1	o n s
014/187	ons	1	o n s
014/189	ons	1	o n s
014/191	ons	1	o n s
014/193	NA	NA	-
014/195	ons	1	o n s
014/197	ons	1	o n s
014/199	ons	1	o n s
014/201	ons	1	o n s
014/203	ons	1	o n s
014/205	ons	1	o n s
014/207	ons	1	o n s
014/209	ons	1	o n s
014/211	ons	1	o n s
014/213	ons	1	o n s
014/215	ons	1	o n s
014/217	ons	1	o n s
014/219	uns	1	u n s
014/221	ons	1	o n s
015/049	üs	1	ü s
015/051	üs	1	ü s
015/053	üs	1	ü s
015/055	ühs	1	üh s
015/057	üs	1	ü s
015/059	uns	1	u n s
015/061	uns	1	u n s
015/063	uns	1	u n s
015/065	uns	1	u n s
015/067	uns	1	u n s
015/105	uns	1	u n s
015/107	uns	1	u n s
015/109	uns	1	u n s
015/151	uas	1	ua s
015/153	uns	1	u n s
015/155	uns	1	u n s
015/157	uns	1	u n s
015/159	uns	1	u n s
015/161	uns	1	u n s
015/163	uns	1	u n s
015/165	uns	1	u n s
015/167	ons	1	o n s
015/169	uns	1	u n s
015/173	ons	1	o n s
015/187	onns	1	o nn s
015/191	ons	1	o n s
015/193	ons	1	o n s
015/195	ons	1	o n s
015/197	onns	1	o nn s
015/199	ons	1	o n s
015/201	ons	1	o n s
015/203	ons	1	o n s
015/205	ons	1	o n s
015/207	ons	1	o n s
015/209	ons	1	o n s
015/211	ons	1	o n s
015/213	ons	1	o n s
015/215	onns	1	o nn s
015/217	ons	1	o n s
015/219	ons	1	o n s
015/221	ons	1	o n s
016/051	ös	1	ö s
016/055	üs	1	ü s
016/057	uns	1	u n s
016/059	uns	1	u n s
016/061	uns	1	u n s
016/063	uns	1	u n s
016/065	uns	1	u n s
016/067	uns	1	u n s
016/081	uns	1	u n s
016/083	uns	1	u n s
016/105	uns	1	u n s
016/107	uns	1	u n s
016/109	uns	1	u n s
016/111	uns	1	u n s
016/145	us	1	u s
016/147	uhs	1	uh s
016/149	uäs	1	uä s
016/151	us	1	u s
016/153	us	1	u s
016/155	uns	1	u n s
016/157	uns	1	u n s
016/159	uns	1	u n s
016/161	uns	1	u n s
016/163	uns	1	u n s
016/165	uns	1	u n s
016/167	uns	1	u n s
016/187	ons	1	o n s
016/189	ons	1	o n s
016/191	ons	1	o n s
016/193	ons	1	o n s
016/195	ons	1	o n s
016/197	onns	1	o nn s
016/199	ons	1	o n s
016/201	ons	1	o n s
016/203	ons	1	o n s
016/205	ons	1	o n s
016/209	uns	1	u n s
016/211	ons	1	o n s
016/213	onns	1	o nn s
016/215	ons	1	o n s
016/217	ons	1	o n s
016/219	ons	1	o n s
017/055	uns	1	u n s
017/057	uns	1	u n s
017/059	uns	1	u n s
017/061	uns	1	u n s
017/063	uns	1	u n s
017/065	uns	1	u n s
017/067	uns	1	u n s
017/069	uns	1	u n s
017/081	uns	1	u n s
017/083	uns	1	u n s
017/099	uns	1	u n s
017/101	uns	1	u n s
017/103	uns	1	u n s
017/107	uns	1	u n s
017/109	uns	1	u n s
017/145	uns	1	u n s
017/147	us	1	u s
017/149	us	1	u s
017/151	us	1	u s
017/153	us	1	u s
017/155	uns	1	u n s
017/157	uns	1	u n s
017/159	uns	1	u n s
017/161	uns	1	u n s
017/163	uns	1	u n s
017/165	uns	1	u n s
017/169	ons	1	o n s
017/171	ons	1	o n s
017/183	oss	1	o ss
017/185	ons	1	o n s
017/187	ons	1	o n s
017/189	ons	1	o n s
017/191	ons	1	o n s
