locations	strings	cognateID	alignments
001/203	wat	1	w a t
002/201	wat	1	w a t
002/203	wat	1	w a t
002/205	watt	1	w a tt
003/203	wat	1	w a t
003/205	watt	1	w a tt
004/205	watt	1	w a tt
005/205	wat	1	w a t
005/207	wat	1	w a t
006/205	wat	1	w a t
006/207	wat	1	w a t
007/205	wat	1	w a t
007/207	wat	1	w a t
007/209	wat	1	w a t
007/211	wat	1	w a t
008/199	wat	1	w a t
008/203	wat	1	w a t
008/205	wat	1	w a t
008/207	wat	1	w a t
008/209	wat	1	w a t
008/211	wat	1	w a t
008/213	wat	1	w a t
009/199	wat	1	w a t
009/203	wat	1	w a t
009/207	wat	1	w a t
009/209	wat	1	w a t
009/211	wat	1	w a t
009/213	wat	1	w a t
009/215	wat	1	w a t
009/217	wat	1	w a t
010/195	wat	1	w a t
010/203	wat	1	w a t
010/207	wat	1	w a t
010/209	watt	1	w a tt
010/211	wat	1	w a t
010/213	wat	1	w a t
010/215	watt	1	w a tt
010/217	wat	1	w a t
010/219	wat	1	w a t
011/049	wat	1	w a t
011/053	wa	1	w a
011/055	wa	1	w a
011/057	hra	1	h r a
011/059	wa	1	w a
011/061	hvad	1	h v a d
011/063	hvad	1	h v a d
011/065	va	1	v a
011/067	wa	1	w a
011/069	hva	1	h v a
011/187	wat	1	w a t
011/189	wat	1	w a t
011/191	watt	1	w a tt
011/195	wat	1	w a t
011/197	watt	1	w a tt
011/203	wat	1	w a t
011/205	wat	1	w a t
011/207	watt	1	w a tt
011/209	watt	1	w a tt
011/211	watt	1	w a tt
011/213	wat	1	w a t
011/215	wat	1	w a t
011/217	wat	1	w a t
011/219	watt	1	w a tt
012/047	wat	1	w a t
012/049	wat	1	w a t
012/051	wet	1	w e t
012/053	wa	1	w a
012/055	wa	1	w a
012/057	va	1	v a
012/059	hvad	1	h v a d
012/061	wa	1	w a
012/063	va	1	v a
012/065	hvad	1	h v a d
012/067	hvad	1	h v a d
012/069	wa	1	w a
012/187	wat	1	w a t
012/189	wat	1	w a t
012/191	wat	1	w a t
012/193	watt	1	w a tt
012/195	wat	1	w a t
012/197	watt	1	w a tt
012/199	wat	1	w a t
012/201	wat	1	w a t
012/203	wet	1	w e t
012/205	wat	1	w a t
012/207	wat	1	w a t
012/209	wat	1	w a t
012/211	wat	1	w a t
012/213	wat	1	w a t
012/215	watt	1	w a tt
012/217	wat	1	w a t
012/219	wat	1	w a t
012/221	wat	1	w a t
012/223	wat	1	w a t
013/051	wet	1	w e t
013/053	wat	1	w a t
013/055	wat	1	w a t
013/057	hvad	1	h v a d
013/059	wa	1	w a
013/061	wat	1	w a t
013/063	watt	1	w a tt
013/065	watt	1	w a tt
013/067	wat	1	w a t
013/161	waht	1	w ah t
013/163	wat	1	w a t
013/165	wat	1	w a t
013/167	wat	1	w a t
013/187	wat	1	w a t
013/189	wat	1	w a t
013/191	watt	1	w a tt
013/193	watt	1	w a tt
013/195	wat	1	w a t
013/197	watt	1	w a tt
013/199	wat	1	w a t
013/201	wat	1	w a t
013/203	wat	1	w a t
013/207	watt	1	w a tt
013/209	wat	1	w a t
013/211	watt	1	w a tt
013/213	wat	1	w a t
013/215	wat	1	w a t
013/217	watt	1	w a tt
013/219	wat	1	w a t
013/221	wat	1	w a t
013/223	wat	1	w a t
014/047	wat	1	w a t
014/049	wat	1	w a t
014/051	watt	1	w a tt
014/053	watt	1	w a tt
014/055	wat	1	w a t
014/057	wat	1	w a t
014/059	wat	1	w a t
014/061	wat	1	w a t
014/063	wat	1	w a t
014/065	wat	1	w a t
014/067	wat	1	w a t
014/109	wat	1	w a t
014/159	wat	1	w a t
014/161	wat	1	w a t
014/163	wat	1	w a t
014/165	wat	1	w a t
014/167	wat	1	w a t
014/169	wat	1	w a t
014/187	wat	1	w a t
014/189	wat	1	w a t
014/191	wat	1	w a t
014/193	wat	1	w a t
014/195	wat	1	w a t
014/197	wat	1	w a t
014/199	watt	1	w a tt
014/201	wat	1	w a t
014/203	wat	1	w a t
014/205	wat	1	w a t
014/207	wat	1	w a t
014/209	wat	1	w a t
014/211	wat	1	w a t
014/213	wat	1	w a t
014/215	wat	1	w a t
014/217	wat	1	w a t
014/219	wat	1	w a t
014/221	wat	1	w a t
015/049	wat	1	w a t
015/051	wat	1	w a t
015/053	wat	1	w a t
015/055	wat	1	w a t
015/057	watt	1	w a tt
015/059	wat	1	w a t
015/061	watt	1	w a tt
015/063	wat	1	w a t
015/065	wat	1	w a t
015/067	wat	1	w a t
015/105	wat	1	w a t
015/107	wat	1	w a t
015/109	wat	1	w a t
015/151	wat	1	w a t
015/153	wat	1	w a t
015/155	wat	1	w a t
015/157	wat	1	w a t
015/159	wat	1	w a t
015/161	wat	1	w a t
015/163	wat	1	w a t
015/165	wat	1	w a t
015/167	wat	1	w a t
015/169	wat	1	w a t
015/173	wat	1	w a t
015/187	watt	1	w a tt
015/191	wat	1	w a t
015/193	wat	1	w a t
015/195	wat	1	w a t
015/197	wat	1	w a t
015/199	wat	1	w a t
015/201	wat	1	w a t
015/203	wat	1	w a t
015/205	wat	1	w a t
015/207	wat	1	w a t
015/209	wat	1	w a t
015/211	watt	1	w a tt
015/213	wat	1	w a t
015/215	wat	1	w a t
015/217	wat	1	w a t
015/219	wat	1	w a t
015/221	wat	1	w a t
016/051	wat	1	w a t
016/055	watt	1	w a tt
016/057	wat	1	w a t
016/059	watt	1	w a tt
016/061	watt	1	w a tt
016/063	wat	1	w a t
016/065	wat	1	w a t
016/067	watt	1	w a tt
016/081	watt	1	w a tt
016/083	wat	1	w a t
016/105	wat	1	w a t
016/107	wat	1	w a t
016/109	wat	1	w a t
016/111	wat	1	w a t
016/145	wat	1	w a t
016/147	wat	1	w a t
016/149	watt	1	w a tt
016/151	watt	1	w a tt
016/153	wat	1	w a t
016/155	wat	1	w a t
016/157	wat	1	w a t
016/159	watt	1	w a tt
016/161	watt	1	w a tt
016/163	wat	1	w a t
016/165	wat	1	w a t
016/167	wat	1	w a t
016/187	wat	1	w a t
016/189	wat	1	w a t
016/191	wat	1	w a t
016/193	wat	1	w a t
016/195	wat	1	w a t
016/197	watt	1	w a tt
016/199	wat	1	w a t
016/201	wat	1	w a t
016/203	wat	1	w a t
016/205	wat	1	w a t
016/209	wat	1	w a t
016/211	wat	1	w a t
016/213	wat	1	w a t
016/215	wat	1	w a t
016/217	wat	1	w a t
016/219	wat	1	w a t
017/055	wat	1	w a t
017/057	wat	1	w a t
017/059	wat	1	w a t
017/061	wat	1	w a t
017/063	wat	1	w a t
017/065	wat	1	w a t
017/067	watt	1	w a tt
017/069	wat	1	w a t
017/081	wat	1	w a t
017/083	wat	1	w a t
017/099	wat	1	w a t
017/101	watt	1	w a tt
017/103	wat	1	w a t
017/107	wat	1	w a t
017/109	wat	1	w a t
017/145	watt	1	w a tt
017/147	wat	1	w a t
017/149	wat	1	w a t
017/151	wat	1	w a t
017/153	wat	1	w a t
017/155	wat	1	w a t
017/157	wat	1	w a t
017/159	watt	1	w a tt
017/161	wat	1	w a t
017/163	wat	1	w a t
017/165	wat	1	w a t
017/169	wat	1	w a t
017/171	wat	1	w a t
017/183	wat	1	w a t
017/185	watt	1	w a tt
017/187	wat	1	w a t
017/189	watt	1	w a tt
017/191	wat	1	w a t
017/193	watt	1	w a tt
017/195	wat	1	w a t
017/197	wat	1	w a t
017/199	wat	1	w a t
017/201	wat	1	w a t
017/203	wat	1	w a t
017/205	wat	1	w a t
017/207	wat	1	w a t
017/209	wat	1	w a t
017/211	wat	1	w a t
017/213	wat	1	w a t
017/215	wat	1	w a t
017/217	wat	1	w a t
017/219	watt	1	w a tt
018/051	wat	1	w a t
018/053	wat	1	w a t
018/055	wat	1	w a t
018/057	watt	1	w a tt
018/059	watt	1	w a tt
018/061	watt	1	w a tt
018/063	wat	1	w a t
018/065	wat	1	w a t
018/067	watt	1	w a tt
018/069	wat	1	w a t
018/071	wat	1	w a t
018/073	wat	1	w a t
018/075	wat	1	w a t
018/079	wad	1	w a d
018/081	wat	1	w a t
018/097	watt	1	w a tt
018/099	wat	1	w a t
018/103	wat	1	w a t
018/105	watt	1	w a tt
018/107	watt	1	w a tt
018/109	wat	1	w a t
018/111	wat	1	w a t
018/143	wat	1	w a t
018/145	wat	1	w a t
018/147	wat	1	w a t
018/149	wat	1	w a t
018/151	wat	1	w a t
018/153	watt	1	w a tt
018/155	watt	1	w a tt
018/157	wat	1	w a t
018/159	wat	1	w a t
018/161	watt	1	w a tt
018/163	wat	1	w a t
018/165	wat	1	w a t
018/169	wat	1	w a t
018/171	wat	1	w a t
018/173	wat	1	w a t
018/181	watt	1	w a tt
018/185	wat	1	w a t
018/187	wat	1	w a t
018/189	wat	1	w a t
018/191	watt	1	w a tt
018/193	wat	1	w a t
018/195	watt	1	w a tt
018/197	wat	1	w a t
018/199	wat	1	w a t
018/201	wat	1	w a t
018/203	wat	1	w a t
018/205	wat	1	w a t
018/207	wat	1	w a t
018/209	watt	1	w a tt
018/211	wat	1	w a t
