locations	strings	cognateID	alignments
001/203	wäk	1	w ä k
002/201	wäk	1	w ä k
002/203	wek	1	w e k
002/205	wehk	1	w eh k
003/203	wek	1	w e k
003/205	wäk	1	w ä k
004/205	wök	1	w ö k
005/205	wäk	1	w ä k
005/207	wek	1	w e k
006/205	wähk	1	w äh k
006/207	wäk	1	w ä k
007/205	wäk	1	w ä k
007/207	wäk	1	w ä k
007/209	wäk	1	w ä k
007/211	wek	1	w e k
008/199	wäk	1	w ä k
008/203	wäk	1	w ä k
008/205	wäk	1	w ä k
008/207	woch	1	w o ch
008/209	wäk	1	w ä k
008/211	wäk	1	w ä k
008/213	wäk	1	w ä k
009/199	wäk	1	w ä k
009/203	wäk	1	w ä k
009/207	wäk	1	w ä k
009/209	wäk	1	w ä k
009/211	wäk	1	w ä k
009/213	wäk	1	w ä k
009/215	wäk	1	w ä k
009/217	wäck	1	w ä ck
010/195	wäk	1	w ä k
010/203	wäck	1	w ä ck
010/207	wäk	1	w ä k
010/209	wäk	1	w ä k
010/211	wäk	1	w ä k
010/213	wäk	1	w ä k
010/215	woch	1	w o ch
010/217	wäk	1	w ä k
010/219	wäk	1	w ä k
011/049	weg	1	w e g
011/053	agger	1	a gg e r
011/055	ager	1	a g e r
011/057	ager	1	a g e r
011/059	ager	1	a g e r
011/061	ager	1	a g e r
011/063	agge	1	a gg e
011/065	ucher	1	u ch e r
011/067	oger	1	o g e r
011/069	dohe	1	d o h e
011/187	wäk	1	w ä k
011/189	wäk	1	w ä k
011/191	wäk	1	w ä k
011/195	wek	1	w e k
011/197	wehk	1	w eh k
011/203	woch	1	w o ch
011/205	wäk	1	w ä k
011/207	wäk	1	w ä k
011/209	wäk	1	w ä k
011/211	wäk	1	w ä k
011/213	woch	1	w o ch
011/215	woch	1	w o ch
011/217	wäk	1	w ä k
011/219	woch	1	w o ch
012/047	wek	1	w e k
012/049	week	1	w ee k
012/051	weg	1	w e g
012/053	agger	1	a gg e r
012/055	agger	1	a gg e r
012/057	uger	1	u g e r
012/059	agge	1	a gg e
012/061	ugge	1	u gg e
012/063	agge	1	a gg e
012/065	ager	1	a g e r
012/067	oge	1	o g e
012/069	oge	1	o g e
012/187	wök	1	w ö k
012/189	wäk	1	w ä k
012/191	wäk	1	w ä k
012/193	wäk	1	w ä k
012/195	wäk	1	w ä k
012/197	wäk	1	w ä k
012/199	wäk	1	w ä k
012/201	wäk	1	w ä k
012/203	wek	1	w e k
012/205	week	1	w ee k
012/207	wäk	1	w ä k
012/209	wäk	1	w ä k
012/211	wäk	1	w ä k
012/213	woch	1	w o ch
012/215	woch	1	w o ch
012/217	woch	1	w o ch
012/219	woch	1	w o ch
012/221	woch	1	w o ch
012/223	woch	1	w o ch
013/051	wehg	1	w eh g
013/053	weg	1	w e g
013/055	wag	1	w a g
013/057	agger	1	a gg e r
013/059	ager	1	a g e r
013/061	woch	1	w o ch
013/063	woch	1	w o ch
013/065	woch	1	w o ch
013/067	wugg	1	w u gg
013/161	wök	1	w ö k
013/163	wek	1	w e k
013/165	wek	1	w e k
013/167	wäk	1	w ä k
013/187	wäk	1	w ä k
013/189	wek	1	w e k
013/191	wek	1	w e k
013/193	wäk	1	w ä k
013/195	wek	1	w e k
013/197	wäk	1	w ä k
013/199	wäk	1	w ä k
013/201	wäk	1	w ä k
013/203	wök	1	w ö k
013/207	wäk	1	w ä k
013/209	week	1	w ee k
013/211	wäk	1	w ä k
013/213	wäk	1	w ä k
013/215	woch	1	w o ch
013/217	woch	1	w o ch
013/219	woch	1	w o ch
013/221	woch	1	w o ch
013/223	woch	1	w o ch
014/047	wag	1	w a g
014/049	wegg	1	w e gg
014/051	wägg	1	w ä gg
014/053	wäg	1	w ä g
014/055	wäg	1	w ä g
014/057	wäg	1	w ä g
014/059	woch	1	w o ch
014/061	woch	1	w o ch
014/063	woch	1	w o ch
014/065	woch	1	w o ch
014/067	woch	1	w o ch
014/109	woch	1	w o ch
014/159	wäk	1	w ä k
014/161	wäk	1	w ä k
014/163	wek	1	w e k
014/165	wek	1	w e k
014/167	wek	1	w e k
014/169	wäk	1	w ä k
014/187	wäk	1	w ä k
014/189	wäck	1	w ä ck
014/191	wek	1	w e k
014/193	week	1	w ee k
014/195	wek	1	w e k
014/197	wek	1	w e k
014/199	wähk	1	w äh k
014/201	wäk	1	w ä k
014/203	wäk	1	w ä k
014/205	wäk	1	w ä k
014/207	wäk	1	w ä k
014/209	wähk	1	w äh k
014/211	woch	1	w o ch
014/213	woch	1	w o ch
014/215	wäk	1	w ä k
014/217	woch	1	w o ch
014/219	woch	1	w o ch
014/221	woch	1	w o ch
015/049	wag	1	w a g
015/051	wigg	1	w i gg
015/053	wigg	1	w i gg
015/055	weg	1	w e g
015/057	wäg	1	w ä g
015/059	woch	1	w o ch
015/061	woch	1	w o ch
015/063	woch	1	w o ch
015/065	wek	1	w e k
015/067	week	1	w ee k
015/105	woch	1	w o ch
015/107	woch	1	w o ch
015/109	woch	1	w o ch
015/151	wäk	1	w ä k
015/153	wäck	1	w ä ck
015/155	wäk	1	w ä k
015/157	wäk	1	w ä k
015/159	wäk	1	w ä k
015/161	wek	1	w e k
015/163	wäk	1	w ä k
015/165	we	1	w e
015/167	wek	1	w e k
015/169	wök	1	w ö k
015/173	wäk	1	w ä k
015/187	wäk	1	w ä k
015/191	wäk	1	w ä k
015/193	wäk	1	w ä k
015/195	wäk	1	w ä k
015/197	wäk	1	w ä k
015/199	waeck	1	w ae ck
015/201	wäk	1	w ä k
015/203	wök	1	w ö k
015/205	wäk	1	w ä k
015/207	wäk	1	w ä k
015/209	wek	1	w e k
015/211	wäk	1	w ä k
015/213	woch	1	w o ch
015/215	woch	1	w o ch
015/217	woch	1	w o ch
015/219	woch	1	w o ch
015/221	woch	1	w o ch
016/051	wigg	1	w i gg
016/055	wegg	1	w e gg
016/057	wäk	1	w ä k
016/059	wäk	1	w ä k
016/061	wek	1	w e k
016/063	wäk	1	w ä k
016/065	wek	1	w e k
016/067	woch	1	w o ch
016/081	woch	1	w o ch
016/083	wäk	1	w ä k
016/105	woch	1	w o ch
016/107	woch	1	w o ch
016/109	woch	1	w o ch
016/111	woch	1	w o ch
016/145	wäk	1	w ä k
016/147	wäk	1	w ä k
016/149	wek	1	w e k
016/151	wäk	1	w ä k
016/153	wäk	1	w ä k
016/155	wek	1	w e k
016/157	wek	1	w e k
016/159	wek	1	w e k
016/161	wäk	1	w ä k
016/163	wäk	1	w ä k
016/165	wök	1	w ö k
016/167	wäk	1	w ä k
016/187	wek	1	w e k
016/189	wäk	1	w ä k
016/191	wek	1	w e k
016/193	weak	1	w ea k
016/195	wek	1	w e k
016/197	wäk	1	w ä k
016/199	wäk	1	w ä k
016/201	wök	1	w ö k
016/203	wäk	1	w ä k
016/205	wäk	1	w ä k
016/209	woch	1	w o ch
016/211	wäk	1	w ä k
016/213	woch	1	w o ch
016/215	woch	1	w o ch
016/217	woch	1	w o ch
016/219	woch	1	w o ch
017/055	week	1	w ee k
017/057	wek	1	w e k
017/059	weck	1	w e ck
017/061	wäk	1	w ä k
017/063	wek	1	w e k
017/065	wek	1	w e k
017/067	wek	1	w e k
017/069	wek	1	w e k
017/081	wek	1	w e k
017/083	wek	1	w e k
017/099	woch	1	w o ch
017/101	woch	1	w o ch
017/103	woch	1	w o ch
017/107	woch	1	w o ch
017/109	woch	1	w o ch
017/145	wek	1	w e k
017/147	wek	1	w e k
017/149	wäck	1	w ä ck
017/151	wäk	1	w ä k
017/153	wäk	1	w ä k
017/155	wäk	1	w ä k
017/157	wäk	1	w ä k
017/159	wek	1	w e k
017/161	wäk	1	w ä k
017/163	wek	1	w e k
017/165	wäk	1	w ä k
017/169	wäk	1	w ä k
017/171	wek	1	w e k
017/183	wek	1	w e k
017/185	wäk	1	w ä k
017/187	wäk	1	w ä k
017/189	wöök	1	w öö k
017/191	wek	1	w e k
017/193	wek	1	w e k
017/195	wäk	1	w ä k
017/197	wäk	1	w ä k
017/199	wek	1	w e k
017/201	wäk	1	w ä k
