locations	strings	cognateID	alignments
001/203	worst	1	w o r s t
002/201	worscht	1	w o r sch t
002/203	worscht	1	w o r sch t
002/205	worscht	1	w o r sch t
003/203	worscht	1	w o r sch t
003/205	worscht	1	w o r sch t
004/205	worscht	1	w o r sch t
005/205	worscht	1	w o r sch t
005/207	worscht	1	w o r sch t
006/205	worscht	1	w o r sch t
006/207	worscht	1	w o r sch t
007/205	worscht	1	w o r sch t
007/207	worscht	1	w o r sch t
007/209	worscht	1	w o r sch t
007/211	worscht	1	w o r sch t
008/199	worscht	1	w o r sch t
008/203	worscht	1	w o r sch t
008/205	worst	1	w o r s t
008/207	worscht	1	w o r sch t
008/209	worscht	1	w o r sch t
008/211	worscht	1	w o r sch t
008/213	wurscht	1	w u r sch t
009/199	worscht	1	w o r sch t
009/203	worst	1	w o r s t
009/207	worscht	1	w o r sch t
009/209	worscht	1	w o r sch t
009/211	worscht	1	w o r sch t
009/213	worscht	1	w o r sch t
009/215	worscht	1	w o r sch t
009/217	worscht	1	w o r sch t
010/195	worscht	1	w o r sch t
010/203	worst	1	w o r s t
010/207	worscht	1	w o r sch t
010/209	worscht	1	w o r sch t
010/211	worscht	1	w o r sch t
010/213	worscht	1	w o r sch t
010/215	worscht	1	w o r sch t
010/217	worscht	1	w o r sch t
010/219	worscht	1	w o r sch t
011/049	marig	1	m a r i g
011/053	pöls	1	p ö l s
011/055	pöls	1	p ö l s
011/057	pöls	1	p ö l s
011/059	pöls	1	p ö l s
011/061	pöls	1	p ö l s
011/063	pöls	1	p ö l s
011/065	pöls	1	p ö l s
011/067	pöls	1	p ö l s
011/069	pöls	1	p ö l s
011/187	worscht	1	w o r sch t
011/189	worscht	1	w o r sch t
011/191	worrscht	1	w o rr sch t
011/195	worscht	1	w o r sch t
011/197	worscht	1	w o r sch t
011/203	worst	1	w o r s t
011/205	worscht	1	w o r sch t
011/207	worscht	1	w o r sch t
011/209	worscht	1	w o r sch t
011/211	worscht	1	w o r sch t
011/213	worscht	1	w o r sch t
011/215	worscht	1	w o r sch t
011/217	worscht	1	w o r sch t
011/219	worscht	1	w o r sch t
012/047	marig	1	m a r i g
012/049	marrig	1	m a rr i g
012/051	issebine	1	i ss e b i n e
012/053	maasbaanj	1	m aa s b aa n j
012/055	pöls	1	p ö l s
012/057	pöls	1	p ö l s
012/059	pöls	1	p ö l s
012/061	pöls	1	p ö l s
012/063	pöls	1	p ö l s
012/065	pöls	1	p ö l s
012/067	riäs	1	r iä s
012/069	isdebon	1	i s d e b o n
012/187	worscht	1	w o r sch t
012/189	worscht	1	w o r sch t
012/191	worscht	1	w o r sch t
012/193	worscht	1	w o r sch t
012/195	worscht	1	w o r sch t
012/197	worscht	1	w o r sch t
012/199	worscht	1	w o r sch t
012/201	worscht	1	w o r sch t
012/203	worscht	1	w o r sch t
012/205	worscht	1	w o r sch t
012/207	worscht	1	w o r sch t
012/209	worscht	1	w o r sch t
012/211	worscht	1	w o r sch t
012/213	worscht	1	w o r sch t
012/215	worscht	1	w o r sch t
012/217	worscht	1	w o r sch t
012/219	worscht	1	w o r sch t
012/221	worrscht	1	w o rr sch t
012/223	worscht	1	w o r sch t
013/051	sees	1	s ee s
013/053	etherbinj	1	e t h e r b i n j
