locations	strings	cognateID	alignments
001/203	stell	1	s t e ll
002/201	stell	1	s t e ll
002/203	stell	1	s t e ll
002/205	stell	1	s t e ll
003/203	stell	1	s t e ll
003/205	stell	1	s t e ll
004/205	stell	1	s t e ll
005/205	stell	1	s t e ll
005/207	stell	1	s t e ll
006/205	stell	1	s t e ll
006/207	stell	1	s t e ll
007/205	stell	1	s t e ll
007/207	ställ	1	s t ä ll
007/209	stell	1	s t e ll
007/211	stell	1	s t e ll
008/199	stell	1	s t e ll
008/203	stell	1	s t e ll
008/205	stell	1	s t e ll
008/207	stell	1	s t e ll
008/209	stell	1	s t e ll
008/211	stell	1	s t e ll
008/213	schtell	1	sch t e ll
009/199	stell	1	s t e ll
009/203	stell	1	s t e ll
009/207	stell	1	s t e ll
009/209	stell	1	s t e ll
009/211	stell	1	s t e ll
009/213	stell	1	s t e ll
009/215	stell	1	s t e ll
009/217	stell	1	s t e ll
010/195	stell	1	s t e ll
010/203	stell	1	s t e ll
010/207	stell	1	s t e ll
010/209	stell	1	s t e ll
010/211	stell	1	s t e ll
010/213	stell	1	s t e ll
010/215	stell	1	s t e ll
010/217	stell	1	s t e ll
010/219	stell	1	s t e ll
011/049	stell	1	s t e ll
011/053	stil	1	s t i l
011/055	still	1	s t i ll
011/057	stil	1	s t i l
011/059	stil	1	s t i l
011/061	stil	1	s t i l
011/063	stel	1	s t e l
011/065	stell	1	s t e ll
011/067	stell	1	s t e ll
011/069	stel	1	s t e l
011/187	stell	1	s t e ll
011/189	stell	1	s t e ll
011/191	stell	1	s t e ll
011/195	stell	1	s t e ll
011/197	stell	1	s t e ll
011/203	stell	1	s t e ll
011/205	stell	1	s t e ll
011/207	schtell	1	sch t e ll
011/209	stell	1	s t e ll
011/211	stell	1	s t e ll
011/213	stell	1	s t e ll
011/215	schtell	1	sch t e ll
011/217	stell	1	s t e ll
011/219	stell	1	s t e ll
012/047	stel	1	s t e l
012/049	stell	1	s t e ll
012/051	stell	1	s t e ll
012/053	stil	1	s t i l
012/055	stil	1	s t i l
012/057	stil	1	s t i l
012/059	stel	1	s t e l
012/061	stol	1	s t o l
012/063	stol	1	s t o l
012/065	stel	1	s t e l
012/067	stel	1	s t e l
012/069	stel	1	s t e l
012/187	stoll	1	s t o ll
012/189	stell	1	s t e ll
012/191	stell	1	s t e ll
012/193	stell	1	s t e ll
012/195	stell	1	s t e ll
012/197	stell	1	s t e ll
012/199	stell	1	s t e ll
012/201	stell	1	s t e ll
012/203	stell	1	s t e ll
012/205	stell	1	s t e ll
012/207	stell	1	s t e ll
012/209	stell	1	s t e ll
012/211	stell	1	s t e ll
012/213	stell	1	s t e ll
012/215	stell	1	s t e ll
012/217	stell	1	s t e ll
012/219	stell	1	s t e ll
012/221	stell	1	s t e ll
012/223	stell	1	s t e ll
013/051	stell	1	s t e ll
013/053	stal	1	s t a l
013/055	stal	1	s t a l
013/057	stil	1	s t i l
013/059	still	1	s t i ll
013/061	stell	1	s t e ll
013/063	stell	1	s t e ll
013/065	stell	1	s t e ll
013/067	stell	1	s t e ll
013/161	stell	1	s t e ll
013/163	stell	1	s t e ll
013/165	NA	NA	-
013/167	stell	1	s t e ll
013/187	stell	1	s t e ll
013/189	stell	1	s t e ll
013/191	stell	1	s t e ll
013/193	stell	1	s t e ll
013/195	stell	1	s t e ll
013/197	stell	1	s t e ll
