locations	strings	cognateID	alignments
001/203	lop	1	l o p
002/201	lop	1	l o p
002/203	lop	1	l o p
002/205	loop	1	l oo p
003/203	lop	1	l o p
003/205	lop	1	l o p
004/205	lop	1	l o p
005/205	loop	1	l oo p
005/207	lop	1	l o p
006/205	lohp	1	l oh p
006/207	lop	1	l o p
007/205	lop	1	l o p
007/207	lop	1	l o p
007/209	loop	1	l oo p
007/211	lop	1	l o p
008/199	schrier	1	sch r ie r
008/203	lop	1	l o p
008/205	gange	1	g a ng e
008/207	lop	1	l o p
008/209	lop	1	l o p
008/211	lop	1	l o p
008/213	lop	1	l o p
009/199	loop	1	l oo p
009/203	loop	1	l oo p
009/207	lop	1	l o p
009/209	lop	1	l o p
009/211	lop	1	l o p
009/213	loop	1	l oo p
009/215	lop	1	l o p
009/217	lop	1	l o p
010/195	rennt	1	r e nn t
010/203	loop	1	l oo p
010/207	lop	1	l o p
010/209	lop	1	l o p
010/211	lohp	1	l oh p
010/213	lop	1	l o p
010/215	lop	1	l o p
010/217	lop	1	l o p
010/219	loap	1	l oa p
011/049	löb	1	l ö b
011/053	loff	1	l o ff
011/055	NA	NA	-
011/057	loff	1	l o ff
011/059	lof	1	l o f
011/061	loaff	1	l oa ff
011/063	loff	1	l o ff
011/065	NA	NA	-
011/067	loff	1	l o ff
011/069	loff	1	l o ff
011/187	rennt	1	r e nn t
011/189	NA	NA	-
011/191	lop	1	l o p
011/195	rennt	1	r e nn t
011/197	gerennt	1	g e r e nn t
011/203	lop	1	l o p
011/205	lop	1	l o p
011/207	loop	1	l oo p
011/209	loop	1	l oo p
011/211	lop	1	l o p
011/213	lop	1	l o p
011/215	loap	1	l oa p
011/217	lop	1	l o p
011/219	loap	1	l oa p
012/047	löpp	1	l ö pp
012/049	löpp	1	l ö pp
012/051	löp	1	l ö p
012/053	NA	NA	-
012/055	loff	1	l o ff
012/057	lövv	1	l ö vv
012/059	NA	NA	-
012/061	loff	1	l o ff
012/063	NA	NA	-
012/065	NA	NA	-
012/067	laff	1	l a ff
012/069	loff	1	l o ff
012/187	lop	1	l o p
012/189	lop	1	l o p
012/191	rennt	1	r e nn t
012/193	lop	1	l o p
012/195	loop	1	l oo p
012/197	loop	1	l oo p
012/199	lop	1	l o p
012/201	lop	1	l o p
012/203	lop	1	l o p
012/205	lop	1	l o p
012/207	loap	1	l oa p
012/209	lop	1	l o p
012/211	lop	1	l o p
012/213	lop	1	l o p
012/215	loop	1	l oo p
012/217	lop	1	l o p
012/219	lop	1	l o p
012/221	lap	1	l a p
012/223	lop	1	l o p
013/051	löb	1	l ö b
013/053	lim	1	l i m
013/055	läm	1	l ä m
013/057	loff	1	l o ff
013/059	NA	NA	-
013/061	lob	1	l o b
013/063	loab	1	l oa b
013/065	loop	1	l oo p
013/067	lab	1	l a b
013/161	lop	1	l o p
013/163	lop	1	l o p
013/165	lop	1	l o p
013/167	loop	1	l oo p
013/187	gangen	1	g a ng e n
013/189	lop	1	l o p
013/191	loop	1	l oo p
013/193	renn	1	r e nn
013/195	loop	1	l oo p
013/197	gangen	1	g a ng e n
013/199	gange	1	g a ng e
013/201	rennt	1	r e nn t
013/203	rennt	1	r e nn t
013/207	schiert	1	sch ie r t
013/209	lop	1	l o p
013/211	lop	1	l o p
013/213	loop	1	l oo p
013/215	lop	1	l o p
013/217	lop	1	l o p
013/219	loop	1	l oo p
013/221	lop	1	l o p
013/223	loop	1	l oo p
014/047	lopp	1	l o pp
014/049	lepp	1	l e pp
014/051	lepp	1	l e pp
014/053	läb	1	l ä b
014/055	läm	1	l ä m
014/057	leinen	1	l ei n e n
014/059	loop	1	l oo p
014/061	laab	1	l aa b
014/063	lop	1	l o p
014/065	lap	1	l a p
014/067	loop	1	l oo p
014/109	lop	1	l o p
014/159	lop	1	l o p
014/161	lop	1	l o p
014/163	lop	1	l o p
014/165	loop	1	l oo p
014/167	loop	1	l oo p
014/169	lohp	1	l oh p
014/187	loop	1	l oo p
014/189	rennt	1	r e nn t
014/191	lop	1	l o p
014/193	loop	1	l oo p
014/195	löp	1	l ö p
014/197	rennt	1	r e nn t
014/199	lohp	1	l oh p
014/201	loop	1	l oo p
014/203	lop	1	l o p
014/205	schiert	1	sch ie r t
014/207	lop	1	l o p
014/209	lop	1	l o p
014/211	loop	1	l oo p
014/213	lope	1	l o p e
014/215	lop	1	l o p
014/217	lop	1	l o p
014/219	loop	1	l oo p
014/221	loap	1	l oa p
015/049	lapp	1	l a pp
015/051	lopp	1	l o pp
015/053	lupp	1	l u pp
015/055	lem	1	l e m
015/057	labb	1	l a bb
015/059	loop	1	l oo p
015/061	lop	1	l o p
015/063	lop	1	l o p
015/065	lop	1	l o p
015/067	lop	1	l o p
015/105	lop	1	l o p
015/107	lop	1	l o p
015/109	lop	1	l o p
015/151	lop	1	l o p
015/153	lop	1	l o p
015/155	lop	1	l o p
015/157	lop	1	l o p
015/159	lop	1	l o p
015/161	lop	1	l o p
015/163	lop	1	l o p
015/165	lop	1	l o p
015/167	lop	1	l o p
015/169	lop	1	l o p
015/173	lop	1	l o p
015/187	loop	1	l oo p
015/191	rennt	1	r e nn t
015/193	rennt	1	r e nn t
015/195	lop	1	l o p
015/197	rennt	1	r e nn t
015/199	rennt	1	r e nn t
015/201	rennt	1	r e nn t
015/203	rennt	1	r e nn t
015/205	lop	1	l o p
015/207	lohp	1	l oh p
015/209	lop	1	l o p
015/211	lop	1	l o p
015/213	lop	1	l o p
015/215	gange	1	g a ng e
015/217	loap	1	l oa p
015/219	loap	1	l oa p
015/221	loap	1	l oa p
016/051	läm	1	l ä m
016/055	leeb	1	l ee b
016/057	lop	1	l o p
016/059	lop	1	l o p
016/061	lob	1	l o b
016/063	lop	1	l o p
016/065	lop	1	l o p
016/067	gahn	1	g ah n
016/081	lob	1	l o b
016/083	lop	1	l o p
016/105	lob	1	l o b
016/107	lop	1	l o p
016/109	lop	1	l o p
016/111	loop	1	l oo p
016/145	lop	1	l o p
016/147	lop	1	l o p
016/149	lop	1	l o p
016/151	loop	1	l oo p
016/153	lop	1	l o p
016/155	lop	1	l o p
016/157	lop	1	l o p
016/159	lop	1	l o p
016/161	lop	1	l o p
016/163	lop	1	l o p
016/165	lop	1	l o p
016/167	lop	1	l o p
016/187	lop	1	l o p
016/189	lop	1	l o p
016/191	lop	1	l o p
016/193	schiat	1	sch ia t
016/195	lop	1	l o p
016/197	rennt	1	r e nn t
016/199	rennt	1	r e nn t
016/201	schiat	1	sch ia t
016/203	lop	1	l o p
016/205	gange	1	g a ng e
016/209	löp	1	l ö p
016/211	loop	1	l oo p
016/213	loap	1	l oa p
016/215	loap	1	l oa p
016/217	lop	1	l o p
016/219	loop	1	l oo p
