locations	strings	cognateID	alignments
001/203	kenn	1	k e nn
002/201	kann	1	k a nn
002/203	kann	1	k a nn
002/205	kenn	1	k e nn
003/203	kenn	1	k e nn
003/205	kenn	1	k e nn
004/205	kenn	1	k e nn
005/205	kenn	1	k e nn
005/207	kenn	1	k e nn
006/205	kenn	1	k e nn
006/207	kenn	1	k e nn
007/205	kenn	1	k e nn
007/207	kenn	1	k e nn
007/209	kenn	1	k e nn
007/211	kenn	1	k e nn
008/199	kenn	1	k e nn
008/203	kenn	1	k e nn
008/205	kenn	1	k e nn
008/207	kenn	1	k e nn
008/209	kenn	1	k e nn
008/211	känn	1	k ä nn
008/213	kenn	1	k e nn
009/199	kenn	1	k e nn
009/203	kenn	1	k e nn
009/207	kenn	1	k e nn
009/209	kenn	1	k e nn
009/211	kenn	1	k e nn
009/213	kenn	1	k e nn
009/215	kenn	1	k e nn
009/217	kenn	1	k e nn
010/195	kenn	1	k e nn
010/203	kenn	1	k e nn
010/207	kenn	1	k e nn
010/209	kenn	1	k e nn
010/211	kenn	1	k e nn
010/213	kenn	1	k e nn
010/215	kenn	1	k e nn
010/217	kenn	1	k e nn
010/219	kenn	1	k e nn
011/049	kü	1	k ü
011/053	koin	1	k oi n
011/055	kon	1	k o n
011/057	koen	1	k oe n
011/059	koon	1	k oo n
011/061	koin	1	k oi n
011/063	koeen	1	k oee n
011/065	kohn	1	k oh n
011/067	kän	1	k ä n
011/069	ken	1	k e n
011/187	kenn	1	k e nn
011/189	kenn	1	k e nn
011/191	kenn	1	k e nn
011/195	kenn	1	k e nn
011/197	kenn	1	k e nn
011/203	kenn	1	k e nn
011/205	kenn	1	k e nn
011/207	kenn	1	k e nn
011/209	kenn	1	k e nn
011/211	kenn	1	k e nn
011/213	kenn	1	k e nn
011/215	kenn	1	k e nn
011/217	kenn	1	k e nn
011/219	kenn	1	k e nn
012/047	kü	1	k ü
012/049	kü	1	k ü
012/051	karn	1	k a r n
012/053	kän	1	k ä n
012/055	kän	1	k ä n
012/057	kän	1	k ä n
012/059	koen	1	k oe n
012/061	keen	1	k ee n
