locations	strings	cognateID	alignments
001/203	äw	1	ä w
002/201	äw	1	ä w
002/203	äw	1	ä w
002/205	ehw	1	eh w
003/203	äw	1	ä w
003/205	äw	1	ä w
004/205	öw	1	ö w
005/205	ew	1	e w
005/207	äw	1	ä w
006/205	äw	1	ä w
006/207	ew	1	e w
007/205	äw	1	ä w
007/207	äw	1	ä w
007/209	äw	1	ä w
007/211	äw	1	ä w
008/199	äw	1	ä w
008/203	äw	1	ä w
008/205	ew	1	e w
008/207	ew	1	e w
008/209	äw	1	ä w
008/211	äw	1	ä w
008/213	äw	1	ä w
009/199	äw	1	ä w
009/203	äw	1	ä w
009/207	äw	1	ä w
009/209	äw	1	ä w
009/211	äw	1	ä w
009/213	äw	1	ä w
009/215	äw	1	ä w
009/217	äw	1	ä w
010/195	ew	1	e w
010/203	aw	1	a w
010/207	äw	1	ä w
010/209	äw	1	ä w
010/211	äw	1	ä w
010/213	äw	1	ä w
010/215	ew	1	e w
010/217	ew	1	e w
010/219	äw	1	ä w
011/049	au	1	au
011/053	övv	1	ö vv
011/055	övv	1	ö vv
011/057	övv	1	ö vv
011/059	öw	1	ö w
011/061	övv	1	ö vv
011/063	öv	1	ö v
011/065	övv	1	ö vv
011/067	öw	1	ö w
011/069	övv	1	ö vv
011/187	ew	1	e w
011/189	äw	1	ä w
011/191	äw	1	ä w
011/195	ew	1	e w
011/197	ähw	1	äh w
011/203	ew	1	e w
011/205	äw	1	ä w
011/207	aw	1	a w
011/209	äb	1	ä b
011/211	äw	1	ä w
011/213	ew	1	e w
011/215	äw	1	ä w
011/217	äw	1	ä w
011/219	äw	1	ä w
012/047	au	1	au
012/049	au	1	au
012/051	arr	1	a rr
012/053	äw	1	ä w
012/055	öw	1	ö w
012/057	öw	1	ö w
012/059	öww	1	ö ww
012/061	öw	1	ö w
012/063	öv	1	ö v
012/065	öw	1	ö w
012/067	öv	1	ö v
012/069	öw	1	ö w
012/187	äw	1	ä w
012/189	äw	1	ä w
012/191	äw	1	ä w
012/193	äw	1	ä w
